features,LR,LGB,XGB,RF,SVM
y0000,False,True,True,True,False
y0001,False,True,True,True,False
y0002,False,True,True,True,False
y0003,True,True,True,True,True
y0004,False,True,True,True,False
y0005,False,True,True,True,False
y0006,False,True,True,True,False
y0007,False,True,True,True,False
y0008,False,True,True,True,False
y0009,False,True,True,True,False
y0010,False,True,True,True,False
y0011,False,True,True,True,False
y0012,False,True,True,True,False
y0013,False,True,True,True,False
y0014,True,True,True,True,True
y0015,False,True,True,True,False
y0016,False,True,True,True,False
y0017,True,True,True,True,True
y0018,False,True,True,True,False
y0019,False,True,True,True,False
y0020,False,True,True,True,False
y0021,False,True,True,True,False
y0022,True,True,True,True,True
y0023,False,True,True,True,False
