features,LR,LGB,XGB,RF,SVM
y0000,False,True,True,False,False
y0001,True,True,True,True,True
y0002,False,True,True,True,False
y0003,True,True,True,True,True
y0004,False,True,True,False,False
y0005,True,True,True,True,True
y0006,True,True,True,True,True
y0007,True,True,True,True,True
y0008,True,True,True,True,True
y0009,True,True,True,False,True
y0010,False,True,True,True,False
y0011,False,True,True,True,False
y0012,False,True,True,True,True
y0013,True,True,True,True,True
y0014,False,True,False,False,False
y0015,True,True,True,True,True
y0016,False,True,True,True,False
y0017,True,True,True,True,True
y0018,True,True,True,True,True
y0019,False,True,True,True,True
y0020,False,True,True,True,False
y0021,False,True,True,True,False
y0022,True,True,True,True,True
y0023,True,True,True,True,False
y0024,True,True,True,True,True
y0025,True,True,True,True,True
y0026,False,True,True,True,True
y0027,True,True,True,True,True
y0028,False,True,True,True,False
y0029,False,True,True,True,False
y0030,True,True,True,True,True
y0031,False,True,True,True,False
y0032,False,True,True,True,False
y0033,True,True,True,True,True
y0034,False,True,True,True,False
y0035,True,True,True,False,True
y0036,True,True,True,True,True
y0037,True,True,True,True,True
y0038,True,True,True,True,True
y0039,False,True,True,True,False
y0040,True,True,True,True,True
y0041,True,True,True,True,True
y0042,True,True,True,True,True
y0043,False,True,True,True,False
y0044,True,True,True,True,True
y0045,True,True,True,True,True
y0046,False,True,True,True,False
y0047,True,True,True,True,True
y0048,False,True,True,True,False
y0049,False,True,True,True,False
y0050,False,True,True,False,False
y0051,True,True,True,True,True
y0052,False,True,True,True,False
y0053,False,True,True,True,False
y0054,True,True,True,True,True
y0055,False,True,True,True,False
