Trial #,Behavior,Start,End
1,valve opened,60.59,63.59
,cont reach,63.59,83.59
2,valve opened,127.59,130.59
,cont reach,130.59,170.59
3,valve opened,193.59,196.59
,cont reach,196.59,236.59
4,valve opened,258.59,261.59
,cont reach,261.59,279.59
5,valve opened,323.59,327.59
,cont reach,326.59,337.59
,cont in vain,338.59,366.59
6,valve opened,389.59,392.59
,cont reach,392.59,431.59
,cont in vain,451.59,456.59
7,valve opened,454.59,458.59
,cont reach,458.59,476.59
,cont in vain,480.59,483.59
8,valve opened,520.59,523.59
,cont reach,523.59,555.59
,cont in vain,556.59,563.59
9,valve opened,585.59,588.59
,cont reach,588.59,626.59
10,valve opened,651.59,654.59
,cont reach,653.59,693.59
11,valve opened,716.59,719.59
,cont reach,718.59,738.59
12,valve opened,781.59,784.59
,cont reach,784.59,803.59
13,valve opened,848.59,851.59
,cont reach,851.59,881.59
,cont in vain,882.59,889.59
14,valve opened,913.59,916.59
,cont reach,916.59,939.59
15,valve opened,979.59,982.59
,cont reach,981.59,1018.59
16,valve opened,1044.59,1047.59
,cont reach,1046.59,1062.59
,cont in vain,1063.59,1070.59
17,valve opened,1109.59,1112.59
,cont reach,1112.59,1146.59
18,valve opened,1174.59,1177.59
,cont reach,1178.59,1187.59
,cont in vain,1188.59,1210.59
19,valve opened,1240.59,1243.59
,cont reach,1243.59,1270.59
20,valve opened,1306.59,1309.59
,cont reach,1309.59,1326.59
,cont in vain,1354.59,1359.59
21,valve opened,1371.59,1374.59
,cont reach,1374.59,1389.59
22,valve opened,1437.59,1440.59
,cont reach,1440.59,1459.59
23,valve opened,1503.59,1506.59
,cont reach,1506.59,1511.59
,cont in vain,1512.59,1520.59
24,valve opened,1569.59,1572.59
,cont reach,1571.59,1586.59
,cont in vain,1587.59,1596.59
25,valve opened,1634.59,1637.59
,cont reach,1637.59,1650.59
26,valve opened,1700.59,1703.59
,cont reach,1703.59,1709.59
,cont in vain,1710.59,1714.59
,both in vain,1760.59,1766.59
27,valve opened,1766.59,1769.59
,cont reach,1769.59,1781.59
,cont in vain,1796.59,1815.59
28,valve opened,1831.59,1834.59
,cont reach,1834.59,1847.59
,both in vain,1865.59,1876.59
,both in vain,1881.59,1886.59
,both in vain,1894.59,1898.59
29,valve opened,1897.59,1900.59
,cont reach,1900.59,1916.59
,both in vain,1947.59,1955.59
,both in vain,1956.59,1961.59
,both in vain,1962.59,1971.59
30,valve opened,1963.59,1966.59
,both reach,1972.59,1978.59
,both in vain,1979.59,1986.59
,both in vain,2004.59,2011.59
,both in vain,2026.59,2032.59
31,valve opened,2029.59,2032.59
,cont reach,2033.59,2052.59
32,valve opened,2095.59,2098.59
,cont reach,2098.59,2113.59
33,valve opened,2160.59,2163.59
,cont reach,2164.59,2169.59
,cont in vain,2171.59,2189.59
34,valve opened,2226.59,2229.59
,cont reach,2229.59,2250.59
35,valve opened,2292.59,2295.59
,cont reach,2295.59,2304.59
,cont in vain,2305.59,2309.59
,cont in vain,2310.59,2313.59
36,valve opened,2357.59,2360.59
,cont reach,2360.59,2375.59
37,valve opened,2422.59,2425.59
,cont reach,2425.59,2430.59
,cont in vain,2431.59,2447.59
38,valve opened,2488.59,2491.59
,cont reach,2491.59,2524.59
39,valve opened,2553.59,2556.59
,cont reach,2556.59,2566.59
,cont in vain,2567.59,2596.59
40,valve opened,2618.59,2621.59
,cont reach,2621.59,2640.59
41,valve opened,2684.59,2687.59
,cont reach,2687.59,2694.59
,cont in vain,2695.59,2705.59
,cont in vain,2720.59,2725.59
42,valve opened,2749.59,2752.59
,cont reach,2752.59,2775.59
43,valve opened,2815.59,2818.59
,cont reach,2818.59,2829.59
44,valve opened,2881.59,2884.59
,cont reach,2884.59,2890.59
,cont in vain,2891.59,2897.59
45,valve opened,2946.59,2949.59
,cont reach,2949.59,2962.59
46,valve opened,3012.59,3015.59
,cont reach,3015.59,3026.59
,cont in vain,3027.59,3033.59
47,valve opened,3077.59,3080.59
,cont reach,3080.59,3090.59
48,valve opened,3143.59,3146.59
,cont reach,3146.59,3156.59
49,valve opened,3209.59,3212.59
,cont reach,3211.59,3219.59
,cont in vain,3220.59,3227.59
50,valve opened,3274.59,3277.59
,cont reach,3275.59,3286.59
51,valve opened,3339.59,3342.59
,cont reach,3342.59,3355.59
52,valve opened,3405.59,3408.59
,cont reach,3408.59,3418.59
,cont in vain,3419.59,3422.59
53,valve opened,3471.59,3474.59
,cont reach,3474.59,3482.59
,cont in vain,3483.59,3492.59
54,valve opened,3536.59,3539.59
,cont reach,3539.59,3548.59
,cont in vain,3549.59,3552.59
55,valve opened,3602.59,3605.59
,cont reach,3605.59,3614.59
,cont in vain,3615.59,3619.59
56,valve opened,3667.59,3670.59
,cont reach,3670.59,3680.59
,cont in vain,3681.59,3685.59
,cont in vain,3686.59,3695.59
57,valve opened,3733.59,3736.59
,cont reach,3736.59,3747.59
58,valve opened,3798.59,3801.59
,cont reach,3801.59,3814.59
