x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.1781917,14.694363,0,4.1061754,0.67058754,0.41915601,0.78710496,0,0.2552732,1.409245,5.86466,2.5189774,0,0,0.06777676,0,0,0,0.17221531,0,0.038283236,4.2516127,0
2,0,0,0,1.3652703,0,0,4.8921986,0,0,0,3.212978,0,1.395784,0,0,0.5638586,0,0.57453394,1.325864,0,0,0,0.86975425
3,0,0,0,0.8508464,1.7489009,2.2514265,0,0,0,0,2.976871,0.91403663,0,0,1.051842,0,0,0.7231522,1.1507432,0,0,4.4200387,0
4,0.18514505,0,1.476778,0,0,1.418151,0.45095798,2.040266,0,0.1314096,0,2.5556626,0,0,0,0,0,0,0,3.5510728,0.6271281,5.784566,3.053423
5,3.6064568,0,1.0292252,0,1.1402898,0,0,0,0,0.112969205,0,0.17127055,0,0,0,0.100588866,0,0.85167015,0.040197995,0,0,0.14791319,3.376283
6,0,15.442935,2.7289896,0,0,0,0,1.1546061,0,0.8753903,0,1.0354947,0,0.25682697,0.3015021,0,0.76833946,0.11829705,1.8010505,6.47537,0.12009193,0,1.6818233
7,2.3825786,0,0,0,0.15825722,4.1534505,0,0,0,0.7707398,0,0,0,1.5060991,0,0.08376759,0.3975855,0.45964825,0,1.2646476,0,0,5.0799627
8,0,0,0,0.7969432,0.44618636,1.8282338,0,0,0,0,0,0.7264835,0.25557017,0,0,0,0,0,0,1.7365654,0.9704314,0,2.729815
9,0,0,0.9201972,1.7881855,0.5195129,0.27527225,0.37163746,0.88542897,0,0,0,0,1.1055957,0,0,0,0.65444005,1.4333361,0,0,0,0,0
10,0,6.8073325,4.5085673,2.802587,0,0,1.116186,0,0,0,0,0,0.54688334,1.009636,0,0,0,0,0,0,0,0,0
11,1.4749279,0,0,0,0,0,0,1.6980501,0.70832497,0,0.33225256,0,0,0.053441763,0,0,0,0,0,0,0,0,0
12,0,6.210506,0,0,0.82301,5.1659555,0,0,0,0,0.35555387,0.8848299,0,0,1.3211186,0,0,0,0,3.324836,0.6632818,0,7.623883
13,0,0,0,0,0.4678863,0,0,0,0,0,2.6989856,1.6099993,0,0,0,0,4.762955,2.121154,1.8549582,0.061455186,1.3846617,1.1990404,0
