x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2.5176008,2.801697,0,0,0,1.8443391,0,0,0,0.8025191,0.7199928,2.4091187,7.065002,0,0,3.433518,0,1.1408509,0.25899297,0,3.7886949,0.81446606,0.70760924,0.90313584,1.632517,1.8901242,1.5765177,3.1072266,0,0.36732,0,1.398297,0,2.5484316,0,1.4768074,0,0
2,0,11.451461,0,0,0.20900069,0,0.25422046,0,2.8811953,0,0,0.912402,0.4487972,0,0.7426004,0.22911942,0,0.21570128,0.02407836,0,1.925726,0,0,1.7080685,1.2718083,0,0,0.5338383,0,0,0,0.9257682,0,1.9464964,0.9062903,1.599325,0,1.8450786,0
3,0,0,0,0,0,0,0,3.6417947,0,0.285892,0,0,0,16.106276,1.4414229,0,1.0741584,0,0,0.9373046,1.0509139,0,0.7668573,2.5726542,0,1.2616067,0,0,5.423469,1.1397705,0,0.21904081,0,0,0,0,0,0.028990995,0.96776253
4,0.41624534,0,0,0.96815014,0.5895387,0.3708257,0,0,0,0,0,0,0,6.4955034,0,0,0,0,0,0,0.79326457,0.7823189,0,0,1.7934117,0.89502865,1.3999318,0,0,0,1.1381083,0,0,0,0.48145464,0,0,0,0.30310002
5,0,0,5.021286,0.36679497,0,0,0,0,0,0.5897344,0.099191375,0,0,3.6731768,0.455136,1.3817773,0.49322528,0,0,0,0,0,0,0,0,0,0,4.6136107,3.7546732,0,0.8075302,0,0.5505598,0,0,0,0,1.1355923,0
6,0,0,0,2.0288858,1.6349229,0,0,0,2.2023852,0,0.24914898,0.7334364,0,1.914133,0,0,1.5426544,1.2736723,1.419125,0,0,0,1.1452088,0,0.4404302,0,0,0,0,0,0.3366243,1.4329627,0,0.8524634,1.6461307,0,0.049553663,0,0
7,0,0,0,3.9148788,0,0.94186985,0,0,0.46328738,0,0.08930603,0,1.4632173,0,1.0747302,0,0,0,1.5188229,0.39587352,0.56282514,1.4540762,1.7561914,0.84551954,1.8873295,1.7536672,0,0.3904659,0,0,0,0,1.7011045,0,0,1.0786499,0,0.4748247,0.7194254
8,0.6710583,6.4049006,0,0.2022534,0,0.91029,0,0,0,0,2.6265893,0.4776469,11.691322,4.0230823,0,1.7611166,0,0,0,1.51968,0,0,0.41179213,0,0,0,0.21586612,0.15696172,0,0,0,2.4520006,0,0,0,0,0.08929131,0,0.5138623
9,0.43215957,0,0.432998,0,0.8452715,2.9599576,0.35036767,0,0.44508284,0,0,0,0,0,0,0.05746835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3856501,0,0,0,0,0.13996449,0,0,0.9219772,0
10,0.60724807,0,0,0,2.8769474,0,1.7100558,3.4661057,0,1.2250232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5997972,0,0,0,0.800509,0.9960484,0,0.2508226,0,0.9667008
11,1.6576694,0,7.921513,2.6214256,0,0,0.6373962,0,0,0.9517732,0,0.88161504,2.5368245,0,0,0,0,0.1827517,0,0,0,0,0,0,0,0,0,0,0.009049594,0,0,0,0,0.28819582,0,0,0.81099796,0,0.4430295
12,0,0,0,0.6356317,0,0,0,0,2.392373,1.4827965,0.17050913,0,3.5273352,0,0.6229587,0,0.12879357,0,0.67519903,2.2673771,0,0,3.5068026,0.7472393,0,0.19494294,0,2.889804,2.9779794,0,2.0067205,0,0,0.08980712,0,0.47071022,0,1.0427928,0.555331
13,0,6.006994,0,2.443658,0,2.3732214,0,0,0,0,2.8392875,2.5894058,0,0,0,0,0,0,2.2588353,0.72702646,0,0.82561207,0.08691782,0,0,2.484318,2.7716823,1.4069818,3.4472039,0,0.16545986,0.37904882,1.9817507,0,1.9216079,0,1.7516274,0.26534316,0.15102082
14,0,0,0,0,0,0,4.9046655,2.0454047,0.67909735,0,0,0,1.2872026,0,0.24718767,1.3290038,1.2573509,0.9935292,0.6938748,0,0,0,3.3415782,0,0,0,0,0.6171092,0.62947166,0,0,0,0.3332484,1.3469664,0,1.6954672,0.11396945,3.5094187,0
15,0,0,4.4484577,0,0.95750666,0,0,0,0,0,2.8863947,0.5422252,0.77941716,0,0.029458687,0,0,1.8993129,1.7939973,0,0,1.3464961,0,0,0.45991245,0.5397969,0.046843357,0.032043442,0.84161127,0,0.86046493,0,2.2975163,0,1.6173943,0,0,0,0.23888315
16,0.5563084,0,0,0,0,0,0,0,0,1.2258853,2.9776683,0,6.209087,5.033297,0,0,0.794846,0,0,0,0.24495983,0.37541723,0.2594161,1.2197123,0,0.1939526,0,0,1.1447576,0,0,0,0,0,0,0,0,0,0
17,2.3373375,0,0,0,0.27180827,0,0,0,0,0,0,0.18053804,0,0,2.4668927,0,0,0.7906943,0,0,0.39047307,0,0,0,0,2.535215,0.74129826,0.06619888,0.3337195,0,3.291679,1.6986129,0,0,0.19820258,0,0.40781003,0,0
18,0,12.237656,0,1.6037879,0.8465457,0,0,0,0,0,0,0,3.3785157,0,0,0.43122846,1.90085,0,0,0,2.7915738,1.2576128,0,1.4298838,0,0,0,0.17317809,2.8215628,0,0.3335871,0,0,0,0,0,0,0,0
19,0,0,0,0,1.1237051,2.5902085,1.3518745,0,1.7233144,0,2.0910244,0,0,0,0,0,0,0,0,0,0,0,1.1171738,0.49238673,0,0,0,0,2.1689942,0.49920434,0.18134427,0,1.5346504,0,2.7579758,0.031004617,0.34309962,0,0.45132402
20,1.8841869,0,3.1100962,2.0212374,0,1.1950386,0.8868618,1.8492064,0,0,0.6725581,1.231456,0,0.030429406,1.2368381,0,0,1.6734306,0.4141841,2.9764795,2.2857206,0,1.5745714,0,1.0687959,1.3014185,0,3.7136095,0,0,0.9886879,0,0,0,1.059394,0,0.013665685,0,0
21,1.1456258,0.9297157,0,0.35808966,0,0,0.05966957,0.28799906,0,0.15286578,3.0963771,2.2653537,0.9545752,0,0,0,1.4444376,0.4476955,0,0,0.3698085,0.8330774,0,2.7278695,0,0.6083153,0.027553868,0.73851305,0,0.3321435,0.41755503,0,3.065052,0,0,1.9938699,0,0,0.37356994
22,0,2.2353773,0.021322276,1.0832393,0,0,2.3730905,0,1.0214179,0,0,1.7296339,0,0,0,0.3444709,0,0,1.1828207,0.14353973,1.046674,0,0,0,0.98023707,0,3.1022992,0.9684559,0,2.6650357,0,1.9624485,0.23462501,0.50074476,0,0.14803171,0,0,0
23,0.11915657,0,0,0.5072007,0,0,0,0,0.50773525,0.33348227,0,0,4.4501624,0.56103384,0.43390927,2.375851,0,2.3582914,0.7184339,0.031437956,0,0,0,1.2697518,0,0,0,0.2879269,0,0,0,0,0,0,0,0,0.77343863,0.5997377,0
24,0,6.6157036,0,0,3.5693653,1.0238523,0.39466748,0,0,0,0,1.1269293,3.3486724,0,0,0,2.5937176,0,0,0.13070665,0.53551793,0.06616754,0,0,0.18229152,0,1.8251528,0.28976253,0.64822656,0,0.13534458,0.11448786,0,3.514587,1.3623625,0.6041804,0,0,0.5152637
25,0,0,8.621163,0.036017954,0,0,1.373727,2.4791062,0,0,0.6700247,0,0,0,0,0.4840256,0,0.7384615,0,1.6595591,0,0.29633936,0.32824376,0,1.1805372,0,2.4665716,0,0,0.21816374,0,0,0.41608146,0.27193004,0,0.7453356,1.2860627,0,0
26,0,0,3.376211,0,0,0,1.1715595,0,4.7557178,0,0,0,2.904775,0,0,0.41237697,0,1.9813551,0,1.6075802,1.6665748,2.8163402,2.437968,2.0166185,0,0,0,2.783198,0,0.09828717,0.52825695,0,0,0,0,0,0.25573602,1.3042759,0.5644319
