x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.39763874,0,0.14105332,0,0,0,0.5370464,2.2485828,0,1.584206,0.12631327,2.0968554,0,0.38977346,0,0,1.2796255,0.029121738,2.4111392,0,2.3391113,0.7237021,0,2.6619275,0,0,0.76910996,5.297073,1.7961054,0,0,0,0,0.560469,0,0,0,1.3135607,0,0,0,0.30230227,0,0,0,0,0,2.3140333,0,3.8657005,0,0,0,0,2.8287046,0.04854664,0,0
2,0,0,1.7279153,1.5565547,2.0913913,0.052822806,0.19805914,0,1.1203552,0.706074,0,0,0,0.28391308,0,0,0,0,0,4.0241766,0,0,0.002079833,0.8751872,0,3.8587854,4.191486,0,0,0,0,0,0,0.37896264,0.10323627,1.6581745,0.18882124,0.5298352,0,0,0,0,0,0.368645,0,0.8111088,0.21857609,1.5431198,0.84692013,0,6.214036,0,0,1.6294438,1.615286,4.7361927,0,0,0,0.12014911
3,0,0,0.83830166,4.418818,0,0.40097138,0,0,0,0,0.29921457,0,0,0.2666105,0,1.0520142,1.4347343,2.2535818,1.0351942,0,0,1.5652742,0.6712771,0.88489383,0.37110373,2.3104327,4.376043,0.65662634,0,0,0,0,7.9339604,0.027692435,5.315248,1.0689429,0,1.0158107,0,0.03194012,0,0,0,0,0,0,0.74352115,0,0,0,0,0,0,0,0,0,0.06717697,0.5438153,0,2.5367277
4,2.4099808,1.3077008,0,0,0,0,0,2.611982,0,0,0,0,0,0,0,0,0,0,0,0,0.08769793,3.1097946,0,0.84002507,0,0,0,2.0435114,0,0,0,0,0,0.6228728,0,0,2.065927,0,0.027342156,1.3014768,0.36458853,2.3764014,4.5331025,1.8523953,4.193811,2.0506911,0,0,0.22831102,0.9906408,1.533619,0,0,0,0,0,0,0,0,0
5,0,1.2175567,0,0,1.2142404,0,0.83065265,0,0.5252299,0,0,1.1030749,1.4205171,1.5717262,0.003197196,0,0,0.002579771,0,0,0,0,0.26566043,0.21789764,0.051910445,5.4131465,0,0,0,0.22855437,6.1804934,0,0,0.39676836,0,0,0.29938087,0,0.14060599,0,0,0.558753,3.9032066,0,1.6561391,0.31735882,1.077363,0,0,0,0,0,0.66125584,0.37432253,0,0,0,1.0572354,0,1.5736656
6,0,0,0,3.1745336,0,0.841355,0,0,0,0.81857735,1.3311069,0,0,0,0.38261747,0,0,0.65141904,1.2519476,0,0.45446435,0.69074774,0,0,3.030262,0,1.4141495,0.5651219,1.3973248,0,0,0,1.3445835,1.303437,2.8029525,0,3.6014123,1.1988388,0,0,0,0,0.6387544,0.34498236,0,0,0,0.6166807,0,0,6.1849375,4.4108896,0,0,1.0927703,0,0,0.68451834,1.0260255,0
7,0,1.9260445,0,0,0.03668669,0,0,0,0,0,0,0,2.683678,0,0.37312648,0,0,0,0.34206176,0,0,0,0,0,0,0,0,0.87312704,1.9678952,1.158497,3.8331382,1.9594045,0,3.1848614,0,1.2041276,0,1.0280447,1.2326394,0.07918309,0,0.09853526,0.7339118,2.4687362,1.40884,0,0,0,0,0,2.472248,0,0,0,0.74812585,0,0.22007713,0,1.1760587,0
8,0,0.18890998,1.797769,4.0564756,0,0,0.40784004,0,1.4488268,0.5775727,0,0,0,0,0,0,0,0.80575764,0,0,0.4158356,0,0,0,0,0,1.0912726,0,0,0,0,0,0,0.43598682,0,0,0,0,0.03187489,0.51972806,0,0,0,0,0.23697896,0.9708016,0,0,0,0,0.8427181,0,0,0,0.17575046,0,0.41633368,0,0.6713459,0
9,0.66686785,0.057627626,0.048792914,0,0.5649727,0,0,0.12043847,0,0,2.2863498,0,0.8240739,1.190621,0,0.74466014,0.7675617,0,0,0,0,0,0.512145,0,0,0,0,0,1.5969557,0,0,0.21170615,1.9868426,0,0,3.379556,0,0,0,1.7453585,0,0.17062902,0,0,0,0,0,0,1.4423825,1.3108218,0,0,0.29247338,0,0.77213204,0,0,0,0,0
