x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6752202,0,0,4.580509,0,0.10076118,2.020879,0,0.8646824,0,7.9171453,0,3.4456441,11.779822,1.2697357,0,13.413405,0,0,4.0144434,0.2298069,10.414138,6.014637,6.0496674,0,0,0,0,0,0.32575738,1.7374009,0,0,2.2364361,0,0
2,0,0,0.8862785,1.4476967,2.4972398,0.30588683,1.0083739,0,0,2.4835293,1.9931033,0,0.09518434,0,7.1193614,0,0,0.86234975,0,1.8529726,3.6593754,0.16997188,3.2501569,0,0,0.40862024,0,0,0,1.3637937,0,0,0,0.21265483,0,0
3,2.401481,1.3215735,0,0,16.193981,0,0,3.4546423,0,0,0,3.4138408,0,0,0,0.7753692,5.015308,0,0.16706161,2.7833974,0,1.6986517,5.113292,2.5654113,0,0,0,2.2785814,0,0,0,1.1057403,0,0,3.035944,1.1515601
4,1.8114244,0,0,0,0,0,1.0268766,0.8064518,1.5797,0.6622973,1.4013206,0,0,9.580151,8.882325,2.3278267,0,0.5710063,1.0458425,0,0,0,0,0,2.4051049,0,0.970263,0,0,0,0,0,0,0.11204736,1.5845653,0
5,0,0,0,0,7.535923,2.4721067,2.596938,0.17234655,0.14468165,0,0,4.8585086,0,4.231878,4.726449,0,3.6031218,2.950634,2.6110668,0,0,0,0,0,0.5168721,4.297687,2.6496801,0,0,0,0,0,2.400088,0,0,0.2116467
6,0,0.31378052,0.80386436,0,6.1310997,0,1.2148503,0,0.8769843,0,0,0,0.74810624,2.9205337,0,1.8543955,0,0.4016142,0,3.1419113,2.779248,10.459137,0,4.7446704,0.25865638,0,0.64504015,0,0.11714209,0,0,1.879424,0,0,0.59081215,0.06386825
7,0,0,0,0,0,0.551374,0.19988945,0,2.3109324,0,0,0,0,0,6.605652,0,0,1.4055749,0,0.16466859,1.1044736,3.0844135,0,0,0,0.92164665,0,2.3822515,1.5258024,0,2.8172386,0,0.21730994,0,0.17520678,0.2106415
8,0,1.7686633,0,0,26.127258,0.7472833,0,0,0,0,0,0,0,0.50742966,0,0,0,0,3.3053887,2.3913343,1.1913122,2.2291658,2.9813485,0,0.21798177,0,0.064226344,0,0,0,0,0,3.3976161,0,0,0.8568922
9,0,0,1.4482427,0,0,0,3.9639218,8.639102,0,0,0.28275305,3.3621235,0.23191279,1.3463914,0,0.20193699,8.009791,0,0.43073592,0.6231758,0,0,1.0100185,2.3741722,0,0,0,0,0,0,0,0,0,3.0376751,1.0728643,0.2399697
10,0,2.2979221,0.20869151,0,0,0,1.6516278,0,0.4181054,0,0,3.0670328,0,0,0,0,5.318068,0,0.115971364,2.5688977,1.6977245,7.5895844,5.459694,0,0,0.5771472,0.9920866,1.8721185,0.74207413,0.004259286,0,0,0.18434319,1.0423428,1.4631945,0
11,0,1.3719742,0,0.18026672,3.3625348,0.009269858,0,0,1.2347393,0,0,7.7178574,0,0,3.292135,2.4150887,0,2.6347563,0,0.6172324,0,3.9764283,6.5183554,1.4611559,0.75428694,1.3005548,0,0,0.30472717,1.6944066,2.1403902,4.066405,0,0.93987614,0.2933608,0
12,0,0,1.5199301,0,0,0.1698214,0,3.1267803,0,0,0,0,0,1.4488376,0,0,2.8795042,0,0,0,0.50568396,0,0,0,0,0.4467397,0,0,0,0.88361233,2.283575,0,4.9617934,0,0,0
13,0,0,0,0,0,0.06819553,0,2.6852925,1.301334,0,0.11461065,0,0,0,0,0,0,0,0,0,0,0,7.074395,0,0,0,0,0,0,3.0688806,0,7.3493752,5.3526287,0,0,0.4444645
14,1.5319877,3.2478483,6.0067444,2.9641166,0.66367614,0,2.4125433,8.012975,3.170199,0.26253137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6267164,0.9396259,0.36820358,1.5162272,0,0,0.45585296,0
15,0,0,0,2.237594,0,0,0,0,0,3.2636504,5.5918565,0,2.0721724,0,0,15.256968,0,0,1.3545939,0,2.6062005,9.696574,0,1.5808023,0.63254595,0,0,0,1.0429583,0,3.0137053,3.1228497,0,0,1.0588706,0
