x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2.5089743,6.169113,0,0,0,0.20661865,0.9382329,0,0,3.8731928,3.560544,0,4.638108,1.9022994,4.423919,0,10.623202,0,0,3.9092863,8.6396885,0,0,0,8.416864,0.88018495,0.8007877,0.983498,0.22264394,0,1.617195,2.5773797,0,4.910886,0,0,0,0.66155994,11.702773,4.1193943,2.6009111,1.6474668,0,7.006778,2.7280734,0,4.9962664,10.231612,0,0.6219811,0
2,0,0.2977046,0,0,6.9600797,2.3380058,1.7335584,3.5213397,0.82551503,0,0,0,0,0,2.029026,2.2710936,0,0,0,0,0,0,0.5960569,3.2239141,0.40846834,1.1406173,0,11.08496,0,0,0,0,0,0,0,0,0,0,0,0,1.1904011,2.2633605,13.875168,0,0,7.9988627,1.6078768,0,0,7.248129,0,1.833179,0
3,0,0,0,4.678125,0,1.1510853,4.0615706,2.5567484,10.23459,0,11.256864,2.892235,0.3751982,0.42340037,0,0,0,0,1.2686919,0.68671477,0.26131687,3.378274,12.110182,0,1.1031884,0.35758445,21.032093,0,5.54344,17.1663,6.596248,2.3502119,1.0847366,0.8330445,1.4712611,7.306159,0,7.1837373,0,6.25317,10.18002,6.9530253,0,5.33875,0,10.302558,2.9716678,1.7777506,3.7900662,1.1317033,0,5.017717,0
4,0,0,1.8722545,0,4.672093,1.1208909,0,0.011746752,0,0.28532794,0,6.178444,13.042889,0,0,0,9.994223,0,0,0,0,0,0,0.73498905,0,0,3.0043576,0,0,4.582885,6.3771996,1.708207,0,0.07112617,0,4.54674,5.639665,0,3.0142694,5.6870255,6.053723,7.751584,0,0,1.9649541,4.296258,4.239814,1.4334407,2.915254,3.2345545,0,0,11.482693
5,2.594751,0.2336565,0,0,0,1.6885152,3.3435485,0.38836306,6.7025094,0.08237566,8.921207,0,1.0181401,0,0.17631714,2.5563567,0,0,0,0,0,0,0,0,0,0,3.3728826,4.307273,0.0234768,4.6334314,3.6205115,1.7071614,0,0,6.0979056,2.9745202,1.458073,3.8921602,0.06030722,0,0,7.1590095,2.2000976,0,0.08128851,0,12.75274,0,5.2861214,4.7572126,0,0.36545727,0
6,0,0,0,0,0,0.11373193,0,4.1337166,0,0,0.9099089,0,0,14.199165,0,2.4031892,0,0,0,2.8314154,0,0,0,0,0,5.074335,0,4.7010922,2.034902,5.6260076,2.2723837,1.409191,4.0640078,3.3357925,0,0,0,5.709128,0,0.96614677,0,2.826391,0,0,0.7789747,2.7621386,0.44259232,1.2600496,0,3.2042408,0,0,0
7,0,0,0.81389993,0,14.081654,0.75193864,1.4554034,0,0,0,0,1.2818683,0,0,2.9405248,0,1.2818052,5.5809155,0,0,2.5957112,0,0,2.3201046,1.4718267,5.8037405,2.2916827,0,0,0,1.345455,1.1478328,0,0.009672833,0,3.912008,1.792923,4.8371096,0.021621576,0,8.396466,2.635386,4.4998245,5.149691,0,0.39376378,8.726973,0.28869233,3.8088973,0,0,1.7063375,0
8,0,0,0,0,24.45354,0,0.14469677,0.72899693,0,0.42394865,0,8.659887,0,0,6.2268667,0,0,0,5.3298225,0.030786764,0,0.20875281,0,0.32740542,0.0522145,0,0,15.068797,3.5011432,0,0,0.83457506,0,0,0,0.8936438,3.0814493,0,0.70117706,0,2.8093424,0.42608088,5.413339,0,1.7351924,1.58983,0,0.53447044,1.8977336,3.0923126,5.678032,0,0.8107182
9,0.78267753,0,4.2138596,7.916693,4.931644,0.94035375,0,0,3.3248413,0,0,1.672958,0,3.9399483,0,3.966763,0,0,0,0.87885404,0.35366642,1.7102225,0.07046798,0,1.4635023,4.27077,11.72418,0,2.5855103,7.894833,5.230521,0.15364337,0,2.1562848,0,0,1.8096724,0,0,0,0,0,6.5925546,0,0.009403008,0,1.2229819,0,0,2.5660655,0.5282953,0.4879079,0
