x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3.684739,0,0,0,0,0,0,0,0,4.859542,0,0,1.7798795,0,0,2.8942485,3.2342536,3.9091275,1.0016667,0,7.3327336,0,12.576417,11.215494,2.269742,0.40140805,3.4210434,0.7403872,1.8957096,2.7774303,0.80834204,0,3.5960371,0,0,3.3682892,0,0,0,2.0350754,0.9493654,1.374737,0,2.0120394,0.08166005,1.7454573,0,2.7568946,0,0,0,0.18374115,1.7315344,0.7204836,0.24056299,1.0582845,0,2.0184696
2,0,0,0,0,10.081132,15.01692,0,0.19628474,0,0.18908322,0,0,5.1213946,0,22.051018,1.3431078,0,5.5089273,2.8616166,0.32581088,0.86456406,0,0,3.8317802,0.20524907,0,2.8151536,1.5884043,0,0,1.4029982,0.88340175,0,3.3664262,0,1.1637652,0,0,3.325886,4.935786,0,0,1.3327341,0.1411641,0,2.911378,4.732287,2.0276072,0,0,5.1476116,0.76943237,0,0.66110414,0,1.9985112,3.857338,0
3,0,0,1.1902852,0,0,0,1.5775402,0,0.8650746,2.3419657,0,0,4.7345414,0,0,0.6249073,0,2.6971803,0.71206796,0,12.948335,0,0,12.222194,1.0943966,0.2486726,0,0.11291664,0.39495888,0,1.4695096,0.99944144,0.49924222,0,0,1.8499317,0,0,0,0.16313447,0,1.4949874,0,1.3621427,0,0,1.6426961,0.13029964,0,0,0,0.7300436,0.6085374,0,0.65795696,0,0,0
4,2.3382325,0,2.0236728,0,0,2.0283566,7.484012,0.16201772,1.1110086,0,0,0,0,0,0,0,1.5992975,1.762342,0.17623946,0,1.4584122,2.0827928,0,0,2.668155,0,0,1.6657718,1.912274,6.66753,3.2387846,0,0,0,0,0,0,0.8168984,0.520275,1.1542968,0,0.58638346,0,1.143989,0,0,1.2048658,1.3675789,0,1.5551467,5.0178046,0,0,0,0,0,0,0
5,5.1578774,3.7705579,0,13.160765,4.2772164,1.4008487,0,0,0,2.2193623,0,0,3.3784006,0,0,0.1354761,0.6610288,5.248624,0,0.25161114,0.23895292,0,9.09792,4.681999,0.9909379,0,0,0,0.681613,0,0,1.2307708,0,0,0,0,0.10385926,1.7752419,0.51229113,0,0,1.4450634,0,0,0,0,0,0,0,0,0,0.5097721,0,0.14377598,0,0,0,0
6,0,8.158488,3.4910104,0,0,0,0,0,0,14.440957,0,0,1.3607849,0,15.054329,0,0.8758596,0.7461616,0,0.8443365,12.6380625,0,0,9.608622,0.38824,0.76360226,0,0.38174984,7.4270883,0,3.1754434,1.1364279,0,0.7351051,5.637932,0,6.848504,0.26244015,4.2235317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23113653,0,0,0
7,0,9.992227,0,0,0,2.9992187,3.783962,0,0,0,0,0,3.6031146,1.2323557,0,2.1304736,0.054897938,0,0,2.332222,10.267052,1.1955998,0,3.5560398,0.60470957,0,7.816168,0,1.8482199,1.0539503,0.22746797,1.1013,0,1.325664,0,0,0,0,0.4291937,0.81502175,0,0,0,2.413117,0,0.58621866,0.8774692,4.2818923,0.68420815,0,0,0.27519414,1.290684,0.16751751,0.8686372,0,0,0
8,0.3395531,2.1022184,0,0,4.7672663,1.1914508,4.117477,0,0,0,0.07152514,0,0,0,0,4.433521,0,4.288439,1.1939223,0,0,0,0,4.6559796,0.12515017,0,0,0,0,1.0938218,3.2905664,0.6198209,0,7.345941,3.5208712,2.3679967,0,1.1973195,0,2.1325243,2.4864683,0.38881826,0,1.1018895,7.2637925,0,0,0,0,0,0,0.5748057,0.16940553,0,0,0,0,0
9,0,26.314436,0.035449427,0,0,0,0,0,0,14.174981,0,0.22241153,0,2.4228446,0,0.66830206,0,7.4878755,0,0,10.791857,0.7141758,0,0.8838424,0.7121199,0.7241722,1.6560028,0,0,0.5393362,1.3315939,0,2.2264533,0.103458,4.257008,0,0.81800663,0,0,1.3364086,0.8823235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6326874,0.37081575,0.7204182,0
