x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.29492038,0,0,0,0,0,0,0,0,0,2.2245667,1.9260497,2.254231,0.81378347,0.31585023,0,0,4.182458,0,0,0,0,1.8507435,1.8292927,1.1360769,2.8883948,0.08181138,4.8132195,2.804051,0,1.7707864,0,1.1664841,3.125252,1.1605145,0,0,1.2211615,0,0,4.2305565,0.7323665,0,3.0823088,0,0,0.4980471,0,0,0.95646405,0
2,0,0,0.53493047,4.284356,0,4.6421,0,1.1372156,0.8055966,0,9.302677,2.3214726,2.222232,6.970867,0,2.5948684,5.5771837,0,0,0.17648247,0,0.5702867,0,0,0.679426,0,0,11.484726,0,0,2.543584,2.5420246,0,0,2.0891674,3.317093,0,0.56109524,2.495555,7.136404,5.1679497,0.94065267,0,1.3111318,0,0,0.052694988,0,0,0,1.6585153
3,0.988834,0,0,0,0,3.2600765,0,0,1.2816633,0.81488764,0,0.005251923,5.3549066,0.78823817,0,0.014463043,0.83162177,5.473208,0,0.69856834,6.056838,0.094105974,0.8054595,0,0.80080897,0,0.64706045,0,0,0,0,1.8768449,0,0,0,0,1.1946094,0,1.115997,3.0119548,2.7783082,0.26324603,8.912883,0,0,0,1.4571395,0.65959215,0,1.441585,0.42302176
4,0,0,0,1.2999082,0,0,10.53745,0,0,0,0,0,3.3187242,4.3743343,0,0,1.8407812,0,0,0,7.9958186,0.9467804,1.5737938,0.81776667,3.5803761,2.0152717,0,3.367472,0,9.176069,3.866894,1.1621002,1.2474258,0,0,0,0,0.5342373,1.6821889,0,0,0,0,0,0,3.6853132,0,7.0213437,3.6055882,0.20688364,0
5,0,0,0,0,0,0,24.59268,0,3.9401286,0,0,0,0,3.4060762,0,0,0,3.802103,6.222765,0,0,0.61313975,0,0,0,0,0.24374591,3.895771,0,2.7331314,0.47305688,1.7522012,4.2911577,5.5540338,0,0,1.688577,0,0,5.4177065,0.13938546,0,7.3522534,0.8584217,1.2373348,0,0,0,0,0.45292735,1.2902995
6,0,1.2155124,2.368972,0,0,1.5122682,13.010266,0.021045484,0,0,0,0,0,2.6109889,0.6614031,0,0.8577292,8.450306,0,2.4691095,0.2921694,0,0,3.6882706,1.331388,0.5011156,0,0,0,1.3331616,0,0,0,0,3.6355011,0,0,0,0,0,0.38533622,0.06656123,1.5052732,2.0935035,0,0,0,4.710539,0,0,0
7,0,0,0,0,0,0.55623627,0,0,0.38377076,0,0,0,0,3.1409333,4.3232584,6.344535,0,2.9260058,1.8803287,0.24574108,0,0.3021234,1.3481245,6.750709,1.8914051,2.6558633,1.739456,4.6075306,0,0,1.9887891,0,10.726847,1.1687335,0,0,0.79558724,0,2.7259564,4.747731,0.15690683,0,0,0,0,0,1.1878843,0,0,1.7258997,0
8,0,0,1.2872907,1.7804276,0,0.6679739,0,0,0.1300152,0.26564535,2.6145203,0.050857678,0,5.798354,2.679709,8.313139,0,0,1.0683037,0,3.0939999,0.012946034,0,2.968984,0.43051973,1.2081064,0,0,0.90297335,1.3440577,1.902819,4.4953766,0,0,0,1.0327092,0,1.8763179,2.7948177,0,4.5115933,0,0,0.17788543,0,0.038145985,0.21441923,2.1060228,0,0,0
9,0,0,1.5909165,0,0,6.3229895,4.825068,0,1.8042272,0,3.0564647,2.9572787,0,5.365097,0,0,0,5.999118,0.87784743,0,6.26931,0.9905553,0.808727,0,0,3.879325,0.13390909,9.316408,0,0,7.1138234,0,0,11.620739,0,0,0,0,1.0951968,1.2528168,7.476794,1.8581641,7.054167,0,1.8556833,0,0,2.0725124,0.38639387,0,0
