roi,ROI,Classification,x,Y
64,47,,173,52
51,37,,454,145
14,13,1,277,420
13,12,,420,433
47,34,1,380,191
62,45,1,128,61
5,5,1,142.75,222.9285714
9,9,1,271,188
7,7,1,461.9014085,328.0985915
4,4,1,214,184
10,10,1,307,477
6,6,,190.2794118,473.6617647
11,11,,475,473
16,14,,470,407
18,15,,239,387
19,16,,481,377
23,17,1,261,368
24,18,1,185,366
25,19,1,104,359
26,20,1,409,335
27,21,1,344,332
29,22,1,254,320
31,23,1,311,316
33,24,1,210,307
35,25,1,487,295
36,26,,170,285
37,27,1,349,281
38,28,,111,274
39,29,1,209,258
40,30,1,262,254
42,31,1,402,245
43,32,1,353,237
44,33,1,457,230
48,35,,464,189
49,36,,135,176
1,1,1,49,171
8,8,1,400.8253968,158.5555556
53,38,1,248,142
55,39,1,89,115
56,40,1,342,112
57,41,1,413,95
58,42,,293,80
59,43,,438,73
60,44,,62,74
63,46,,358,56
68,49,,206,27
69,50,1,318,21
