Trial,Behavior,Start,End
1.0,valve opened,92.59,98.59
,cont reach,97.59,116.59
,ipsi in vain,100.59,112.59
,walk,162.59,178.59
2.0,valve opened,214.59,219.59
,cont reach,219.59,249.59
,walk,296.59,302.59
3.0,valve opened,335.59,340.59
,cont reach,338.59,361.59
,ipsi in vain,342.59,348.59
,walk,416.59,423.59
,walk,439.59,443.59
,walk,453.59,460.59
4.0,walk,456.59,461.59
,cont missed,459.59,462.59
,cont reach,463.59,479.59
,ipsi moved,463.59,480.59
,walk,576.59,582.59
5.0,valve opened,578.59,584.59
,cont reach,583.59,623.59
,ipsi in vain,586.59,592.59
,walk,646.59,672.59
6.0,valve opened,700.59,705.59
,cont reach,704.59,717.59
,cont in vain,718.59,721.59
,cont in vain,722.59,743.59
,ipsi moved,719.59,723.59
,ipsi in vain,724.59,738.59
,walk,770.59,806.59
7.0,valve opened,821.59,826.59
,cont reach,826.59,867.59
,ipsi in vain,829.59,842.59
,walk,882.59,904.59
8.0,valve opened,941.59,946.59
,cont reach,946.59,985.59
,ipsi in vain,947.59,952.59
,walk,1029.59,1035.59
,walk,1041.59,1054.59
9.0,valve opened,1062.59,1067.59
,cont reach,1067.59,1107.59
,walk,1140.59,1149.59
,both in vain (4),1150.59,1175.59
,walk,1176.59,1189.59
10.0,valve opened,1183.59,1188.59
,cont reach,1190.59,1210.59
,ipsi moved,1192.59,1195.59
,ipsi in vain,1203.59,1211.59
11.0,valve opened,1306.59,1311.59
,cont reach,1311.59,1334.59
,ipsi moved,1311.59,1318.59
,walk,1397.59,1404.59
12.0,valve opened,1427.59,1432.59
,cont reach,1431.59,1464.59
,ipsi moved,1432.59,1447.59
13.0,valve opened,1548.59,1553.59
,cont reach,1553.59,1582.59
,ipsi moved,1553.59,1556.59
14.0,valve opened,1669.59,1674.59
,cont reach,1673.59,1698.59
,ipsi moved,1675.59,1678.59
15.0,valve opened,1790.59,1795.59
,cont reach,1795.59,1812.59
,walk,1898.59,1910.59
,Tongue,1905.59,1907.59
16.0,valve opened,1911.59,1915.59
,cont reach,1915.59,1954.59
,ipsi moved,1916.59,1920.59
,walk,1995.59,2007.59
17.0,valve opened,2031.59,2036.59
,cont reach,2036.59,2050.59
,ipsi moved,2037.59,2041.59
,cont in vain,2051.59,2055.59
,ipsi in vain,2052.59,2058.59
18.0,valve opened,2153.59,2157.59
,cont reach,2157.59,2186.59
,ipsi in vain,2157.59,2161.59
19.0,valve opened,2273.59,2278.59
,cont reach,2278.59,2290.59
,ipsi moved,2278.59,2282.59
,cont in vain,2291.59,2305.59
20.0,valve opened,2394.59,2399.59
,cont reach,2399.59,2432.59
,ipsi moved,2399.59,2403.59
,walk,2501.59,2514.59
21.0,valve opened,2515.59,2520.59
,cont reach,2520.59,2559.59
,ipsi moved,2520.59,2526.59
,walk,2588.59,2592.59
22.0,valve opened,2636.59,2641.59
,cont reach,2641.59,2669.59
,ipsi in vain,2657.59,2672.59
,walk,2752.59,2759.59
23.0,valve opened,2757.59,2762.59
,cont reach,2762.59,2800.59
,walk,2875.59,2880.59
24.0,valve opened,2878.59,2883.59
,cont reach,2882.59,2905.59
,ipsi moved,2882.59,2887.59
25.0,valve opened,2999.59,3004.59
,cont reach,3003.59,3024.59
,ipsi moved,3003.59,3007.59
,ipsi in vain,3008.59,3028.59
,walk,3029.59,3046.59
,walk,3094.59,3112.59
,both in vain (2),3113.59,3127.59
26.0,valve opened,3120.59,3125.59
,cont missed,3161.59,3167.59
,noise generation,3161.59,3196.89
27.0,valve opened,3276.59,3281.59
,cont reach,3281.59,3320.59
