roi,ROI,Classification,x,Y
0,0,1,320.3908046,211.4367816
1,1,1,240.4444444,415
4,4,,292.8115942,290.1884058
14,11,1,252,440
18,14,,409,409
19,15,,92,406
21,16,,181,380
23,17,1,250,360
25,18,1,268,358
26,19,,141,354
27,20,,426,349
29,21,,60,335
31,22,1,486,332
34,23,,321,320
35,24,,167,308
36,25,,254,305
37,26,1,395,280
38,27,1,189,267
39,28,,271,243
40,29,,38,238
41,30,,344,225
43,32,,465,205
44,33,1,204,204
46,34,1,384,181
47,35,1,211,155
48,36,1,76,130
50,37,,336,94
51,38,1,440,92
52,39,1,291,60
53,40,1,145,59
54,41,1,31,58
55,42,,360,58
56,43,1,311,46
57,44,,448,35
58,45,1,404,33
60,46,,285,12
61,47,1,51,9
