x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.368298,0,0,0,0,5.2056055,6.197701,0,0,0,2.624269,4.2681866,0,1.1562622,0.073806144,0,0,0,1.7077653,0,0,0,0.060257863,6.2510567,5.9406767,0,0.8474054,0,0,0.511996,0,0,0,1.1291705,0.46694145,2.3010614,0,0.21881859,0,2.829384,0.67689174,0,2.409025,0.56605124,3.9575593,1.2211219,0,0,1.7353739,1.6599174,0
2,0,1.8496461,0,0,0,0,0,2.7390337,0,0,0,12.198374,4.0396543,2.6776004,0,0,0,0,0,18.278841,4.727798,0,0,0,0,0,0.13148823,12.1784525,0,0,0,1.1552926,0,3.9174767,0,1.2186515,0,0,0,0.8536735,6.24182,1.7019536,0,1.0094997,3.2991734,0.007522165,0,28.09737,12.298929,1.0135876,0
3,0,0,0,0,0,0.62130404,0,0.107964456,0,0.42353603,0,13.144568,3.0302815,5.302926,0,14.309999,0,9.745465,0.35474145,0,9.190087,2.5047238,1.0281984,5.5490932,4.831415,2.959928,0,0,0,2.9722457,1.4076316,0,1.884116,0,2.5336618,2.009532,0,0,0,0.053285148,0,0,0,0,0,0,0.7266293,14.365461,0,3.629806,0
4,1.8237978,0,0,0,0.5733939,0,0,0,0,0,0,0,0,0,0,5.6724014,1.7231984,0,0.81942767,0,0,0,0.03632158,0,0,0,0,5.8676243,0,0.14115079,0,0,2.7639298,0,2.3309371,0,3.8058422,0,17.94645,0,0,0,0,0,0,0,1.9610274,8.085742,0,0,2.8603292
5,5.5212092,3.2546785,0.7805494,0.43696895,0,0,0,0,3.3260472,0,0,0.76360345,3.192031,1.9257685,1.0367513,0,0,0,0,0,4.1651125,4.3475604,0,3.1592019,1.6916907,0,0,2.0547423,0.3019483,0,0,0,0,0,0,0,0,0.43567726,0,0,0,0,0,0.456785,0,2.400646,1.710954,0,7.0549135,0,1.4995813
6,2.4443486,0,1.1165138,0,0,0,0,0,0,0.86675245,8.623269,0,2.4957135,0,0,0,0,0,0,0,0,1.0241576,1.9360561,0.9981257,1.1559217,0,0,0,0,1.0903279,0,0,0,0,3.0508294,0,2.699553,0,0,0,5.2550197,0,0,0.18004599,0,0.48835793,1.3681533,5.6084723,5.9862475,1.1717378,1.7934849
7,0,0,0,0,0,0,2.2559402,0.7437532,0,0,0,0,0.5442171,0,1.6338956,0,0,0,0,0,0,0,0,0,0,0,2.072587,0,0,0.65144706,1.7391726,0,1.4290086,0,5.454335,2.9148831,0,0,0,0,2.2925217,0,0,0,0,0,3.6424956,3.3841603,0,0,0
8,0,0,4.180254,0,0.8610681,0,3.3324695,0,3.1282468,0.18052752,0,0,0,3.0991464,0.34660885,6.237121,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3952975,0,0,0,0,2.1367188,1.7520833,5.01454,0,0,0.8667379,0.68401617,0.48429075,2.3847291,0,5.010289,1.6382178,0,14.104998,0.10655251,0,0
9,5.0764503,1.9877307,2.117614,0.6736375,0,3.6100824,2.2971802,0,3.666495,2.2543259,0,0,0,0,0.79277945,4.2573867,8.788601,0.36625123,2.8323615,0,0,0,1.0134411,3.2563465,1.0104156,0,1.5316551,0,0,0.20597276,0,0,0,0,0,0,4.689474,0,0,0,3.9017653,1.1226313,0,0,0,0,0.78933036,0,9.155073,0,0
10,5.653554,5.6829453,0,4.1160464,3.6385064,0,3.0571558,0,0,2.257192,2.0642316,0,3.3887546,0,2.211157,0,0,5.2518783,2.1499329,0,2.5200446,0,0,2.1352088,0,4.5570064,0,0.3554416,0,0.0984812,0,3.891683,0,0,0,0,0,0,7.2865252,0,12.976832,0,1.49994,0.32300568,0,3.3202007,0,0,1.6610082,0,0
11,0,2.7422194,0,0,0,0,4.3264775,0,0,1.3316884,0,0,0.9385456,0,0,3.2393599,0,0,0,8.363358,0,0.34369454,2.5106626,4.028799,6.4398527,0,0,1.7066783,2.8638759,0,6.217207,2.5643609,0,5.430957,1.4793416,2.98269,0,0,0,0,0,1.4121511,0,0.28651443,0,0,5.8362885,17.976763,7.69345,1.5769196,0
12,0,0,0,4.5993686,0,0.059976,0,0,2.360374,1.7610545,0,0,1.7991942,0,2.6289353,0.42885697,13.188416,0,0,0,1.361553,0,0,2.258191,1.6540129,0,1.0487506,0,0,0,0,0,0,0,0,1.7824788,0,3.966858,5.12745,0,0,0,0,0,0,0,0,6.693155,0,0,2.4222767
13,0.3038956,0,0,0,0,0,7.108249,0,0.22449847,0,0,0,0.471994,0,0,0,0,0,0,16.740955,2.153181,5.2693543,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1906248,0,4.0096965,0,0,0,0,0,0,0.6829178,0,0,4.2226977,2.5416718,0.40954885,1.9493665
14,4.8880205,4.7001605,0,0.8972219,1.0577143,0,5.632363,1.5086298,0,0,0,28.791704,1.1719954,9.49665,0,1.6232446,0,0,1.8736107,0,0,0,0,1.7534188,0,0,0,0,0,0,0,0,0,0,0,0.9455353,0,2.2285552,0,0.39433002,17.91469,1.6208521,14.484195,0,0,7.3380284,0,33.658382,0,0,0
15,0,0,0.24683142,1.1500524,0.006575719,0,0,0.6762236,0,0,2.5466633,0,4.496816,0,0,9.103146,3.303782,6.8702464,3.5887759,2.3146136,5.63545,4.382751,0.27239415,1.6324874,0,2.1570606,0,0,0,1.773054,1.5465505,0.5635956,1.0882845,4.4749084,0,0,0,0,11.804924,0,0,2.8274865,16.861523,0,1.0796398,3.6485724,0,0,0,2.1682293,4.4007235
16,0,2.306683,0.41765907,4.5430045,1.857112,0,0,0,0,0,0,0,2.095938,8.037645,0,0,0,0,0,0.5227848,0,0,0,0,0,0,0,0,0,0,0,4.549118,0,0,0,0.2114188,0,1.7615391,1.0740505,0,18.828558,5.2704115,20.355179,0,7.3279176,6.8561006,0,31.097685,0,0,7.014726
17,0,6.16093,0,3.3032804,0,0,0,0.24218394,0,1.3298668,0,8.268089,9.552521,5.267301,0,0,6.6040645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42682645,0,1.9227271,1.698634,0,4.592974,0,4.34163,17.301313,5.0151663,17.735315,3.2247794,4.3704433,12.256328,0,16.748787,0,2.6722524,5.7511506
18,0,0,0,9.304238,2.630999,0,0,6.9407864,0,0,0,19.71158,3.8968697,4.700153,0,0,0.53556037,5.1962237,0,4.7726026,11.221444,7.164139,1.1783742,0,0.5751166,2.4203181,6.0629554,9.061862,0,1.2546549,2.7644148,2.280873,2.3695838,5.523872,7.389813,0,0,0,0,0.3311394,7.046234,0,0,0,0.3646167,8.390235,1.3265036,0,1.4863585,0,0
19,0,0.83247143,5.7220535,0,0.12722597,6.5312066,0,6.1438103,0.9116147,1.0463004,2.9328382,0,2.404296,0,0,0,7.552985,1.1917068,0,0.81277335,6.4990587,7.938819,5.2322493,0,0,8.222844,13.785958,16.243721,14.658562,0,5.4860754,3.7986825,0.22078009,10.003018,19.878088,0.8297618,5.6406264,6.181461,0,0,24.737095,2.633921,11.15101,0.36117196,0,11.180147,0,8.379853,0,0,0
20,3.7079117,2.8514488,10.216213,0,0,11.2051735,0,5.3698363,1.3399531,0,0,1.5931851,1.3912957,6.10242,1.555698,12.208646,7.1726317,0,5.099605,1.7925626,0,2.7927873,7.649146,3.6687458,3.4226885,0,4.8729434,0,17.451405,0,6.2035236,2.2612278,0,0,17.459538,0.8673267,22.374876,4.962658,14.499643,6.0957475,0.70008075,2.025,16.788364,0.7294359,0,4.797512,10.932774,6.866748,0,0,1.5251151
21,0,0,0.6685926,12.233087,2.0797012,1.8117249,0.17891742,3.3773522,1.8535295,0,0,0,2.0995457,0,8.0451565,0,52.99621,1.863839,0,1.8812836,7.0620303,14.126732,8.809488,0,4.9500403,9.128386,10.104635,63.76073,55.577263,0,21.184828,1.7121476,4.7673044,19.355377,0,0.8984292,8.294145,1.140151,0,7.04465,7.9691424,14.445071,34.1954,2.4586065,1.4230317,6.659507,0,9.18557,0,1.4341344,0
22,0,3.3866963,0,0,0,4.4135942,0,0.37484014,0,0,0.6356337,0,6.4367895,8.2004595,8.43108,7.714491,45.29136,0,3.2474682,1.5341645,1.7958193,3.0819907,4.189726,0.853532,2.3628685,0,2.234544,27.850632,4.7525983,3.6388035,2.975796,3.3201995,0,1.9348385,12.498316,7.03859,16.728941,6.0456233,6.019719,2.7092037,7.269703,6.1166515,0,1.0180532,0,0,5.4378014,3.9686687,12.326329,1.7360137,0
23,1.007297,1.2019302,9.924709,6.474386,0,11.375979,6.6331983,0,0,0.5313292,1.1573023,9.176751,0.49257746,0,8.284071,0,24.032276,1.6646386,7.0610433,6.326506,0,2.7283983,3.6926053,3.9455023,1.2492367,3.7421634,0,11.526284,9.12557,0,6.533076,0,5.4369626,1.726351,4.6854677,2.602724,6.8583813,0,0,0.6838723,5.9089866,2.6384122,0,1.0240706,0,0,5.4856496,0,0,0,0
