n,Behavior,Start,End
,Walk,76.59,90.59
1.0,Spout movement,91.59,96.59
,Cont missed,94.59,97.59
,Cont reach,98.59,106.59
,Cont in vain,107.59,116.59
,Cont in vain,117.59,124.59
,Cont in vain,125.59,133.59
,Cont in vain,134.59,139.59
,Walk,147.59,155.59
,Walk,163.59,173.59
,Walk,194.59,199.59
,Cont in vain,207.59,214.59
2.0,Spout movement,212.59,217.59
,Cont reach,216.59,225.59
,Cont in vain,226.59,237.59
,Ipsi moved,229.59,240.59
,Cont in vain,239.59,257.59
,Ipsi moved,242.59,258.59
,Walk,259.59,266.59
,Walk,304.59,308.59
,Walk,315.59,318.59
3.0,Spout movement,331.59,336.59
,Cont reach,334.59,335.59
,Cont in vain,336.59,348.59
,Ipsi moved,340.59,374.59
,Cont in vain,349.59,362.59
,Cont in vain,363.59,368.59
,Cont in vain,369.59,383.59
,Walk,421.59,439.59
4.0,Spout movement,450.59,455.59
,Cont reach,454.59,462.59
,Cont in vain,463.59,479.59
,Cont in vain,480.59,485.59
,Cont in vain,486.59,499.59
,Ipsi moved,456.59,464.59
,Ipsi moved,478.59,481.59
,Walk,500.59,505.59
,Walk,529.59,535.59
,Walk,547.59,557.59
,Cont in vain,560.59,563.59
,Cont in vain,565.59,570.59
5.0,Spout movement,569.59,574.59
,Cont reach,572.59,576.59
,Cont in vain,577.59,589.59
,Cont in vain,590.59,606.59
,Ipsi moved,602.59,609.59
,Cont in vain,607.59,615.59
,Walk,616.59,620.59
,Walk,649.59,656.59
,Walk,673.59,682.59
6.0,Spout movement,687.59,692.59
,Cont missed,690.59,692.59
,Tongue,693.59,694.59
,Cont missed,697.59,699.59
,Cont reach,700.59,710.59
,Ipsi moved,707.59,711.59
,Cont in vain,711.59,720.59
,Ipsi moved,715.59,722.59
,Cont in vain,721.59,731.59
,Cont in vain,732.59,739.59
,Cont in vain,740.59,745.59
,Cont in vain,750.59,752.59
,Cont in vain,753.59,764.59
,Ipsi moved,763.59,770.59
7.0,Spout movement,811.59,816.59
,Cont missed,812.59,814.59
,Cont reach,816.59,819.59
,Cont in vain,820.59,827.59
,Cont in vain,828.59,838.59
,Cont in vain,839.59,853.59
,Ipsi moved,832.59,842.59
,Ipsi moved,848.59,853.59
,Walk,854.59,865.59
,Walk,926.59,830.59
8.0,Spout movement,931.59,935.59
,Cont reach,933.59,936.59
,Cont in vain,937.59,945.59
,Cont in vain,946.59,952.59
,Cont in vain,953.59,965.59
,Cont in vain,966.59,975.59
,Ipsi moved,941.59,947.59
,Walk,992.59,998.59
9.0,Spout movement,1049.59,1054.59
,Cont reach,1052.59,1056.59
,Cont in vain,1057.59,1064.59
,Cont in vain,1065.59,1082.59
,Cont in vain,1083.59,1087.59
,Cont in vain,1088.59,1096.59
,Ipsi moved,1061.59,1085.59
,Walk,1119.59,1128.59
10.0,Spout movement,1169.59,1174.59
,Cont reach,1172.59,1180.59
,Cont in vain,1181.59,1193.59
,Ipsi moved,1189.59,1195.59
,Cont in vain,1194.59,1207.59
,Cont in vain,1208.59,1213.59
,Both paw licking,1224.59,1241.59
,Walk,1242.59,1251.59
,Walk,1271.59,1277.59
11.0,Spout movement,1289.59,1294.59
,Walk,1288.59,1292.59
,Cont reach,1293.59,1299.59
,Cont in vain,1300.59,1307.59
,Cont in vain,1308.59,1323.59
,Cont in vain,1332.59,1336.59
,Walk,1394.59,1401.59
,Walk,1406.59,1413.59
12.0,Spout movement,1407.59,1412.59
,Tongue,1412.59,1413.59
,Cont missed,1414.59,1415.59
,Cont reach,1416.59,1425.59
,Cont in vain,1426.59,1443.59
,Cont in vain,1444.59,1452.59
,Ipsi moved,1450.59,1452.59
,Both paw licking,1453.59,1471.59
,Walk,1472.59,1489.59
13.0,Spout movement,1531.59,1536.59
,Cont reach,1533.59,1535.59
,Cont in vain,1536.59,1538.59
,Cont in vain,1539.59,1541.59
,Cont in vain,1542.59,1549.59
,Cont in vain,1550.59,1563.59
,Cont in vain,1564.59,1571.59
,Ipsi moved,1549.59,1552.59
,Ipsi moved,1556.59,1565.59
,Walk,1585.59,1592.59
,Walk,1608.59,1612.59
,Walk,1636.59,1642.59
14.0,Spout movement,1650.59,1655.59
,Walk,1647.59,1655.59
,Tongue,1655.59,1656.59
,Cont reach,1656.59,1664.59
,Cont in vain,1665.59,1679.59
,Ipsi moved,1672.59,1682.59
,Cont reach,1680.59,1688.59
,Ipsi moved,1686.59,1697.59
,Walk,1698.59,1714.59
15.0,Spout movement,1772.59,1777.59
,Walk,1774.59,1777.59
,Cont reach,1778.59,1781.59
,Tongue,1782.59,1783.59
,Cont in vain,1782.59,1786.59
,Cont in vain,1787.59,1798.59
,Cont in vain,1799.59,1810.59
,Walk,1827.59,1843.59
16.0,Spout movement,1894.59,1899.59
,Cont missed,1896.59,1898.59
,Cont reach,1899.59,1902.59
,Cont in vain,1903.59,1917.59
,Ipsi moved,1908.59,1919.59
,Cont in vain,1918.59,1925.59
,Cont in vain,1936.59,1945.59
,Walk,1955.59,1962.59
17.0,Spout movement,2013.59,2018.59
,Cont reach,2017.59,2019.59
,Cont in vain,2020.59,2029.59
,Ipsi moved,2023.59,2031.59
,Cont in vain,2030.59,2042.59
,Ipsi moved,2034.59,2044.59
,Cont in vain,2043.59,2051.59
,Walk,2052.59,2056.59
, Cont licking,2057.59,2070.59
,Walk,2071.59,2076.59
,Walk,2120.59,2131.59
18.0,Spout movement,2132.59,2137.59
,Cont missed,2135.59,2145.59
,Cont reach,2146.59,2161.59
,Cont in vain,2162.59,2171.59
,Ipsi moved,2137.59,2171.59
,Walk,2172.59,2179.59
,Walk,2230.59,2249.59
