x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7.744257,0,8.680507,1.5992424,10.573161,0,2.5028036,2.1651824,0,0,0,0,4.7794676,4.6923876,6.755285,0,0,0,0,12.305977,6.399399,0,0.5994832,0.6744955,1.0404105,0.79245985,4.7875695,0,0,0.560921,0.20432848,1.0637819,0,0,0.86094356,0,7.8948164,2.2153285,0.39857385,1.0820516,0,10.524608,0,0,0,0,16.655767,0,5.0468316,0
2,1.9434793,0,2.8826575,4.008267,0,3.7630153,1.7653627,1.6334578,1.3862909,0,0,2.3886943,0,9.714297,0,9.297892,12.20328,6.130058,2.2847779,0,0,21.682934,0,0,4.606816,6.222202,1.152044,0,0.13289246,0.44502848,0,6.2863383,0,0,0,0,7.746459,6.063429,6.8567414,0,0,0,0,0,0,0,7.3280435,0,12.968161,0
3,0,0,0,0,0,0,0,0,0,0,0,4.4050555,0,15.19301,5.2536592,0,2.9262197,0,0,0,9.779175,0,4.753832,3.1243742,0,0,0,3.0661018,0,0,4.7805753,0,0,0,4.277835,11.468123,0,0,0,0,1.287489,0,2.5883763,4.268024,0,3.5894656,0,5.7786527,12.394219,0.39793015
4,0,0,0,5.9605117,0,0,0,0,1.3003851,0,10.599404,5.7683983,0,0,0,0,0,5.248913,0,0,5.3687444,0,0,0,3.9307122,2.9221344,6.11649,0,0,0.7794338,0,5.371172,0,0,0,0,0,0,3.706065,0,0,10.87987,0,0,0,1.8248038,8.996805,0,8.219593,0
5,0,0,0,0,1.17821,2.4375508,0,2.4134846,0.06450528,0,9.957147,1.6921092,0,0,0,1.0960712,2.69002,0,4.590717,6.1162753,0.5088515,18.435736,0,0.7780464,2.5822144,2.5799372,0,0,0,0,0,1.786459,3.62216,3.1573021,0,6.823689,5.050927,0.82165694,2.615515,0,0,0,0,0,0,1.9086746,2.9199805,0.856161,11.621847,0
6,0,0,0.66785175,2.9240208,6.587448,0,0,0,0,0,0,0,0.0520972,2.3175557,5.6827407,0.015541405,0,0,0,3.379948,1.3184198,10.295083,0,0,1.4043332,0,9.199372,0,0,0,0,1.870739,2.8184905,0.416399,0,0,1.589707,0.8008171,1.6884181,0,0,3.833161,0,0,0,0.9883732,6.4872384,0,2.3593943,0
7,0,0,0.8473188,3.8745942,0,3.355693,0,1.9113848,0.42436203,0.11067704,4.389703,0,1.021661,4.208454,0,1.0222684,2.5575612,0.46815622,11.114811,0,0,1.6175234,5.6988683,1.720293,2.0128996,5.318506,0,0,0,0.22726423,0,3.4460018,0,0.32476446,2.3951252,1.4071985,7.5517073,4.4644504,5.453697,0,0,0,0,0,0,4.333213,0.51315075,3.51857,2.7629483,0
8,4.0306787,0,1.4337832,0,0,5.4208174,0,1.0550202,1.1001194,0,28.331549,1.9504129,0,21.637495,0.7158327,1.6575133,0,2.2189152,0,0,4.522955,9.92812,0,1.4511831,4.790529,2.371438,14.250744,0,4.122792,1.4527359,0,4.545525,6.5958457,4.4378095,0,0,0,0,0,0.09368196,0,5.5720143,0.005950354,0,0,5.071822,7.869788,0.07181972,0,0
9,0,0,0,0.25466788,2.1215231,0,0,0.5928228,0.88761765,0,10.627276,3.9191358,0,1.5264069,0,0,4.919053,2.8021138,5.155776,0,7.8361874,0,0,0,2.9587245,1.3803298,8.68304,0,1.0938971,0.38926232,0,4.409624,3.657059,0.45242432,0,0,1.3423088,0,0.15647267,0,0,4.785371,0,0,0,0,0.6822488,2.7587297,16.934046,0
10,0.4339517,0,0.8660384,0,16.137968,0,0,0,0,1.7691288,0,0,2.863764,0,0,0,0,0,0,1.8220744,0,0,0,0,5.7529984,1.3375407,11.543747,0,3.5649667,0.4426849,0,3.981091,5.0547247,1.5510956,0,7.90102,0,0,4.4398518,0,0,2.5081024,0,0,0,1.7237319,14.581094,4.0741773,0,5.34879
