x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6.065962,1.2645079,0,0,2.682854,5.6903367,0,0,0.0694937,0,8.388151,0,0,0,0,0,21.631027,0,0,0,0.55071545,0,0,0.37406087,0,0,5.8412385,0,0,0,0,0.38897902,0,1.368538,0,0.9600511,0,0,0,0,1.1355782,2.8893611,0,0,0,0,0
2,0,0,1.1065995,0,0,0,0,0,0,3.106204,0.15051919,0,0,2.0734656,0,0,0,0,1.6899556,0,0,0,0,0.8721015,0,0,0,0,0,0,0,0.08546137,2.0014114,3.2516322,0.10573064,0,0,0,0,0,0.7673818,1.6281453,0.4443935,0,0,0,0,0
3,1.1587478,2.6634982,0.5653728,0,0.73911583,6.5452647,0,0,0,7.9781227,0,19.534704,3.2823486,2.2961922,5.9799733,0.7034542,0,7.9670396,0,0,0,0,0,0,2.1262808,6.9676347,1.8787882,0,6.869252,0,0,0,15.76878,2.547229,0,10.630084,1.4549525,0,0,0,0,1.4615632,0,0,0,0,0,0
4,1.2585863,0,0.7300389,2.7088153,0,2.2123013,0,17.196257,0,0,0,9.717516,0,0,0.3498354,0,1.2014356,0,31.204662,7.8192525,0.29007635,0,0,0,0,0,1.9151846,0,0,3.4440072,5.803613,0,0,0,0.53149956,0,0,0.5181024,9.341561,0,0,8.107691,2.3909245,7.7983284,2.517845,0.9084983,0,0.8189683
5,3.9506936,5.838318,0,0,0,3.1781466,0,0,0,6.1070137,0,6.992559,0,0,0,1.5546323,0,0,0,0.10787948,0,0.8248895,0,0,0,0,0,2.8247263,0,0,6.8107767,0.022379398,0,0,5.969309,6.2756553,0,0.42743298,0,0,0,0.6163533,0,0,0,0.18682818,0.9175801,0.5448381
6,0,0,1.3482316,0,0,1.9332693,10.72651,10.342649,2.7584183,0.775114,0,0,0,1.4926693,1.9780883,1.0913444,0,6.7405515,6.1338453,3.5211341,5.5430965,0,0,0,0,0,0,4.4644732,0,2.3171701,0,0,0,0,0,0,0.38236994,0,0,0,0,0.7939451,0,0,0.1920846,0,0,0
7,2.2622201,0.114252925,0,1.4932339,5.0684996,2.7802408,0,0,0.5270961,3.177892,2.3440256,20.9447,0,0,3.4647357,4.3370485,0,1.1215988,0.1791602,0,0,0,0,1.7644154,0,0,0,3.6455822,0,7.77359,0.6492397,1.3169135,0,0,5.6999187,0,0,0,0,1.1824267,0,1.2500119,0.3398977,0,0,0,0,0
8,0,3.3038933,0,0,0,5.6051455,0,0,0,0,0,5.2769694,0,0,0.9000856,0,0,1.1041191,6.179704,0,0.44504684,0,0,0,1.0653323,0,1.0332389,0.33369696,0,0,0,0,0,0,5.8836355,0,1.6765774,1.0758171,7.9852014,0.23737913,0,6.2834063,0,0,6.7730103,0.16959359,5.2148466,0
9,0,6.415648,0,0,4.8063846,1.3738916,0,0,0,6.88865,0,13.089202,0,9.7336855,4.1472235,0.42910305,1.605507,4.0587068,0,8.942028,0,0.6259142,0,0,0,0,0.7637066,1.3855159,0,0,0,0.9122124,0,0,0,0,0,0,0,0,0,1.0040984,0,0,0,1.0661972,9.720783,3.61981
