x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.44594285,0.29001772,3.0317152,0,0,1.1840128,0.5805404,0,0,0,0,0,0.5250876,7.1987414,0,0,1.0129997,0,1.1962228,0,0,0,0,0.095258445,2.3775048,0,0,0,0.096558504,0,0,0,0,10.964174,2.2580245,0.6287466,0,2.6490123,0,0,0,0.08497812,1.3415484,4.8455963,0,14.0234375,0,0,0,3.148909
2,6.4078493,0,3.446338,0,0,15.548932,0.13710389,0,1.1976701,0,9.030189,1.2797122,0,0,3.4104297,16.467209,0,0.52805215,3.6223848,0,0,0,0,6.2816944,0,0,0,0,0,0,4.2870693,0,0,0,3.6209471,1.7537415,19.157646,3.652538,12.454294,0,3.2907577,0,25.514942,0.86136913,21.665266,0,0,0,0,0
3,0,0,0,0,0,1.3141352,1.2525636,0,0,0,0,2.0708609,1.872583,4.050738,5.437503,5.652796,0,5.0706654,1.2448801,0,1.3743404,9.579211,0,0,5.5192666,13.387177,6.165815,0,2.6418052,5.1121564,0,0,0,21.860426,0,0.13617629,0,0,0,0.38309819,0,9.859426,0,0.29179844,0,0,1.9285825,0,0,2.7002788
4,3.994489,0.17297459,0,0,0.7111235,0,6.244001,1.8168554,6.203564,0,15.480529,10.2720785,1.1721578,1.9414401,0,0,0,3.3036642,0,0,6.091551,0,0.90402025,15.413408,0,0,3.6469529,0,3.2851572,0.29600048,0,0,0,7.174554,0,0,0,1.1768005,0,0,0,0.69578767,0,3.92632,0,9.972115,1.2969122,9.228639,0,0
5,0,0,0,0,0,0,3.603904,0.08970607,2.5940893,0,10.869277,5.760403,4.607883,3.958786,7.014974,10.683505,0,2.9944685,3.1721704,0,0,0,3.575972,0,0,6.028939,0,1.2387595,0.49732894,2.7721283,4.079876,0,0,13.100809,0,0,0,0,5.345998,0.72719467,0,0.8398357,0,2.7469606,0,7.186774,1.8203765,7.207109,0,3.3801746
6,0,0,1.1241748,0,3.900587,0,3.1313314,0,0.9963225,0,0,4.4762993,0,0,0,2.989116,0,6.406448,5.94926,0.6279141,2.6658878,0,0,13.073995,0,10.664801,3.4777856,0,0,2.5623603,2.196824,0,0,0,0.5130552,1.5769159,0,0,1.553139,0,0,2.7638602,0,2.1402595,0,0,1.6355966,5.885055,0,0
7,0.1639176,0,0,1.5008312,1.9046396,0,2.1759527,0,0.76784223,0,1.5674113,0,0,0,6.601157,6.334287,0,1.5504621,2.004794,0,0,0,0,0,0,0,0,0,0,0.6308833,0,0,0,0,0,0,0,0,0,0,0,0.6133903,0.98056436,3.1223357,0,4.87511,1.9930724,12.741938,0,2.5699234
8,0,6.3402557,0,8.575766,0,0,0,0,0,10.006283,0,7.993206,0,0,15.045015,0,8.064386,0,0,26.924782,0,27.737938,21.4698,0,33.780796,0,0,6.1916795,0,0,0,24.766869,3.2147052,0,4.898997,4.317493,0,4.7896733,0.4593141,3.505093,0,2.2653408,16.778692,1.2988993,4.774072,5.726814,0,0,4.4314833,0.5160063
9,0,0,2.0248096,0,0.1687999,0,0.44406256,0.57750744,0,0,0,0.021497412,0,2.3624794,0,0,1.5503087,0.33309853,0,0,0,14.302472,6.3647547,0,0,4.0222034,0,0,0.99142116,3.0277698,0,0,11.389574,1.5237881,0,0,0,0,0,1.0018326,0,7.534995,0,0,0,0,0,0,0,1.8246561
10,1.9842591,0,3.4226427,0,1.7499329,0,0.7644798,1.4998977,0,0,0,11.988601,3.1553507,3.359091,0,1.8926284,0,5.798123,0.5939688,0,1.2461365,0,0,12.232054,0,4.580668,1.1836041,0,0,4.777602,0,0,0,28.281725,0,0,0,0,0,0.27498087,0,0,0,0,0,3.6277566,0,5.2674417,0,0
11,2.031401,0,0,0,1.3492084,0,3.4226763,0.9271878,0,1.5365762,9.97073,13.223063,5.3749857,0.82858187,0,3.079421,0,5.143043,5.4232273,0,2.8983269,0,0,6.1638227,0,9.17926,1.9067525,0,0,0,0,0,0,6.559342,0,0,0,0,0,0,0,4.3742533,0,1.9671435,0,10.932062,0,19.310238,0,0
12,2.5392063,0,3.6315854,0,5.354932,0,0,0,0,0,8.123423,0,0,0,0,11.34914,0,7.0805774,0,0,4.2501287,0,0,0,0,5.424589,2.2166479,1.4042287,4.178197,0,1.610043,0,0,0,0,0,0,0,0,4.7463984,0,6.710057,0,0,0,2.5787218,1.0641136,1.6478087,0,0
13,0.49012867,0,0,0,0,0,0,0.08736134,0.29293543,0,6.2544045,9.626965,2.5844033,0,0.5399866,13.974012,0,11.67067,0,0,19.938356,0,0,6.7015944,1.8740902,5.8063364,0,0,0,0,0,0,0,10.754331,0,0.30191076,0,0.025231518,0,0,0,0,0,0,0,2.027795,0,0,0,0
14,1.8227075,0.049572572,0,0,7.4574494,3.497344,0,0,0,0,0,13.399289,0,0,0,0,0,0,3.3419552,0,0,0,0,3.36279,11.359703,0,0,0.70379454,1.1345338,0,1.6735647,24.043442,3.722263,0,6.094685,5.64336,4.851235,3.805245,0,0,3.583078,0,17.778965,0,15.464041,0,0,0,4.534791,0
15,0,1.3014317,0,7.161177,0,0,0,0,0,3.8559258,0,0,0,0,0,0,10.588914,0,0,17.586205,0,24.858606,0,0,19.658016,0,0,4.701295,0,0,0,17.829552,4.3970275,0,7.493072,0,0.7480068,0,5.361686,0,0.13249913,0,0,0,3.3457506,0,0,0,1.7299173,0
16,0,1.4150802,0,0,0,0,1.3343534,0,0.5812386,0.2753741,0,0,0,0,3.038132,0,0,0,0,14.4494915,0,3.4266634,0,0,1.7727226,2.9822795,0,0,0.9223189,3.9161043,0.16537474,0,0,0,0,0,0,1.5769172,0,1.2452315,0,0,0,0,0,0,0,0,0,0
17,0,1.5019033,0,3.0794127,0,0,0,0,0,0,1.506586,2.8680634,2.1878827,0,4.6490064,0,0,0,0.7299441,0,0,14.381169,0,6.7694235,0,1.7653114,0,0.45504758,4.110544,0,2.9473531,7.3949513,0,0,0,4.0944295,0,4.5001616,1.3404602,0,0,0,2.4019194,0,0,0,0,0,5.102585,0.55051434
18,0,0.5416964,0.29255205,0,0,5.88483,0,0,0,4.363297,0,0,0,0,0.026002185,0,2.790657,0,0,7.034824,1.6904522,14.703222,5.974777,0,0.94146883,4.70515,0,1.8497418,0,0.3682196,0.90916854,0,0,7.3466883,0,0,4.0043416,3.092286,0,0,0,0,20.60336,0.7840667,0,0,2.7167692,2.0401506,0,0
19,4.110928,0.49852702,2.9635253,0,0,0,7.3151402,1.2819248,1.1460563,3.2369604,0.5927924,0,0,0,0,0,0,0,1.7447186,0,5.046271,0,0,0,1.0890642,0,0,0,0,0,0,0,0.7852129,0,2.7623236,0,0,0.25068533,0,3.149669,0.8138238,1.2029359,1.2748601,0,0,0,0,0,0,0.13107096
20,0,1.2523004,0,10.324562,0,15.349847,1.4654887,0,0.27312478,2.432592,0,0,0,0,7.725981,0,8.8991375,0,0,6.7857957,4.0526724,17.271276,12.355405,0,10.474083,0,0,7.9619064,0,0,0,36.08233,4.885907,0,8.542978,1.1631091,8.174782,6.5567555,0,0,0,0,7.499149,0,7.022331,0,0,0,1.1930221,0
21,0,0,0,0,0,0,0,0.4273824,0,2.9437923,0,0,0,0.24550807,0,0,2.1792045,0,0,0,10.719448,0,0,0,1.5300373,0,0,0,0.26717913,1.4113156,2.6503308,0,0.49620432,0,0,1.8134181,0,0,0,0,0,5.3579106,0,0,0,7.072851,2.7133095,8.747994,3.940611,0
22,0.06707278,0,0,0,0,0,1.008138,0.27219415,0,2.5547507,0,2.3655367,0,4.7003818,0,2.909265,0,0.3497324,0,0,22.930973,0,0,1.1443747,0,0,5.36061,0,0,2.4621952,0.39431205,0,9.352258,16.365696,0,0,0,0,0,0,0,0,0,1.5034645,0,5.261096,16.738289,5.6768928,0,0
23,5.161263,0,0,0,2.6545522,0,5.0822396,0.7615859,0,0,10.097886,12.1846695,12.658766,1.9655118,0.4482994,1.4598101,0,9.999844,2.923986,0,20.467121,0,0,7.347978,0,10.050682,8.41962,0,0,1.9897501,0,0,19.391342,9.834789,0,0,0,0,1.9272565,5.4448442,2.1957474,1.5474916,0,0.6619587,0,0,15.462163,0,0,1.846998
24,1.6842126,0,5.8656883,0,1.9782279,0.8753197,0,1.0506474,0,2.8191047,8.235517,4.706996,9.14016,4.3886642,7.03774,6.474018,0,6.6532545,0.77368414,0,23.71193,0,0,11.145075,0,0,9.698281,0,0.13514106,3.3234005,1.0403099,0,11.085308,10.828964,0,0,0.1423671,0,0,1.3303449,3.3913443,5.362801,0,0.8515286,0,7.042201,11.285845,0,0,0.8217393
25,3.2503464,1.6357903,0,0,7.083134,0,0,0.36342221,0.8613924,1.9634644,6.239628,0.9727267,13.812432,0,1.0857885,6.9609833,0,7.517016,0,0,14.31033,0,0,10.267728,0,2.1786644,5.456607,0.10835887,0.36434168,1.7174414,0.82748723,0,0,7.683271,0,0,0,0,5.972381,0,0,0,0,0,0,7.073712,9.551672,0,0,0
26,4.3281045,1.550453,0,0,0,4.598702,0,0,1.0054322,2.2744076,6.824581,6.5288134,18.181545,2.0471566,1.2624679,12.062892,0,7.338493,5.6832285,0,16.234118,0,0,17.531631,0,16.061968,6.245022,0,0,0.73440456,0,0,0,22.331865,0,0,0,0,0,0.56026936,0,0,0,0.31168672,0,4.9765153,7.038899,7.381049,0,3.8883803
