x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.4977472,0,3.5128844,2.5196075,0,0,0.878094,0,3.9383204,3.4215283,0,0,0,13.497916,0,0,0,0,1.6560831,7.3264294,4.3962975,0,7.1832113,0,0,0,5.835836,0,0,0,2.29505,1.7307702,4.4425473,2.7420032,0,0,0,0,4.1054463,4.5279922,0,0.272425,0,0,1.2378194,5.6502037,1.0929872,0,0,0,0,0,2.25484,3.5623243,0,0.6161546
2,0,13.155209,0,0,0,0,1.9056329,0,0,0.57848406,0,0,0,0,0,1.5420363,0,0,0,2.3343363,3.7526498,0,12.376006,7.452534,0,12.830691,0,0,0.35411376,0,6.7582684,0,0,0,23.000057,0,0,0,0,0,23.413933,2.83169,0,0,0,0,1.5831056,0,0,0,0,0,0,0,0,0
3,0,1.9633887,0,0,1.2179372,0,0,0,0,6.1327868,0,0,0,0,4.7963595,0,0,0,0,14.750751,0,0,0,3.8557062,0,15.587789,0,0,0,0,0.6623704,0,0,0,1.4291399,0,0,0,28.648987,0,15.984633,0,6.2380614,0,0,4.888077,14.7503805,0,0,0,0,0,0,1.0795009,0,0
4,0,2.3308995,0,0,0,0,4.9726677,0,0,0,0,0,0,0,0,0,0,0,0.6567782,35.593773,0,0,14.926165,3.7523203,0,7.101033,0,0,0,0,3.7951136,0,0,0,3.6971889,0,0,0,15.3190155,0,1.6342582,0,0,0,0,0,0.38014388,0,0,0,0,0,0,0,0,0
5,0,4.839815,0,0.4523257,0,0,0,0,0,0,0,0,0,0,0,0,1.3804392,0,0,0,0,0,23.371328,5.432472,6.453379,0,0,0,0,0,5.9026732,0,0,0,3.7124906,0,0,0,7.2610173,0,0,2.3027117,0,0,0,0,12.593355,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0.21057105,0,0,0,3.9925644,2.781865,0.6614842,0,0,0,0,0,0,0,0,22.642956,0,0,0,21.317165,0.31000572,8.287563,0,0,0,2.3399045,1.8402345,0,0,3.6829731,15.108801,0,15.018953,0,1.7524282,0.3799701,14.437157,0,2.662095,0,1.1937959,17.607832,1.9338886,0,0,0.08915448,6.120786,0,0,2.3483021,1.7533565,0
7,0,0,0,0,0,1.6085905,0,0,0,2.052083,0.4460871,0,0,0,4.9277735,0,0,0,0,15.047002,0,0,0,1.1845008,0,5.681296,2.9452906,0,0,0,2.9904795,0,0,0,9.342132,0,0.1686774,0,24.305712,0,25.897943,0.1655207,0.56986797,0,0,15.425127,4.5694056,0,0,0,0,0,0,2.8061607,0.13210903,0
8,2.7463229,4.2275033,0,0,0.5215117,0,0,1.9135784,0,0,0,0,5.2913218,0,0,0,5.56584,0.9686577,1.585258,2.2470126,2.589473,0,10.252285,5.6180644,3.9958692,3.3234427,0,2.1178336,0,0,2.652681,0,0,1.0711684,2.4166343,0,0,0,1.6802635,0,0,0,0,0,2.530898,7.8227673,4.8934608,0,0,0,10.558899,0,0,0,0,0
9,0,0,0,0,0,1.2978337,0,0,0.18563804,0.8855571,0,0,0,8.409452,0,0,0,0,0,0,3.001878,1.1939353,8.014465,16.292068,0.6517038,0,0,3.5909455,0,0,3.5916328,0,0,0,0,0,8.108893,0,7.0630293,2.118445,0,0,2.0145323,5.4423018,0.9682699,9.63997,7.2114005,0,0,0,0,0,0,0,0,0
