x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6150357,0,0,0.14116104,0,0,8.829027,0,0,2.5921187,0.4589269,1.794206,0,0.8720652,0.9027916,1.2203324,0.4627385,0,2.0793877,0.12166592,0,0,0.70428294,3.5408952,1.2442594,0.32995495,2.6890109,1.5809625,0.7901249
2,0,1.5992671,0,0.32276613,0,0,0,0.34435344,0,0.48187077,0.490164,0,1.4474312,0,0,3.1310954,1.3909279,0,0,0.32491726,0,0,0,0,0,0,0,0.037857696,0
3,0,1.9835075,0.033367038,0,0.4681105,1.5341017,1.4454514,0.5046977,0,0,0,0.1490751,0,1.3725554,0,0,1.3523251,0,0,0,1.1937621,0,0,1.4309057,1.4751241,0,0,2.0683084,0
4,0,0.427641,0,0,0,0,0,0,0.031434324,0,0,2.423154,0,2.9088047,0,4.4817243,0,0.64948434,0,0.63338554,2.3834167,0,0.19786845,0.44617423,0,3.2087386,0,0.11032782,0.99719274
5,0.85086817,0,0,0.58211535,0.3261658,0,4.9260283,0,0.21262543,1.5806179,0,2.570561,0,0,3.3866599,0.7356733,1.4333409,1.4533997,2.7197034,0,0,0,0,2.4559247,0.3414242,0,0,0,0
6,0.15415065,0,0,0.54580194,1.9375314,1.0855798,0,0,0,0,0,0,0.30427852,0,3.7384038,3.129649,0.07022292,0,0,0.8941665,0,0.29387718,0.7533165,1.3715402,0,0,0.408541,0,0.24385598
7,0,0,0.084072046,0,0,0.17651828,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0165763,2.9980626,0,0,0,0,1.2170591,0,1.0421445,0
8,0,0,0,0,0,0.11822861,0,2.6622908,0.9164308,0.5190797,0.6884555,4.483691,0,0,0,1.3914858,0,0,0,1.0271412,0,0,0,0,0,0,0,0,0.002039672
9,0,0,0,0,0.13433294,0.49587658,3.2634335,0,0,0,1.2847755,0,0,3.9982967,2.1282573,0,0.3811201,0,0,0,0,0,1.2394563,0,0,3.0708282,0.7483303,0,0
10,0.7366041,0,1.1147784,0,0,1.1414227,0,0,0,0,0,1.660961,0.40151432,0,0,0,0,1.3494171,0,0.41633075,1.9392942,0,0,0,0,2.952753,0,0.6509137,0
