x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,7.161211,0,2.6600535,0,0.6532843,0,2.1557713,0,0,0.6855776,0,2.9278188,0,0.8683407,2.4837546,2.351203,4.60678,3.0901632,0.19248663,0.09970593,1.3678346,2.3560424,1.7544688,1.8843772,0.9535855,0.7090887,0.41503352,0,0,0.9650858,1.8875319,1.281127
2,1.6701717,0,0.91054964,0,0,0.11874375,0.8395816,1.6744981,1.2193216,3.6393983,0,0,0,0.3565123,0,0,0,1.8122243,1.2730129,0.43080062,0,0,0,0,0,0.36353007,0.5811973,0.45175257,0,0,0.0662899,0,0
3,0,0,0,0,0,0,0,0,0,0,0.791147,1.2303807,0,1.605286,0,0,0,0,0,0,0.7587614,0,0.21035177,0,0,0.15786391,0,0,0.34361744,0,0,0,0
4,0,0,0.5417848,0,0,1.6860193,0,1.4249847,1.6742715,0.64236206,0,0.36693108,0.053947493,0.61003155,0,0,0,1.254653,0,0,2.0830977,0.019741554,0.21277562,0,1.9275084,1.034561,0,0,0,0.88704246,1.8436072,0,0.16963877
5,0,0,0,0,0,0,0,0,0.031345688,1.4402149,0,0.8444227,0,0,1.617062,0,0.030544592,0,0.7515501,2.0703747,0,0,0,0,0,0,0,0,1.9772955,0,0,1.7992325,0.69009626
6,0,4.164052,0,0.40186468,3.115133,0,0.830549,0,0,0,0,0,0.082500614,0.5182812,1.9350023,0,0,0,0,0,0,0.37350035,0,0.81225324,0,1.6855307,0,0,1.0954796,0,0,0,1.2020988
7,0,0,0,0,0,0,0,1.5702412,0.721714,0,0,0.61016905,0.62323576,0.15336533,0,0,0,0,0,0,0.86691374,0,0,0,0.870897,0,1.3939347,0,0,2.3097847,0,0.5892428,0.8513346
8,1.3053346,0,0.38612783,0,0,0,0.30229864,0.15323015,0,0.6276831,1.1161673,0,0,0.43692786,0.7095953,2.9172432,0,2.0605953,0,0,0,1.760583,0,1.1267897,0,0,0.22884563,0,0.14714071,0,0,0,0
9,0.33516145,2.8782969,0,0,0,0,0.34634602,0,0,0.09296801,0.31625974,1.9951578,0.110933125,0.25695693,1.6244333,0,1.3390331,2.189999,0,0,0.43801066,0,0,0.38703147,0,1.0769514,0,0.18739672,0,0.50754124,0.012971458,0,0.340249
10,0,0,0,0,0.07749294,0,1.5588089,0,0.56154996,0,0,0,0.29714885,0.17345814,0,0,0,0.9860842,0,0,0,0,0.016499814,0,1.1597501,1.3845289,2.3619628,0.10769282,0.4142615,0.6373223,0,1.1235186,0.56551224
11,0,0,1.2950574,0,0.7391993,0,0.7271389,1.1770905,0,2.4195917,0,0,0,0.07670218,0,0,0,0,0.20691387,0,0,0,0.2451162,0,0.1925825,0,0,0,0,0,0.6545232,0,0
12,0.544831,0,0,0.1515047,0,1.277142,0,0,0,0,0,0.5377061,0.46575361,0.6537966,1.4056513,1.1896908,0,3.7934299,0.6940141,0,0,0,0,0,0,0.78282607,0,1.9883993,0,0.56101334,0.4721307,0.014622544,0
13,0,0,0,0,0,3.0055618,0.33733797,0,0,1.0378433,0,0.9531961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55878675,0.24702008,0.75572824,0.8533217,3.293939,0
14,0.766072,0,0,0,0.67986715,1.4037918,0,0.10200438,0.005702848,0,0.77704483,0,0.39792785,0,0,1.5284775,1.2932003,0,0,1.1024477,0,0,0,1.3181058,0,0,0.22650439,0.034037903,0,0,0,3.7681415,1.6490952
15,0,0.1370308,0,1.7304198,0,0,0,0,0,1.6435158,0.38974747,0,0,0.08299676,0,0.36419696,0,0,0.96210366,0.2083339,0,1.9358957,0.54139096,0.4804873,1.7541602,0,0,0.40369156,0,0,0.7598664,0,0
16,0,0,0,0,0,0,0,0,0,0.42370623,1.8215699,0,0.092442706,0.19068508,0,0,1.8731129,0.2264466,0,0,0,0,0.58917177,0,1.7776853,0,0.1553481,0.11490268,0,0,0,0,0
17,1.5011857,0,0.15394972,0,0,1.5259296,0,0.75807077,0,0.86523294,0.9663756,0,0,0,0,0.21354364,1.1967849,0,0,1.4316036,2.994929,0,0,0,0.38994136,0,1.0061079,0.25166464,0,0,1.0833306,1.8812227,0
18,0,5.5556645,0,0,0,0,0.78403896,0.34903345,0,0,1.2601398,0,0.09906495,0,0.16120495,0,0,0,0,0.62209517,0,0.82442164,0,0,0,0,0,1.9322107,0,0.22485435,0,0,0
19,0,0,0.48588,0.9450492,0.480569,0,0,0,0,1.0417889,0.8709725,0,0.024935925,0,1.994722,0,0,0,0.72516143,0.1183621,0,0.2109884,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0.9315863,0,1.0418319,0,0.20707686,0.6619829,1.8376701,0.79536957,0,0,0,0,0,0,0,0,2.1660113,0.3958338,0,0,0.21141677,2.3134313,0,0.04603311,0,0,0,1.3912363,0,0,0
21,1.0271599,0,0,0.45254958,0,0,0,0,0.70868236,0,2.7350154,0,0.20310688,0,0,0.21138176,0,0,0,0,2.6882215,0.05499149,0,0,0,0,0.34333903,0,0.06429534,1.817067,0,0,0
22,0.33479917,0,0,0,1.1981807,1.1080033,1.0684084,0,0.8691053,0,0,0.8652354,0,0.3902524,1.0771075,0.3536297,0,0,0.47173795,0,0,0,0,0,2.5150652,0.92537427,2.1602538,0,0,0,0.8617018,0.15520716,1.2008588
23,0,0,0,0,1.2457367,0,0,0,0.58607715,0,0,1.2404993,0.77557135,1.255596,0,0,0.2078219,3.1761205,0,0.26494685,0,1.780249,0.07943581,0,0,0,0,0,1.0992591,0.42817217,0,0,0.3722799
24,0,0,0,0.5367977,0,0.4098295,2.9979682,0.18427362,0.94596416,0,0.035673097,3.2997768,1.0337038,0,0,0.2089106,0.024976203,2.2284727,0.07730826,0.30808616,1.5579058,0,0,0,0.4106594,0.66209966,0,0,0,0,0,0,0.19195051
25,0.40980148,4.4765134,0,0,0,0,0.05107472,0,0,0,2.2035742,0,0,0.27177107,0.41132757,0,1.8138841,0.98228043,0.24175997,0.8630245,2.3490953,0.946404,1.3864934,0,1.408088,0,0.5138379,0,0.82416534,0.5495256,0,1.4756585,0.35878053
26,0,0,0,1.5637095,0,0.21477105,1.1640193,0,0,0,0,0.7131332,0.6078519,0,1.7811056,0.20859736,1.8597196,0,0.65976506,0,0,0,0,0,0.33898202,0,0,0.02839772,0,0,0.72709537,0,0
27,0.6081633,5.205103,0,1.7095851,0,0,0,0,0,0.017977841,0,0,0,0,0,0,0,0.934928,1.6942252,1.0307461,0.25623587,0,0.09092289,0.9255187,0,0,0,0,0,0,0,0,0
28,0.14866035,0,0,0,0,0,0.59226906,0.8697076,0.92094743,2.3791687,0.030614387,0,0,0,0,0,0.39733174,0,0.19483428,0,0,0.18213126,0.5170154,0.7455454,0,0,0,0,0.06817714,0.08227753,0.017475652,0,0
29,0,0,0,0.08396278,0,1.6737804,1.4395516,0,0.5781717,0,1.144566,1.9069489,0,0.117628545,0,0.49745497,0,0,0,1.5722175,0,0,0,0,1.8386754,0.09998848,1.3949707,0.42126152,0.37022498,0.18357278,1.6493273,3.5210936,0
30,0,0,1.0056182,0.35268942,1.0366424,0,0.10787407,0,0,0,0,0,0,0,0,0.41333744,0,0,0,0.525044,0,0,0,0.730278,0,0.27637374,0,0.479207,1.4086884,0,0,0,0.19116153
31,0,3.3065484,0,0.5561922,0,0.0680274,0,0,0,0,1.4022856,0,0,0.64562255,0,1.3560864,0.05974109,0.08220998,0.33022064,0,0,0.5389187,0,0,0,1.4589729,0,0,0,0,0,0,0.34194687
32,0,3.758541,2.1718369,0,0,0,0,0,0,0,0.054584403,0,0,1.4716653,0,1.6160499,0.19595788,0,0.092604265,0,0,0,0.15048951,0.6404233,0.39777693,0,0,0,0,0,0,0,0.5229288
33,0,0,0,0,2.1635325,0,0,0,0.42920813,0,1.676169,0,2.1905334,0,1.5157031,0,0,0.39398593,0,0,0,0.40674746,1.2699504,0,0,0,0,0,2.035689,0,0.5348181,1.0788242,0
34,1.5309147,1.5789218,0,0,0,0,0,0,0,0,0,0.20156465,0.076719694,0,0,0,0,0.048569847,0,1.1771823,1.4571269,0.112031914,0.65030736,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0.64663863,0,0,0,0,0,0,0,0,0,0,0,1.110346,0,1.6517873,0,0,0,1.1801497,0,0,0,0,0.69256586
36,0,0,1.224672,0,0.21751224,0,0,1.3615825,0,0.5142785,0,0.20368803,0,1.0812001,0,0,1.2107545,0,1.5628316,0,0,0.50894105,0,0,0.41024667,0,1.1760826,1.1264402,0,0.71946424,0,0,0
37,0,0,0.22252898,0,1.288993,0,0,0,0,0,0,0,0.48594296,0,0.23273695,0,0,0,1.8792723,0,0,0,0.8733812,3.5298789,0,0.21678552,0,0.1308045,0,0,0,0,0
38,1.4580517,0,0.11250314,0,4.8784833,3.2851825,0,0.1360685,0,0,0.14809148,0,0,0,0,0,0,0,0.98533475,0,0,0,0.36753276,0,0,0.57933205,1.0975934,0,0.88772416,0,0,0,1.1252502
39,0.48682824,7.893143,0.83756924,0,0,0,0,0.28634927,0,0.17160106,0,0,0,0,0.06714084,0.634017,0.22550516,0,0,0,0.07159165,0,0.12786514,0,0.69615525,0.16653113,0,0.14049904,0,0,0,4.1814322,0.37947878
40,0,0,0,0,0,0,0,0.875685,0,0.5327887,0.07047298,0,0,0.3840425,0.5603485,1.0736214,0,0.15572669,0.45948642,0,3.320555,0,0.37285703,0,1.1036084,0.41988075,1.0579649,0.41756526,0,0.073259346,0,0,0
41,0.27515134,0,0,1.8466598,0,2.19337,0.11665598,0.29487136,0.8322339,0,0,0.540889,1.2483833,0.94124943,0,1.1087388,0.9740528,0,0.08179831,0,0,0,0.59389466,1.5713876,0,0.66221416,0,0.5303866,0.7542577,1.0077868,0.51396143,4.7622514,0.2819018
42,0,0,0,0,0.6232848,0.29767644,0.92998666,1.4965402,0,0,0.89670223,0,0,0,0,0.7009033,0,3.0518322,0,1.3931584,0,0,0,0,0,0,1.1231356,0,0.48724166,0,0,0,0
43,0,0,0,0,0.50899655,0,0,0,0.12798823,0,0.40478665,0,0,1.6850581,0.42983398,1.0661572,1.3691599,0,0.9326818,0,0,0,1.3987578,1.6825495,0,0,0,0,0.14399713,0,1.4540294,0,1.8053801
44,0.35308993,0.99592716,0,1.2052711,0,0,0,0,0,2.3213458,1.2388339,0,0,0,0.25155836,0,0,1.0663395,0,1.727898,0.7549849,0,0,0,2.0774367,0.8425126,0,0,0.3992207,0,0,0,0
45,0,0,0,1.7991599,0,2.7601128,0,0,0.69792235,0,0,2.1644516,0,0.8660719,0.117070064,0,0.40488696,2.2715013,1.4068274,0,0,1.1091315,0,0.016898835,0,0,0.71006465,0,2.135568,0.07465566,1.5594685,3.3393188,0.21836768
46,0,0.45218202,0.85199505,0.6565991,0,0,0,0,0,0,0,0.3685773,0.05387063,0.1313324,0.89904505,0,0,1.3170424,0,2.006008,0.08383284,0,0,0,0,0,0,1.4001327,0.049099345,0,2.475376,4.1531477,0.7213323
47,0,0,0,0,0,0,0,0,0.32355714,0,0,0,0,0,0,0.13899983,0,0,0,0.4502635,1.1050943,0,0,1.5335612,0,0,1.2522075,0,0,0,0.3977245,0,0
48,0,0,0,0,0,0,0,0,0.62777185,0,0,0.001131003,0,2.8389246,0,0,0,0,0.5272612,0,0,0,0,0,1.0328737,0,0.24589828,0,0,0.61456287,0,2.8945246,0
49,0,0.6447247,0,1.4801772,0,0,0,0,0,0.45528907,0,0,0.6547605,0,0.7855671,0,1.5340734,0,0.94776154,0,0.74585885,0.36295816,1.2184157,0,2.0104167,0,0,0,0,0,0,0.815299,0
50,0,0,0.96848494,0.6975035,0,0,0.06411173,0,0,0,0.72682756,0,0.08180288,0.96216667,0,1.6368263,0.19683462,0,0,0,0,0,0,0,0.6364031,1.6872057,0,0,0,0,0,1.9254525,0
51,0.45562875,0,0,0,0,0,1.0159067,1.4380484,0.040115505,0.4102887,0,4.51539,0,0,0,0,0,0,0,0.5816775,0,0,0.51788443,0,0,0,0,0,0,0,0,0,0
52,0.29037684,0,0.2529057,0,0,0,0,0,0.7991508,0,0.5097821,0.4707991,2.292251,0,0,1.5560225,0.57006454,2.510512,0,0.9596027,2.5260108,0.5771568,0,0,0,1.4167682,0,1.5135324,0.11870923,0.09134892,2.0568688,0,0
53,1.806637,0,0,0.95429265,0,0,1.0439476,0,0,0,0,0,0,0,0,1.1933901,0,2.9736555,0,3.039524,0.053996947,0,0.3675633,0,0,0.58672196,1.2083156,1.0699488,2.0409718,0,0.5487241,3.4973133,0
54,0,0,0.064659536,0,0.8803003,0.30955154,0,0.89366835,0,2.013473,1.4592111,0.057066105,0,0,0,0,0,0,0,0,0.50651217,0.08994449,0,0,1.9512635,0,0,0.25532654,0,0,0,0.97842026,0
55,1.0185115,0.3141686,0,0,0,0.70999956,0,0.3921551,0,0,0,0,0,0,0,0,0.35672888,1.4889115,0,0,1.319588,0.34285483,0,0,0,0,0,0,0,0,0,0,0
56,0,0,0,1.3119199,0.4760122,1.7721604,0,0,0.7570088,0,0,0,0,0,0,1.2926347,0,0,0.041593537,0,0.41275784,0,0.3612639,0,0,0,0,0,0,0,0,4.689476,0.13369904
57,1.1507558,0,0.95581394,1.1442825,0,0.881439,0.8737001,0,0,0.5198649,0,0.23981056,0.901187,0,0,0,1.8525054,1.7772524,0,0,0,1.1059752,0,0,2.805613,1.6199864,0,0,0,0,0,0,0
58,0.38735244,0,0,1.099493,0,0,0,0,0,0,0,0,1.5421283,0,0,0.20467924,0,0,0,0,1.6887075,1.8182888,0,0.24574707,0,0,0,0.2840589,1.3401276,0,1.7142642,0,0
59,0.29023728,0.13016413,0.9980748,0,0.008926639,0,0,0.23241931,0,0,0,0,0.5900188,0.57556725,1.3077327,0,0,0,0,0,0.3343802,1.7073679,0,0.4506181,0,0,0,0,0.000783058,2.429242,0,0,0
60,1.314774,1.0478165,0,0,0,0.44790998,0,0,0,0,0,0,0,0.758569,0,0,4.539757,0,0,0.9699052,0.6017225,0,0,2.3603623,0,0,0.53064615,0.07226617,0,0.016371017,0,0,0.3093351
