x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.71753323,0.5981485,0,0,0,0,0,0,0,0,0,0,0.4556408,2.4684818,0.6533933,0,0.20357025,0,1.2441454,0,0.25437868,4.466152,0,0,1.467951,0,1.1520833,0
2,0,0,0.07758346,0.55980104,0,0,0,0,0,0,0,0,0,0,0.22654039,0,0,0,0.20418784,0,0,0,1.0522566,2.8416376,0,2.9558983,0,0
3,0,0,0.04953112,0,0.2635071,0,0.07102322,0,0,0,0,0.4127837,0,0.16761485,1.5341773,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.92312574,0,0.109617576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36375353,2.0643842,2.9498541,1.9404227,0,0.982274,0,0,0,0,0
5,0.18305889,0.81857795,0,0.0506385,0,0,0,0.5114981,0.87433666,0.48997515,0.23723161,0,0.33989033,0,0,1.1312941,0,0,0,0,0.29815447,0.516559,0,0,0,0,0,0
6,0,0,2.0951698,0.2825212,0.3274397,0,0,0,0.24667624,0.5043513,0,0,1.2031696,0,0,0.62034214,0,0.5442368,0,0,0,0,0,0,0,0,0,0
7,0,0.3583568,0.121670365,0.9019853,1.0713553,0,0,1.6309117,0,0,0,1.2033136,0,0,0,0.019497573,1.1123694,0.18327305,0,0,0,0,0.37979597,0.8474027,0.046753127,0,0,0
8,0,0.40454203,1.179065,0,0.7853237,0,0,0,1.0833437,0,0,0,0,0,0,0,0,0,1.4482889,0,0.6343549,2.7339444,1.532785,0,0,1.7425057,0,0
9,0.28162977,0,0.11686666,1.061565,0,0.54104996,0,0,0,4.5510516,0,0,0,0,0,0,0,0.18919007,0,0,0.047711853,3.6404922,0,0,0,0,0,0.4525192
10,0,0,0,0,0,1.6079388,0,1.4414043,0,0,0,0.000992995,0,0.7848733,0,0,0,0,0.10292451,0,1.7429172,1.4252018,0.19079004,0.92868584,0,0.99024105,0,0
11,1.0105318,0,0,0,0,0,0.51299506,0,2.0512812,1.9247161,0,0,0,0.2248203,0,0,0,0,0.7921912,0,0.9182541,0,0,1.0368491,0,0,0,0
12,0,1.4467251,0,0,0,0,0,0,1.0877626,0,1.3655668,0,0.61729985,0,1.3119673,0,0,1.0659871,0,0,0.2982147,0,0.4482751,0,0,0,1.4501582,0
13,0,0,0,0,0.18541604,0.17811257,0,0,0,0,0.014036395,0,0,0,0,0,0,0,0,0,0,0,0.5576305,2.4566007,0,0,0.24025293,0
14,0,0,0,0,0.55235964,0,0,1.5052117,0,0,3.970447,0,0,0.43468463,0,0,0,0,0.18162079,0,0,0,0,1.071904,0,0,1.713543,0
15,0,0,0.4385895,0.3716055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8355641,0,0,0,0,0,0,0,0,0
16,0,0,0.51003695,0,0,0,0,0,0,0,0,0,0,0.40331665,0,0,0,0,0.57903856,0.9174144,0,0,0,0,0.59305155,0,3.022162,0.2402466
17,0,2.1340106,0,0.875029,0,2.2105145,1.339513,0,1.4633293,2.6987255,0,0,0,1.5971551,0,0,0,0,1.3821272,0,0,5.0511365,0.4047786,0,0.58806974,0,0,2.6244047
18,1.7455721,0,0.36154464,0,0.448846,4.5333095,8.611978,0.8121835,0,0,0,0,1.582499,0.89285237,1.5439854,0,11.120326,0.8270687,1.0914317,3.8853004,0,10.942804,0,18.0645,0,0.74505365,1.0047305,2.0868113
19,0.7773869,0.8221026,0,2.6088226,0,0.83791447,9.078571,0.3935794,1.8829865,6.017173,0,0.00223453,1.9411949,5.7913084,7.2987976,0.7282142,6.986656,2.1339028,0,18.932247,1.3850021,0,0.47241098,18.678097,2.8220472,5.454315,0,6.774664
20,1.0712373,0.9432927,0.28012228,1.1387024,0.7028653,0.9992123,6.2471447,2.2213557,3.0946665,10.738564,12.457761,12.804069,10.491994,0.9878445,13.297805,5.93079,4.7786465,1.8844113,0.54061484,10.035559,0.21829517,0,1.1541983,14.83362,7.9047775,8.588603,0,6.1379986
21,0,3.1699078,0.51733994,2.8155527,2.9057217,1.19722,2.7740705,0,2.376319,12.873512,26.340286,8.912495,5.5213785,0.97678053,10.486305,6.8217382,2.5204031,7.341211,0,10.6789255,1.978209,0,0.0817395,17.416477,12.424474,10.642864,0,8.333027
22,0.8431931,5.0925407,1.3149434,0.51520956,3.7767844,1.4304656,3.7146697,2.7467036,5.2951074,11.9918995,23.430593,7.494283,6.9818344,1.3425094,8.371125,12.456458,0.46830568,8.524705,0.7901344,5.592005,0,0,2.4398699,1.9859849,6.219876,2.812043,0,4.9112177
23,0,2.1505802,0,0.42292616,0.2659347,1.4079813,0,0,1.3583528,3.9846575,21.832699,4.727863,7.5553403,0,6.2907686,10.302682,0,10.7325945,1.1632599,5.774781,1.3126817,3.0363379,1.0678321,0,5.021511,1.5768315,4.358037,3.6345131
24,1.7141975,2.83247,1.3869649,1.1043313,2.9851286,6.7719507,1.3926054,2.1945987,1.6632912,5.6955304,14.27779,2.9802923,4.1214147,0,5.9684205,4.7969112,0,11.24177,0,3.7367313,0,0,0,0,6.303742,0.003555615,1.2142289,0.8644385
25,2.5376422,4.3747754,0.8242352,0,0,0.37114394,0.83238184,1.3965997,0,0,4.8456335,0.8309059,5.6945,0,0,4.385826,0.22298336,5.303496,1.0323739,6.833065,0,1.9365222,0,1.7297128,0,0,0.0961542,0
26,0.25151622,7.9718447,0,0,1.4020722,1.4566423,0,0,0.16432078,0,0,1.9051989,0.6740273,2.072454,0,0,0,7.3776383,0.5122756,0,0,0,0,0,0,0,7.022062,0
27,0,4.1325912,0,0,0.81375664,0.4738874,0,0,0,0,0,0.9005331,1.2913616,0,0,3.431483,0,7.2638836,0,0,0,2.6533504,0,2.6632466,0.3892627,0,0.5235539,0.90848386
28,0.27143055,6.5700874,0,0,1.4955251,0.26831156,0,0.06497217,0,0,0,0,0,0,0,0.13857336,0.8012058,2.5759034,0,0,0,5.791338,0,0,0,0,1.8807116,0
29,0,2.049001,0,0,0,0,0,0,0.0479928,0,0,1.574453,0,1.8386688,0,0.0652591,0,1.3236876,0,0,1.3995954,0,0,0,0,0,0,0.16427223
30,0,0.014239348,0,0.0974487,0.35140356,0,0,1.452387,0,0,5.7819915,0,0,0,0,0.41412765,0,0.7515006,0,0,0,0,0,1.1229056,0,0,2.1396813,0
31,0,0,0,0,0.10792806,0,0,0.45508435,0.17345177,0,1.9231176,0,0,0,0,0,0,0,0,0,0,0,0,2.0226562,0,0,0,0
32,1.4388759,0,0,0,0.43349445,0,0,0,0.31087297,0,0,0,0,0,0,0,0,0,0,0,0,4.0662384,0.31199172,0,0,0,0,0
33,0.08731242,0,0.090074226,0,0,0,0,0.602383,0.9207129,0,2.4302878,0.20148204,0,0,0,0.66778624,0,2.5453212,1.7330122,0.5385755,0,8.82032,0.3397031,0,0,0,0,0
34,0,0,0.61828583,0,0,0,0,1.5305096,1.0096139,0,0.9886874,0.72241974,0,0.61158735,0,0.8149183,0,0,0.17958029,0,0.3034193,0,0.51781654,0,0,0,0,0
35,0,0,0,0,0.107389115,0,0,0,0,0,5.5173492,0.061619375,1.3170962,0,0,0,0,0.6785734,0,0,2.3338575,0,0,0,0,0,0,0
36,0.78292346,0,0.46897995,0.49250928,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2999331,0.6414357,0,0.93863356,0.5885734,0,0.49060956,0,0,0,0
37,0,0.487149,0,0,1.1575103,0,0,0,0,0,5.631059,0,0,1.0202627,0,1.4762552,0.7854505,0,1.4629813,0,0,5.071702,1.5316576,0,0,1.2747011,0,2.5705988
38,0,1.2397785,0,0,0,0,0,0,0.70452034,0,0,0,1.8661838,0,0,0.08036218,0.14615998,2.2331948,0,0,0,0,3.2264233,0,0.93199015,0,0,0
39,0,1.0338963,0.13020584,0,0,0,0.21075484,0,0,0,2.3837614,0,0,0,0,0,0.44458222,0,0,0,1.1571637,0,0,0,0,0,0,0
40,1.2858844,0,0.50451887,0,2.0711896,0,0,0.7485373,0,0,0,0.6409088,0,0.1372199,0,0,0.2798409,1.4532214,0.61549264,0.16252314,1.050436,0,0,0,0,1.8757609,0,0
41,0,0,0.34092477,0.49212912,0,0.67026675,0,0.38878018,0,3.8589365,0,0,0,0.3825227,0,0.9164136,0,0,0,0,0,0,0,1.5318943,0,0.09731137,4.045227,0
42,0,0,0,0.8247061,0,0.54169816,0,0,0,0,1.1365323,0,0,0,1.8294005,0,1.0397755,0,0.3892198,0.12479243,0,0,0.5642301,0,0,0,1.518838,0
43,0,0,0,0,0,1.0314691,0.563311,0,0,1.2847425,0.91496885,0,0,0,0,0.2369704,1.5115714,0.01189553,0,0.44414392,0.02886773,0.89848495,0,1.0004152,0.39559618,0,0,0
44,0,0,0,0,0,0.67364717,1.1604276,2.6822383,1.0605774,0,0,0,0,0,0,0,0,0,0,0,0,8.64205,0,2.225673,0.04565216,0.5118926,0,1.0455043
45,0,0,0,1.1875193,0,0,0.608869,0,0,0,1.1294096,0,0,1.7029381,0.11796903,0,0,0,1.234838,0,0,0,0,0,0,1.1060758,0,0
46,0,0,0,0,0,0.78160214,0,0,2.0048568,0,0,0,0,0,0,0,0,0,0.024645822,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0.18156146,0,3.6448328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.9295494,0,0.29870638,0,0,0.31935483,0,0,0.15258947,0,0.5042007,0,0.11823181,0.17492536,0,0,0,0,0,0,0,0,0,0,0,0.39089024,0,0
49,0,0,0.0966715,0,0,0.8308941,0,2.5057063,0,0.6617136,0,0,2.0126019,0.47513166,0,1.5016028,0.17320344,0,0.29591307,1.4211823,0.51642996,0,3.3236454,0,0.8312912,0,2.5662806,0
50,0.3045908,0.34357285,0.06452383,0.13527435,0,0,0,0.20659007,0.75442016,0,3.8209448,0,0,0.13595341,0,0,1.2904596,0,0.3121305,0,0.7981207,0,0,3.9011261,0,0,0,0
51,0.776939,0.36263818,0.03251211,0,2.185293,0,0.045579787,0,0.30313912,1.786032,0,0,0,0,0.80737793,0,0,1.1334779,0.5869316,1.6428926,0,0,0,1.2800274,0,0,0,0
52,1.2532268,0,0.029697789,0,0.5352932,0,0.7272271,0,0,0,5.054473,0,0,0,0.95298964,0.22642328,0.5032127,0,0,0.4789511,0,0,1.9691101,0,0,0,0,0
53,0,0.7160758,0,0,0,0,0,0,0,0,0,0,1.232889,0.5344394,0,0,0.050611522,0,0,0,0.085930385,0.7504675,0.7641848,0,0,1.3165028,6.1777143,0.6169065
54,0,0,0.31818417,0,0.742202,0,0.46619794,0,0,0,0,0.2794122,0,0,0,1.0820149,0.40895212,1.5077673,0.99115664,0.44738966,0,0,1.3923194,1.3337374,1.0074725,0.076670505,0.071553014,0.6895551
55,0,0,0,0,2.6251874,0,0.71082765,1.1090329,0,0,2.514802,0.26416627,0,0,0,0.002612415,0,0,0,0.5259099,0,5.351154,0,0.29932544,0.8072686,0,0,0.012986805
56,0,0.07137269,0,0,0,0,0,0,0,2.8688335,10.294674,0,0.37392154,0,1.10708,0,0,0,0,0,0,9.494686,0,0,0,0,0,0
57,1.0035359,1.0509424,0,0.15403229,0.46241117,0.09831988,0.62790346,0,0.27657953,0,0,0,0,0.3341435,0,0,0,0,0.4962134,0,0,1.6847192,1.2670422,0,0,0.6671691,0,0
58,0,0,1.5930817,0.56294346,0,0,0,0.24637635,0,0.96426773,0,2.0584848,0,0,0,0,0,0.61451757,0,1.2975478,0,0,0,0,0.15744749,1.2371044,0,0
59,1.053532,0,0.08656205,0.54148537,0.52353245,0,0,1.2878958,0,0,0,1.0007266,0,0,0,0.33271512,1.6533909,0,0,0.06367372,0.13228719,4.3677487,0,2.5236995,0,1.9916618,1.8256086,0
60,0,1.5446136,0.20269081,0,0,1.1495564,0.31417975,0,0,1.7810959,0,0.12967338,0.912237,0,0.5580381,0.34305564,0.84160763,1.096199,0,0.9571736,0,2.6103091,0,0,0,0,0,2.3354106
61,1.5793595,0,1.7855898,0,0,0.21522424,0,0.058548003,0.2700612,0,0,0,0.51730096,0,1.0654585,0,0,0,0,0,1.1280075,0,0,0,0,0.74368715,0,0
62,0.83205825,0,0,0,0.37116057,0.024639187,0.29674986,0,0,0,0,0,0,0,0,0,0,0.6579526,0,0.07500779,0.38598022,5.3712173,0,3.8612745,0.90252197,0.4976164,0,0
63,0,0,0.6781649,0,0,0.9261222,0.07689908,0,0,1.7282287,0,0,0,1.852039,0,0.874293,0.14406401,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0.685801,0,0,0,0,0,3.1157522,0,0,0,0,0,0,0,0,0,0,3.3326077,2.6358876,1.0409558,0,0,0,0
65,0,0,0,0,0,0,0,1.27944,0.73537403,0,0,0,1.6472266,0.085346445,0.58194643,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0.36711988,0,0,1.206966,0,0,0,0,0.2642634,0.37669826,0,0.34408972,0.78542125,0,0,1.5883857,0,1.2453731,0,0,0,0,1.2535409,5.795217,0.20597002,0,1.8229798,0.003997337
67,1.7203959,1.5808774,0,0,0,0,0,0,0.9538659,0,0,0,0,0,0,0,0,0.7051872,0,0,2.5709672,2.2999718,0,2.906412,2.1098583,0,0,1.1695316
68,0,1.8811674,0,0.770973,0,0,0.16726346,0.84356356,0,3.1172278,0,0,0,0,0,0,0,0,0.31262627,0.62957436,0,7.8081565,0.038872417,0,0,0,3.9369836,0.84409773
69,0,0,0,1.199028,0,0,0.74749905,0,0,0,0,0,0,0.4411198,0,0,0.47701958,0.33120003,0.99080276,0,0,2.856743,0,0,0,0,1.7162853,0
70,0,0,0.01629617,2.3246114,0.002134055,1.4377303,0.47026026,0,0,0,0,0,0,0,1.6055381,0,1.31546,0,0.17835511,0.64786565,0.8387501,7.0477166,1.4122736,4.6780515,1.271653,0,0,0.89469045
71,0,0,1.2464212,0,0.26064122,2.4649637,0,0,1.1529881,2.4264863,6.6184907,1.8346064,0.12845579,0,0,0.64012474,0,0,1.0889281,0.493563,1.1850035,0,0,0,0,1.4236282,0,0
72,0,0.24719496,0,0,0.09584761,0.6392761,0,2.4377024,1.4722667,0,2.2908437,0,1.1247098,0,0,0.05451085,0,0.9603243,0,0.9407238,0,0,3.185322,4.7286386,0,1.7986053,0,0
73,0,0,0,0,0,0,0,0,0,0.8334126,0,0.21408021,0.67530954,0.5240725,0,0,0,0,0,1.1856377,0,0,0,3.588121,0,0,0.54647416,0
74,0,1.687376,0,0.9318967,0,0,0,0.13287222,0,0,0,0.08954173,0,0,0,0.5523004,2.5575695,0,0,0,1.4642648,6.79432,0,0.34364754,2.4393568,4.1365447,0.14758617,1.3716092
75,0,0.1580774,0.53025615,0,0,0.5213726,0,0,0,2.1892686,0,0,0,0,1.0862074,1.7395726,0,0.94215935,1.5622591,1.1752163,0,0,0,0,0,2.714578,0,0.73052037
76,0.22505562,0,0.778702,0.6917527,0.17416659,1.0063527,0,0,0,0,0,1.3514115,0.997423,0,0,0,0.3132616,0,0,1.2190052,0,1.25938,0.43719172,3.0449433,0,0,0,0
77,0,1.7289863,0,0,1.3924723,0,0,0.5683482,0,1.8001893,0,0.5919967,0,0,1.6113257,0,0,0,1.4406899,0,0,0,1.5120847,0,0,1.9537208,0,0
78,0.39639553,0,0,1.2796361,0,1.1730766,0.595681,0,0,4.925475,0.16543502,1.255226,0,0.7989596,0,0,0,0.58690774,0,0,0.26801002,0,0.5362017,0,0,0,0,0
79,0.25307125,0,0,0,0.2392367,0,1.2583462,0,0,0,0.3904847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1.0707046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0.18785056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0.8279907,0,0,0,0,0,0,0,0,0,0,0.059001986,0,0,0.24558803,1.4936211,0,0,0.47476408,1.3336276,0,0,1.2378515,0,0.87717634,0
83,0,0,0,0.9708238,0.96129054,0.444616,0.12015356,0.092799515,2.3926032,0,2.1048563,0.022520678,0.631239,0,0.56992865,0,0,0,0,0.8622224,0.05250883,6.969962,0,1.0893556,0,2.7280173,0.8517322,0
84,0,0.31114778,0,0.41408843,0.23097211,0,0,1.3932836,0,0,3.2709084,0,0.7468442,0,0.59614575,0,0,0,0,1.3924366,0.4595755,0,0.6829546,2.6504807,0,0,0,0
85,0,0,0.9213893,0,0,0.6874029,0,1.6534922,1.2938993,0.101006255,0,0,0,0.54841584,1.1362362,0,0,0.84781885,1.933527,0.8232984,0.8350653,2.6853046,0,0,0,0,4.0698786,0.40101516
86,0,1.1613852,0.22205897,0.14992298,0.15421118,0,0,0,0.15129438,0.7080843,0,0.19662143,0,1.0681194,0,0.6794776,0.26586923,0,0,0,1.9263219,0,0,0,0,0,0,0
87,0,0.06038632,0,0.66572475,0,0,0,0,0,0,4.010838,0,0.9356686,0,0,0,1.0065601,0.06922289,0,0.35823086,0.37180734,0,0.1296453,0.72605604,0,0,3.87769,0
88,0,0.6353695,0,0.034442313,0,0.9601334,1.219767,1.6572169,1.4707345,0,0.32281458,1.8542886,0,0,0,0,0,0.6977597,0,0,0,5.989849,0,0.7787102,0,0,0,0.32121024
89,0.014397846,0,0,0,0,0,0.49008134,0,0,0,2.4950101,0,1.0204211,0,0.002829173,0,1.5231339,0,1.3841803,0,1.3773446,0,0.41839036,0,0.051654916,0,0,1.3235017
90,0,0,0.26053566,0,0,0,0.37872714,1.2967924,0,0.895432,0,0.17420016,0.7663248,0,0,0,0,0,0.3329269,0.10747636,0,0,0,1.605433,0.55199844,0,3.8998866,0.4067008
91,0,0.29428327,0,0.041950513,0.27829155,0,0,0,0,0,0,0,0.2684573,0,0,0,1.356378,0,0,0,0,0,0,0,0,0,1.9226731,0.058838103
92,0,1.3834238,0.2529202,0,0,0.000187712,0,0.005673952,0,0,2.0238464,0,0,0.29264066,0,0.0779303,0,0,1.7910153,1.4937893,1.4027556,0,0.5328821,6.94116,0,0.8345818,0,0.48091134
93,1.4982173,0,0,0,0,0.26867068,0,1.5083439,0.06239909,0,4.4013224,0.88507384,0.96325,0.8560591,0.9612167,0.08764142,1.5500994,0,0,0,0,0,0,0,0.53347015,0,0,0
94,0.17431347,0.9694106,0,0,0,0.3042231,0,0.9595458,1.1637625,0,1.9492491,1.2232964,1.0266018,0.045194745,0,1.173294,0,0.2381919,0,1.024028,0.20264865,0,0,0,0,2.168603,2.9746456,0.23329575
95,0.067589715,0,0,0.07278651,1.5395725,0,0,0,0,0,0,0,1.1280309,0.2779853,0,0,0,0.16055213,0,0,0,2.1030962,1.1267966,0,0.21255523,0.22937061,0,0
96,0.6379321,0,0,0,0,0.93747187,0.002220193,0,0,0,2.1808658,1.2766767,0,1.2596462,0.3558379,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.15531774,0,0,0,0,0,0,0,0,4.3717303,0,0,0,0,0,1.993791,0,0,0,0,0,0,0,0,0,0,0,0
98,0.5009924,0,0,0,0,0,0,0.87744164,0.31780466,0,0,0,0.52780867,0,0,0.49324262,0.33082297,0,0,0,0.36192518,4.974496,0,0,0.35867923,0,0,0
99,1.1393199,0,1.5347677,0,0.78062457,0,0.10347238,0,0.277564,0,0,0,0,0,0,0.060898595,0,0.83971804,0,0,0,0,0,0.8804057,0,1.4744194,4.1197805,0.17436963
100,0.63757557,0.9254799,0,0,0,0,0,0,0,0.41562763,5.2391586,0.6029762,0,0,0,2.4814212,0,1.8141782,0,0,0,0,0,0,1.7843343,0,0,1.7263795
101,0.7108516,0,0.45786324,1.6771295,0.776941,1.0830101,0.33250505,0.7109709,0,0.4126084,0,0,0,0.14561327,0,0,0,0.8090296,0,0,0,0.42956296,0.7175858,0.15831397,0,0,0.19578461,0.07018317
102,0.7907483,1.1199198,0.2000516,0,0.6184713,0,0,0,0,1.6633348,3.1080227,0.25056663,0,0,1.6699024,0,0.3536573,0,0,0,0.9648417,1.915502,0,0,0,0.97365046,0,0.4151828
103,0.13670784,1.7875737,0,0,0,0.08473983,0,0.61469394,0,2.5024414,2.9128263,0.86201406,0,0,0,0,0,0.116673775,0.6149615,1.8847152,0,1.2183173,0,0.29854712,0,0.53298765,0.38955832,0
104,0,0,0,0,0,0,0,0,0,0,1.3204166,0,1.1002874,0,0.24999112,0.46918327,0.16403982,0,0,0,0.19320734,0,0.7578777,0.75599265,0,0,0,0
105,0,0,0,0,0.63675857,0,0.40783802,0,0,1.6022098,3.0734885,0.6100231,0,0,0,0,0.19988385,0.24486184,0,0.30171138,2.8172288,0.25093842,0,0.31548694,0,0,3.1457248,1.5774637
106,0,0,0.28023958,0,0,0,0.8537484,0.2604958,0,1.8100615,0,0.70926833,0.490028,0,1.5453845,0,0.5839636,0,1.398172,0.45410275,0,0,0,3.6660604,0.43375587,0,1.5191365,0
107,0.46752328,0.054560725,0.74780065,0.14293173,0,0,0.10710142,0,1.3388361,0.6577334,0,0.37118402,0,1.5455196,0.22795005,0,0.92398655,0.13701136,0,0,0,0.878375,0.9257706,0,0.86931413,0,1.900355,1.7283763
