x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.5386307,0,0,0,0,1.6737067,0,0.94152325,0,0,0,0.54999644,0.9582536,1.8694758,0,0.59418464,0,0,0.81686336,1.0948691,0
2,0,0.5746796,0.77028036,0.54634964,0,1.295895,0,0,0,0.2807748,1.8670435,0,0.75842965,0,0,0.23587,1.0079,0,1.1041566,0.4244483,0.26994497,0,0
3,0,0,0,0,0.5607854,0,0,0,0,0.04613794,0,0,0,1.4575082,0,0.8995038,0.37980008,0,3.9843287,0,0,0.006788149,0
4,2.3855727,0,0.11959392,1.0702664,0,0.53569245,0,0,0,1.4288186,0,0,0,0,0,1.1062182,0,0.5073541,0,0,0,0,0
5,0.0512336,0,1.6080782,1.7776467,1.8963339,0,0.8302762,0,0,0,0.85806924,1.1502832,0,0,0,0,0,0,0.17421487,1.0583054,0.1286327,1.0919642,1.6574775
6,0,0.50429064,0,0,0,0,0,0,0,0,0.015197498,1.0307529,0.08172085,2.2068295,0,0,0.60548204,0,1.453137,0.37657604,0,0,1.7586895
7,0,0,0.33502725,0,1.3287737,0,0,0.38438118,0,0,0,0,0.19339469,0,1.4946059,0,0,0.37082952,0,0,0,0,0.04712488
8,0,0,0.0475903,0.06206509,0,0.7416795,0.35969806,0,0,0,0,2.1910343,0,0.69358546,0,0,0,0,0,0.26066914,3.390581,0,0
9,0,0,0,0,0,1.4662465,2.198036,0,1.5919046,0,0,0,0,0,0.32950047,0,1.8578298,1.2477107,4.4785204,0.18795808,0,0,1.9040625
10,2.5006948,0,0.7930047,0.7037272,0.8282344,1.1034703,0,0.6744784,0,1.0541505,0.108074084,0,0.4274397,0,0,0.28065655,0,0,2.3215473,0.000447509,0,1.4057815,0
11,0,0,0,0,0,0.016883025,0,0,0,0,0,0,0,0,3.0426757,0.20433721,0.23470686,0,2.6294074,0,0,0.5067892,0
12,0,0.6104969,0,1.9250451,0,0,1.0355128,0,4.547256,0.3221122,0,0.16921721,0,2.4416845,2.0006328,0,0,0,3.6661215,1.0916164,0,0.5796437,0
13,1.8424184,0.10212622,0,0,0,0,0,0.77075326,0,0.512147,0.8022129,0,0.009777041,0,0,0,0,0.9793966,6.149562,0,2.842554,0,0
14,1.9584904,0,0,0,0,3.2565718,0.93551284,1.814485,0,0,0.26633155,0,0,0,0,0,0,1.0178959,0,0,0,0,0
15,0.32136795,0.23609857,0,0.59117985,0.2757103,0,0.7738394,0.08222582,0,0,0,0,0,0.44361782,0,0,0.76537496,0.35654008,0.82546973,0,1.378221,0.59823734,0
16,0.5705949,0,0,2.902385,0,0,1.2987237,0.4445565,0,0.0627068,0,0,1.1561493,0,0.34564227,0,0,0,2.550976,1.0353456,0,0,4.055476
17,0,0,0,0,0,2.7817342,0,0,4.164023,0,0,1.2229968,0.5821239,1.047155,8.9661665,0,0,0,3.746669,0,3.8878644,0,0.15883096
