x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.2795048,0,14.603462,0,0.3506075,0,0,2.4342334,0,0,1.5757968,2.421891,0,0,0,0.47963408,0.659475,0,18.452393,11.477551,2.3950903,0
2,4.6649776,0,0,0,1.4875165,0,1.2115676,0,0,0.7536341,0,2.0127695,3.6651862,0.53771126,0,0,2.0969586,4.4267645,22.11603,0,5.8445992,0
3,2.0533106,0.829118,0,0,2.1981702,2.5512376,0,0,0,0,0,2.4509466,2.363495,0,12.949783,0,2.9773207,2.0518134,11.743854,7.7111115,1.4675543,0
4,1.1670136,4.9602995,0.16815248,0.4794948,0,0,0,0,0,3.090841,0,0,0,1.708611,2.5317402,0,3.0502522,0,9.4241295,0,4.563484,0.74045146
5,2.6958113,0.80351543,0,1.4052736,0,0,2.0886064,1.8776387,0,0,1.0929902,2.9468315,0,0.051012553,1.5843048,0,0,3.3956118,8.336655,8.779436,0.17820689,0
6,0,0,0,0,1.2674934,0,0,0,1.5809321,0.031146035,0.06935956,2.7781782,4.2047796,0.8834527,0.68962395,0,0,0,0,5.0794563,0,0
7,2.1800675,0.016769875,0,0,0,0.19544141,0.19053733,0,3.8697333,0,0,4.5431895,0,0.6683732,0.47119167,0,1.6773348,0,2.8445818,0.02955041,1.3901967,0
8,0,0,0,0.923393,0,0,0,0,0,0.17630665,0.5394213,0,0,0.54644835,2.8882256,1.8811802,0,0,8.273811,7.9118614,0,0.29969212
9,0.47444358,0,1.477934,1.531707,0.73377496,10.412758,5.4976387,0,0,0,0,0.2254522,0.6131398,0,0,0.596156,0,4.132706,0,0.5400999,0,0.66559047
10,0.67251,0,0,0,0,0,0,1.0877767,0.032038935,0,0.9538548,4.2892118,0.22704038,0,0,0,0.144404,0,6.6199465,5.252667,0.2291472,0
11,0.5722991,0,0.36210158,1.9869728,0,0,0.10751212,5.012114,0,0.35423225,0,5.0872006,0,0,0,2.8829665,0.43550092,5.2009163,0.48339343,0,1.4815087,0
12,1.4147612,0,0,3.0409799,2.4705863,0,4.115911,0,2.3670874,0,0,0,0,0,3.2351277,0,0,0.27880946,0,0,1.0054219,0.12685704
13,0,0,1.4367855,0,2.1069167,0,0,0,0,1.001439,0,0,0,0,0.28654775,0,0.4346736,0.25563478,0,0,0,0
14,0,0,0,3.8338478,1.3217483,0,0,0,0,0,0,0.78211033,0,0,0,0,1.5833545,0,0,0,0,0
15,0.9980392,0.38248888,0,0.22738297,2.1720223,0,0,0,0,1.0354708,1.0926594,0,0.30491123,0,0,0,0,0,4.158493,0,2.4434743,0
16,0,0,0,0,0.10801133,0,0,0.22748585,1.1375276,0,1.6576194,0,0,1.213098,0,0.015412821,1.0464807,0,4.2551837,0,0.5660406,0.7879603
17,0,0,0.50577635,2.9598951,0,0,0,0.3876232,0,0,0,0.44817448,0,0.046442296,5.3661194,0,1.2489939,0,0,0,0,0.7944898
18,0,2.1547885,0,0,0,0,0,2.9226816,1.2744632,0,0,0,4.654148,0,0,0,0,1.086525,2.1228032,0,0,0
19,0,2.7855105,0,0,0,3.263755,0,0.20918363,0.28993374,0.29909804,0,0,0,1.4087614,2.1774962,0.70507544,0,0,4.9688587,7.686179,0,0
20,0,0,0,0,0,0.20764036,0,0,0,0,0,0.22449511,1.72005,0.71071464,7.975735,1.0487384,0,1.3979943,5.0414824,0,0,0
21,0.6071606,0,0,1.9115059,0,0,4.7889657,0,0.25325295,1.1123605,0,0,0,0.1936677,2.3435595,0,0,0.60266614,0.20165081,0,5.8595676,0.40047786
22,0,1.2697455,0.74343026,0,0,1.5161682,0,0,2.7403216,2.229436,0,0,5.328155,0,0,0,0,0.57139814,1.1436919,0,0,0.51804596
23,0.15301518,0.7606367,4.1972413,0,0,7.5454197,0,0,0,0,1.8522533,0.8340189,0.13219637,0,0,0,2.0242114,0.11470493,0,5.4750056,0,0
24,0,0.4542458,0.9523228,0,0,0,0,1.9036738,0,0.15247653,1.3863853,0,0,0,0,0.37986186,0,0,0,0,1.469566,0.66819674
25,0.1865831,0,0,0,1.14213,5.0467706,3.129813,1.5472517,0,0,0.14236149,0,0,0,2.3465977,0,0,0,0,0,0.5399219,0
26,0.05778295,0,3.3084943,0,0,0,1.9705724,0.32491398,0,0,0,0,0,0,0.2640745,0,0,0,2.0016792,0,2.1678944,0
27,0,3.2273097,0,0,0.6747862,0,1.7534926,1.0951804,0,1.7895573,0,0,0,0.993712,0,0,0.5712862,5.159106,0,0.04482889,0,0
28,0,3.3730767,0,0.6188728,0,1.5237528,1.5800263,0,0,2.8350544,0.053206693,0.25862202,0,1.1977866,0,0,0,3.6960108,0,7.664417,0,1.4223281
29,0,0,0.08275782,0,0.13664916,0,0,1.3979975,0,0,0.058614872,0,0,0,0,0,0,0,0,5.614945,0,0
30,0,0,6.5565014,0,0,0,0,0,0,0,0,0,0,0.77871454,0,0,0,0,0,0,0,0
31,0,0,0,0,0.8398713,0,0.38879982,0,0,0,0.691072,0,0,0,0,0,3.598989,0,0,0,0,0
32,0,0,4.8160343,0,0,0,0,2.9178722,0,1.229508,0,0,1.0507079,0,3.8623743,1.4228102,0,0,3.7079844,0,0,0
33,0,1.0634154,0,1.8934946,0,8.732514,0,0,1.6451737,0.2293575,0,0,3.6271167,1.120356,0,0,0,0,7.787493,0,1.0403107,0
34,0.15489131,0,0,1.134539,0.12227062,0.8544011,0,0,0,0,0,0.79709536,2.4344292,0,1.9043616,0,0,0,0.54364234,0.63587207,0,0
35,0,0,0,0,1.928283,3.4614055,0,0,0,0,1.5459186,1.8142968,0,0,2.7577322,0.8286811,3.6685839,0,0,0,0.79023194,0
36,0.15447965,5.4124413,0,0,0,0.0724251,0,0,0,0.20890865,0,0,0,2.159062,0,3.1843534,0,2.1899145,1.4606259,2.783841,0,0.15357213
37,0.8157441,0.66314274,0,0,0.5347593,0,0,1.4370427,0.79855686,0,0,4.405281,0.9959282,0.28173053,3.9436579,0,0,0,0.815004,0,2.1647217,0.5786628
38,0,0,0,2.2388096,0,0,0,0,0.1266341,0,2.1145437,0.38486868,0,0,0,0,0,0,0,0,0,0
39,0,0,0,1.2355319,0,3.2683315,1.05433,0,3.912785,0,0,1.2662581,1.6605484,1.5292408,0,0,0,0,3.5096285,0,0,0
40,0,3.9217536,0,0,0,0,0,0.7150395,0,0.33494845,0.31476358,0,2.6117778,0.73748565,0.96781194,2.0289166,0.20226946,0,0,0,0,0
41,0.46342525,0.19691679,0,0,1.2590425,0,1.6970412,0.11700539,0,0,0.87901956,1.1361643,0,0.72088885,6.478306,1.0319104,0.42986456,0.37394705,1.3538259,1.3644044,0,0
