x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,2.3593974,0,0,0.44004476,0.36161172,0,0,0,0.31470564,0,0.36840484,0,0.16836044,0,0.5878244,0.09181918,2.5866964,0,1.2290896,1.5538696,0.15393363
2,0,1.7151107,0.48016047,0,0,2.4265924,0,1.9972428,0,0,0.21675779,0,1.9259188,0,5.6497574,0,3.477867,6.0722756,0,0,0,0,0,0,2.6068285
3,1.3539046,0,0.10611787,0,0,0,0,0,0.3498413,0,2.161272,1.5546372,0,0,0,0,0.8635362,0.6722521,0,1.5075186,5.32062,0,4.7410626,2.7876182,3.1065795
4,2.43606,1.2714057,0,0,0,0,0,0,0,0.77374476,0,0,0,0,4.330557,0,0,1.61566,3.7329788,0.8545862,2.1298265,1.2363614,4.428581,0,1.4146329
5,0,0,1.1399673e-05,0,0,2.7562692,0,0,0,0.10992893,0.81426203,1.5442127,0,0,0,0,0,0,3.3474762,0,1.1192789,0,2.5673158,0.34242576,0
6,1.4205998,0,0,0.8295376,0.8086174,0,0.882227,0,0.57789874,0.8353187,0,0,0,0.56112206,0.33850676,0,0,4.0814185,0,1.202063,0,0,4.182406,0.5892619,1.0039816
7,3.4345121,0,0,0,1.8257782,0,0,0.5893601,1.8841865,0,3.1380272,0,0,0,0,0.2971711,2.047479,0,0.20806672,0,0,2.6289794,9.2000675,0,0
8,0,0,0,0,0,0.65496886,0.7902853,0,0,0,0.905508,0.7418586,0.44182292,0,0.8284814,1.7628978,0,3.3402717,0,0,0,0,2.959275,0,3.6576898
9,0,0.81253994,0,0.1763474,0.8845121,1.0323995,0,0.13086474,0.28058052,0.06561871,0.6934067,0,0,0,0,3.587889,1.0607797,0,2.3539505,1.9844636,0,0,0.34945145,0,0
10,0,0,0.07138853,0.5566939,0,4.334913,0.68528765,0,0,0,0,0.3328118,0.47204283,0.51221687,0,1.9491974,0,0.14458422,6.195221,0.09564646,0,0,0,0,1.8149343
11,1.1942501,1.0017014,0,1.2047578,0,0,0,3.2580159,1.1019576,0,0,1.3722372,0,0,0,2.403943,0.032673728,3.6008863,0,0,0,0,3.0441663,0,0
12,0.3974645,0,0,0.17259824,0,0,0.22815162,0.16317645,0.7366182,0.41396636,0,0.06042114,0,0.57207054,4.760158,0,1.1007042,0,1.7244823,0.650988,1.6105647,0,0,0.6547293,0
13,0.16217144,0,0.8940778,0,0,1.7067559,0,0.9824003,0,0.51770645,0.11768576,0,0,0.21737964,0,0,0,0.18965405,0,0,10.238948,0,0,0,0
14,0,0,0.28698283,0,0.0591253,0,0.8362775,0,0,0,0,0,0.577884,0,0,0.13596086,0,0,0,0,0,1.0028559,0,0,0
15,0,0,1.3318082,0.6629175,0,0,0,0,0.14414376,0,0,0,0.028241558,0,0,0,0,0,0,0,0,0,0,0,0.6567511
16,0,0,0,0.16535941,1.7021849,0,2.7035155,0.8948396,1.9933095,0,0,0.07048172,0,0.5043749,0,0.8557842,0,1.6245711,1.2495939,0,2.836252,0.2285751,0,0.7299611,6.498397
17,0,1.5033823,0,0,0,2.939148,0,0,0,0.81286645,0.2165918,0,1.2778752,0,1.7727866,0.49549615,0.18533617,2.1413734,1.92318,0.09514341,2.789204,1.122202,1.4898801,1.9748205,0
18,0.5398215,1.6613126,0.59072906,0.16333207,0.07874467,0.2507331,0,0.48774254,0,0,0,0.2174525,0,0,0,0,0,2.0119011,1.2292258,0,0,0.40121612,5.0724335,1.2725608,0
19,0.016192574,0,0.6718963,0,0.6591624,0,0,0.23615097,1.261275,0.46056917,0.7149922,0,0.874091,1.012813,1.2478104,1.8682188,0.83820146,0,0,0,0,0.55683637,7.232686,0.69522756,0
20,0,0,0,0.05541923,0,0.8030856,0.8807629,0,0,0.05668796,1.2320802,0,0.08135853,0,0.17594734,3.2297912,0.8879761,4.081011,5.419004,0.6341057,0,0,1.3133745,0,3.0972197
21,1.0320922,0,0.6922809,0,1.1600507,0.38427097,0,0,0,0,0,0,0,2.2659457,0,1.5474432,0.21863829,5.0764127,0,1.0978063,0,1.0807352,1.5006293,0.25837916,0
22,0,0,0,0,0,0,0,2.643876,0.032939427,1.2144911,0.2005904,1.1852946,0,0,0,0,0,0,0.8691427,0,0,0,0,0,1.1767235
23,0,0.08758017,0,0,0,0.79728353,0,1.0288876,0,0,0.54625744,0,0,0,0,3.871163,0,0,9.614697,0,0,0,0.9668484,0.42350882,0.5726601
24,0,0.122002445,0.7904485,0.34970558,1.0836622,3.2264218,0,0,0.15922035,0,0.77037424,0.6262315,0,0,0,0,0,0,4.0353785,1.1618668,1.5014123,0,0,0.38759655,0
25,1.3031199,1.3329399,0,0,2.8364184,3.3198242,0,0,0.89658546,0,0,0,0.082328275,0,1.0116313,2.1164217,2.4310892,3.3955054,0,0.43291703,5.2959385,0,1.90078,0,0
26,0.37688163,0,1.6693004,0,0,0,0.438293,0,0,0.36380625,1.0743073,1.432618,0,0,0.9550264,0,0,2.6581278,0,0,0,1.6910261,0,1.7836691,0
27,0,1.6996439,0,0.8903308,1.0445209,0,0,3.2110074,0.8322522,0,0,0.714434,0,0,0,0.24725781,0.60553014,1.6738652,0,0,0,0,4.6131387,0,4.2675943
28,0.096580714,0,0.10511508,0,0,0,0,0,0,0,0,1.532513,0,0.94273,0.8628923,3.1695697,1.3981125,0,0,0.61932236,0,0.9819463,4.08167,0,0
29,0,0,0,1.168021,0,0,0.9971341,0,0,0.05026609,0.45375624,0.88227856,0,0,0.7290725,1.364754,0,0,0,0.50822103,0,0.6226018,0,0,0
30,0,0,0,1.1414242,0,2.3739028,0,0,0,0,0,0,0.12701182,0.5372498,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,2.1113513,0,0,0,0,0,0,0,0,0.626417,0.97031254,0,0.13213499,0,0,0,0,0,0,0,0,0.64754707
32,0,0,0.77943695,0.78292805,0,0,2.3129303,0,0,0,0.71525687,0,0.6427779,0.70951736,0,0,0,0,0,0,4.0348015,0,0,0,0
33,0.78310066,0,0.2900805,0,0,0,0,0,0.048209146,0,0.43818182,0,1.0417888,1.7907352,0,0,1.0885816,1.8558238,0,0,8.729673,0.19284865,2.287633,0,0
34,0,0,1.0898688,0,1.0817302,0,0,0,0,0,0.48275253,0,0,2.0547488,2.2906847,0,0,0,0,2.5279746,1.1727749,0,2.594112,0,0.66246885
35,1.7130834,0.9691349,2.4452736,0.7316185,0,0,0.10141524,0.85005325,0,0,0,0,0.13097157,0,0.03892543,0,0,3.7014973,0,0,5.0314035,3.353894,0,0.45095137,5.9869313
36,0.37758026,0,0.033796113,0,2.1688845,0,0,0,0.65547997,0.19369917,0,0.18900095,0.5497044,0.64825416,0.20225827,0,0,5.1069613,0.6209405,0,0,0,0,0,0
37,1.4294333,0,0,0.58410734,0,0,0,0,0,0,0.59276193,0,0,0.47944385,0,0,1.596658,0,2.453925,0,2.0273206,0,2.4695728,0.89848727,2.672657
38,0,0,0,0.17408179,0,0.2294483,0,0,0,0,0,1.3633786,1.0559944,1.2646111,0,2.4350402,0,0.2826382,0,0,1.4832215,0.022231743,0.12831321,1.8179631,7.7806306
39,0,0.65946335,0.6778651,0,2.3728776,2.2846274,0,1.0916593,0,1.1587101,0,0,0.6376013,0,0,5.03622,0.07565648,0,0,0.7228598,2.5832746,0.25799495,0,0,0
40,0,0,0,0.313299,0,0,0,0.6418822,0.90672123,1.1657314,0,0,0.7439631,1.1339618,0,0.44892073,0,0.7034625,1.0999643,0,0,0,0,0,1.8206341
41,0,1.1649177,0,0,2.4601939,1.6575586,2.58559,0,0,0,0.44748613,0,0.31674436,0,1.5989244,0,0,5.071116,0,0,1.3437754,0,0,0.48941317,5.3395987
42,0,0.32531878,0,0.75874597,0.9018686,0,0.35422096,0,0.44929695,0.25882053,0.72906506,0,0,0,0.6111874,0,0,0,2.212982,0.53378934,0.86408687,0,0.35379764,0,2.259919
43,0,1.5011387,0,0.4017904,0.32148024,0,0,0,0,0.7228981,0.5838169,0.576264,0.80805945,0,0.57748234,0,0.79649043,1.9792508,0,1.968616,2.6177933,0,1.5869064,0.26098853,1.7749294
44,0,0,0,0.17862752,0,0,0.16716117,0.87287086,2.9794724,0,0,0,0,0.5949698,1.2568493,0,0,0,0.2614369,0,0,0.90792435,0,1.0380087,0
45,0.4197758,0,0,0,0,0,0.043280844,0.75583553,0,0.5700487,0,0,0,0,0,0,0.103291154,1.5554094,0.81306165,0.8205461,2.6602156,0.39147386,4.0257087,1.7969763,0
46,0.003565473,0,0,0,0,0,0,0,0,0,2.0819962,0,0,0.4581091,0.14279805,0,0,0,0,0,0.70704794,0,0.20221704,0,0
47,0,0,0,0,0,0.16467601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,1.6423117,0.57470256,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88512933,0,0,0,0
49,0,0,0,0.3579366,0.38490516,0,0,1.166346,0,0,2.5519292,0.14135075,0,0,0,0.5535747,0.79824233,1.596303,1.9294084,0,3.7444339,0.8576336,3.2236023,0.12813963,0
50,0,1.2128825,0.9059896,0,0,0,0,0.17065649,0.07686082,0,0,0.12220482,0,0,4.4258556,0,0,0,0,1.0817351,2.3371985,0,0,0.9471362,0
51,0,0,0.9955949,0,0,0.5187115,0,0,0,0,0,0,0.010751082,0,0,0.16506003,0,0,0,0,0,0,0,0.47950718,0.5262339
52,0,0,0.0333918,0.8415107,0.1151393,1.0690248,0.23129904,3.7273438,0,1.0146302,0,0.8582155,0.5198668,0,2.8829815,1.5439411,0,0,0,0,0,0,0,0,0
53,2.900162,1.3120794,0.80897677,0,1.8494918,0,0,0,0.53856665,0.86073196,0.62226653,0.2683269,0,0.8630673,0,1.8016242,1.3546314,0,0,0,0.80087787,0,0.63039196,0,0
54,0,0,0.4424819,0,0.5848092,0.73293304,0,0.4407295,1.5129137,0.04583046,0,0.49137187,1.1071727,0,0,1.2284633,1.6398231,0.2643608,2.496702,0.43211937,3.33245,0,3.616499,0,0
55,0.5387778,0,0,1.2146177,0,0,0,0,0.36796933,0,0,0,0,0,1.9052482,3.4351113,0,0.35577977,0,0,0,0.70508164,0,1.0512458,0
56,1.189278,0,0.95770586,0,0,1.6512368,0,0,0,0,0,0,0,0,1.5983976,0,0.37346968,3.491562,2.4115617,0,0,0,0,2.076056,0
57,0,0,1.0419983,0.3755839,0.16166194,0,1.5439199,0,0,0.5274204,2.141842,1.1883345,0,0,0.4537036,0,0.06773219,0,1.4412538,0.02102777,0.66935575,0,1.2325678,0,0
58,0,0,0,0.12301804,0.3739329,0,0,0,0.49541664,0,0,1.456596,0.77778465,1.1342293,0.26223826,1.02551,1.060482,0.6279246,3.9540617,0.71849,3.3455763,1.6281377,0,0,3.5912714
59,0,0,0,0,0,0,0.62470436,3.0490053,0,0,1.5903069,0,2.8493164,0,0,0,0,4.243244,0,0,1.6894022,0,2.639104,0.5746666,3.338492
60,0.64291435,1.2588549,0.102937385,0,0.2833554,0,0.520232,0,0,0.49404916,0,0.8305466,0,1.4765167,0,0,0.09040766,0,2.6366572,0.7322952,7.4268384,0.663743,2.4128265,0.9071969,0
61,0,0,0,0,0,2.8283966,0,0,0.21515359,0.228787,0,0,0,0.27868497,0,0,0,5.465808,0.8343063,0,0.83146733,0,3.9474833,0.21244408,0
62,0,0.4429884,0,0,0,0.2500221,0,1.9328618,0,0,0,0,0.75253934,0,0,0,0,0,1.0027574,0,0.2407475,0,0,0,0
63,0.07083387,1.5847156,0,0.5992525,4.1060724,0,0.1398386,0,0,0,0,0,1.001976,0,0,0.21782777,0,2.6389067,0,0,0,0,0,0,0
64,0,0,0.5697,0.7168708,0,1.5112175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.13365594,0,0.47389916,0,0.19918932,0,0,0.044821195,1.6326547,0,0,0,0,0,0,0,0,0,0,0,7.100195,0.18982509,0,0,0
66,0,0.111391574,1.2974657,0,0.34659284,0.060852613,0,0,0,0.8141749,0,0,0,0,0,0.5702525,0,0,0,1.8340298,1.2552731,0.44530097,0.8861003,1.1223133,4.7145405
67,0,0,0.120459564,0.8226179,0.48569733,2.88785,0.9552475,0,0,0,0,0,0.8012247,0,0.86053425,0,0,1.5148509,0,0,11.353777,0,0,0,0
68,0,0.105805516,0.47588542,0,2.0697346,0,0.8019454,1.5013443,0,0,0.74408126,1.619266,0,0,0,1.2023787,0.8878839,3.3842192,0.94414425,0,0,0,1.4413148,0.71721506,4.4136896
69,0,0,0.2701501,0.2793625,2.0767736,0,0,0,0,0,0,0,0,0.28269282,0,1.8222182,0,3.0566382,0,1.936911,3.556729,1.2320963,0.9414497,0,0
70,0,0,0.7103486,0,0,0,0,0.06333899,0,0.13657874,0,0,0,0,0,0,0,3.247439,0,0,2.5167277,0,6.3935747,0.042773426,0
71,0,0.65151083,0,0.5969395,0,0,0.37636876,0,0.28745478,0.59899384,0,0,1.1793996,0,0,0,0.61185724,2.717677,0.90873146,0.03662831,4.3453636,0,1.8530799,0.68128556,0
72,0,0.16777353,0.34568417,0.70426357,0,1.8674507,0,0,0,0,0,0,0.11366293,1.1354234,0.40642858,0,0,0,0,0.6680329,0,0.13700324,0,0.34760296,0
73,1.4180946,0,0,0.7963809,0,0,0,0,0,0.35609823,1.1579506,0.6010239,0,0,1.057005,0,1.1765187,0,3.4091465,0,0,0,9.802373,0,0
74,1.1596894,0.73825324,0,0,1.0316131,0,0,0,0.47846743,0.5869327,2.4899535,0.31073937,0,0,2.3515408,0.56563896,0,0,2.1585197,0.1353193,3.4918742,0.974026,2.9077196,0.58458203,3.2369273
75,0.6221964,0.34176785,0,0,1.2614876,1.759203,0,0,0,0.09957241,0,0,0,1.2323996,1.0420291,1.9674438,0,1.3136119,0.47201213,0,4.9860206,0,4.87065,0,1.8502717
76,1.140681,0.38125396,0,0,0.56403667,0.8820298,0,0,0,0.09308783,0,0,0,1.2078056,0.8026859,0.39427772,0,5.004156,2.386227,0.1584856,0,1.2671275,2.8290436,1.6063967,1.5322065
