x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2.1805182,2.778977,0,0,0.39782745,4.7407446,0,3.199284,0,0,0,0.13029452,0,0,5.324145,0,0,0,0,0,1.0751914,0,0
2,0,0,0,3.6996787,0,0,0,0,0,0,1.0172955,0,0.9201183,2.4798849,0,1.0114236,0.5772876,5.5399923,0,0.12684931,0,0,0,0
3,2.4160352,0,0.10070793,4.1712384,3.7137828,1.0471236,0,0,0,2.553917,0,0,5.5074987,0,0.97347903,0.83342975,0.51609,1.8746693,0,0.5712362,3.687794,10.390656,0.05324476,1.124443
4,0,0,0,0,0,0,0,0,3.6310487,0,0,3.5400715,0,0,0,0.4313914,0,0,0.9581046,0,0,0.07803069,10.85323,1.578838
5,4.2057986,0,0,0,0,0,7.3407645,0,3.0846665,0,0.5212991,0.1560462,0,0,0,0,0,3.7182589,0.7029378,0,0,0,0,0.3926392
6,0,0,0,2.674011,0,3.217777,0,2.8157282,0,0,0,2.4994953,0.89527166,0,0,0,4.56369,0,0,0,0.9533549,6.4430656,0.72566146,0
7,2.5190885,6.931,0.4500395,0.8659098,0,0,0,0,0,1.4661646,0,0,0,1.1556915,0,0.4054595,0,0,0,1.4866873,0.9552309,0,7.475429,1.6143438
8,1.8228949,0,1.3294003,0,0,1.2369788,0,1.7014037,0,0,0.9933711,0,0,0,0,0.84921044,0,0,0,0,2.8535438,0.24941713,0.090455845,0
9,2.8670363,0,2.7139375,0,0,2.2733638,0,0,0,0,0,0,0,4.646324,0,5.3440685,1.3681431,0,0.8839982,1.3311806,0,0,0,0
10,1.002606,0,0,2.626748,6.9947767,0,0,0,0,0,0,2.1377728,0,0,0.41685942,0,0.29783422,0,1.1518307,0,1.7171649,2.9548464,10.350367,0
11,6.054766,0,0.84218925,1.6887364,0,0.6586256,2.2402992,1.0894116,0,0,6.2984476,0,0.9846811,0,4.3337245,5.2179456,2.702866,0.95067847,0.7618261,0.048473448,0,0,0,9.343349
12,0,3.0073242,0,5.508439,0,0,0,0,0.61796933,5.3208823,1.4960848,0,0,0,3.0526948,0,0,2.1442423,0,0.95589083,0,0,0,0.34517685
13,0.7270186,0,0,1.7814195,0.4863822,4.190834,0,0,0,0,0,1.9714761,0,3.9284873,0,3.626786,0.5299086,0.3832166,0,0.7301914,0,0,7.2962904,3.6337478
14,0,0,0,0,0,0,0,0.7829309,0,1.5645636,2.9651241,0,0,0,0,0,1.6578091,0,0,1.8193445,0,0,0,0
15,0,8.744798,5.3005934,0.094379865,1.983578,0,0,0,0,4.4699354,0,2.509346,0,0,2.3685186,0,0,0,0,0,0,0,0,0
16,0,5.7526894,0,4.3346252,0,0,0,0,0,0,0,1.1969795,0,0,0,0,0,0,0,0,0.19962297,0,0,0
17,0.6360375,0.7082659,0.03877584,0,0,1.0550383,0,1.432181,0,0,0.7538267,0,0,0,3.3072116,0.9160068,0,1.8118328,0.05572749,0.18096976,0.038093373,3.1668901,0,0
18,0.5309623,4.5719504,0,0,0,0.71866363,0.4991267,0.84395295,1.2777443,0.003065416,0,0,0,3.7178507,0,0,0,3.13967,0.85224646,0,2.5982952,0,0,0
19,0,0,1.0230618,1.751282,2.5069854,0,0.74068475,0,0,0.4022442,2.5486636,0,0,0,7.8424997,0,0.43790182,3.1928742,0,0,0,0,7.561462,0.57485914
20,1.9072454,0,0.75342166,1.5935328,0,0.720419,0,0,1.8846947,0,0,1.5129457,1.7757258,0,0.7645614,0.9429561,0,0,0.3640368,0,1.9924667,0,0,5.194182
21,0,1.9813474,2.8519053,0,1.7605139,0.82852817,0,2.2802303,0,1.3621281,0.70556635,0,2.1432831,2.3859875,0.9497797,0,0,0,0,0.44336516,0.9361826,1.7739121,0,0
22,3.1024437,0,0,0,0,0,1.0136392,0,0,1.1740975,0,3.6633546,0,0,0,0,5.562915,1.2572883,0.51694816,3.5024242,0,0,4.9528074,0
23,0,0,0.4749147,1.9238931,0,0,7.5215616,0,0,0,3.303881,0,5.4560843,0.38997778,0,1.1366447,0,1.4907762,4.1312513,0,3.0812716,3.0610046,2.3699214,0
