x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.1926027,0,3.017961,4.0119376,0,0,0,0,0.6355158,0,0,0.42114088,0,2.793584,7.096219,0,0,0,0,2.9305928,13.778957,0.37939343,2.7328916,0,2.1998425,1.103401,0,0,4.67518,2.3084168,0
2,0.29576328,0,0,0,0,2.4566112,0,0,0,0,0,3.3160677,3.006528,3.7235112,0.9687393,0,0,1.2752364,1.4627683,5.3622766,0,2.1889508,0,0.5372522,0,0.8396379,0,3.6287336,0,1.532735,0.5913635
3,0,0.24152651,6.5251174,0,0,0.8817704,0,1.3151535,0,0,0,1.0364516,0,0,4.234572,0,2.898248,0,0,2.3267887,0,1.3035032,0,0,0,0,0,3.0938618,0,0,3.8313005
4,0,0,2.3943322,0,0,0,2.5269608,0,4.1785593,0,0,0,0,1.2874084,0,0,0,0,0,2.381992,4.8489695,3.7592347,0,0,0,0,0,3.6067414,0,0,0
5,0.91745335,2.8404715,8.196003,0,0,0.93648225,1.0436834,1.025193,0,0,4.15583,1.1477162,0,0,2.7767684,0.96418077,0,0,0,1.754136,0.44241267,0,1.4457579,0,0,0.47273505,0,0.6671664,7.860314,0.3177348,1.862212
6,0,1.8785759,0,0,3.12467,5.508717,3.1795657,0,0,0.19564629,0,0.30275255,0.45490098,0,7.9519653,0,2.7495008,0,1.436212,0,0,0,0,0,0,0,0,0,0,0.019604461,0
7,0,0,3.4472342,0,0,3.714343,1.4521635,0,3.9331915,0,0,7.0730476,5.337396,2.8761616,0,2.747447,0,1.1945043,0,2.4643524,5.5724106,1.7197738,0.8745823,2.443429,0,0,0,0,0,1.7818415,0.645037
8,0,0,3.9747565,0,0,2.33812,0,2.9398377,2.2762225,0,3.0914514,0.61524516,0,6.032742,0,0,0,0.75010437,0,0,0,2.483959,0,0,0,0.42872143,0,0,0,0,0.4286461
9,4.2267814,0,0,2.1909885,1.2253935,0,2.4857857,2.325063,0,0,0,2.179864,9.501923,1.3125145,5.191538,0,0,0,0,0,3.2748644,1.7163914,0,0,0.9498736,0,0,0,0,0,0.6700532
10,0,0,0,0,2.4839926,7.059861,0,1.3880646,0,0,2.4826734,2.391255,3.91164,0,2.3954208,0,0,0,0,3.6347818,1.0503888,1.6972572,0,1.2120675,1.9132674,0,1.6674532,1.7460791,0,0,0
11,0.9196196,0,0.57528657,0,0,0,0,0,0,1.520294,0,0,4.4829483,0,1.4318649,0,0,0.7234447,0,0,0.87132525,0.4975949,0,0,0,7.1490746,0,0,8.08977,1.4154942,0
12,1.091561,0,0,0.74585533,0.30451503,0,0.054414243,0,0,3.2409112,0,0,0,0,0,4.181589,0,0.8205068,2.1311617,5.025546,0,0,3.300656,2.4116197,0,2.452476,0,5.0380535,0,1.538475,4.4095597
13,4.357283,0,0,4.768145,0,0.069304936,0.7314126,0.20347434,0,1.5510436,0,7.4458838,0,0,2.1997526,0,0.9252713,0,1.4061078,1.492073,0,0.85202163,5.3291106,0,3.0199764,0,2.1691184,0,9.138814,0,1.8232074
14,0.029303849,0,0,0,0,0,0.5396556,0,0,1.4637889,0,3.808438,0.4145247,0,0,0,0,0,0,1.7599782,5.915038,0,0,0,0,0,3.3771472,0,9.548304,0,4.0202966
15,0,0,0,3.626196,1.713549,0,4.614928,0.048478,1.7854546,0.30183256,1.0979396,0,0,1.749903,0,1.7344568,0,2.4196417,0,1.8246628,0,1.3249428,0.8218966,0.26971093,0,0,0,1.4467452,0,1.3748727,0
16,0,2.022368,0,0.51918846,1.5009106,0,0,1.4465494,0,0,0,0.024543893,3.136354,1.4403063,0,2.545891,0,0.36373538,4.063413,0,0,0,0,0,0.004528502,0,0,0,0.9378594,0,0
17,0,0,7.6724386,0,1.2308733,1.1867268,1.2698652,2.2865603,0.25986618,0,0,1.2889025,0,0,0,0,0.88164794,3.0831544,0,0,0.87187123,3.9513373,0,3.5075617,0,0,2.0344162,0,0,0,1.6632935
18,0,0,0,3.393059,0,0,0.08138004,1.484813,5.6257057,0,6.162442,0,0,3.8909192,7.255603,0,0,0.1689351,0.54881734,2.5624275,0,0.7756168,1.5735383,0,1.9960256,1.2344899,0.30059302,4.4810467,0,0,0
19,0,0,7.4144287,0,4.0834336,3.9640415,0,0,3.0683243,0,7.4511886,0,0,0,7.7137556,0,5.9758067,0.8899131,3.2465138,3.2586238,1.506395,0,0,3.445978,0.98527193,0,0.30395094,0,0,0.28117618,0
20,0,0,13.527858,0,0,1.7776905,0,0,2.8652825,0.36589077,0,0,0,3.1868184,0,0,0,0,1.1989602,0,2.1698847,0,0,0.06913762,0,0,2.5224383,0,0,0,2.9874706
21,0,0,0,0,4.496371,1.3004436,0,0.1504504,1.7692294,0,0,3.0925915,0,0,3.5089695,0,0,0,0,4.2298136,4.410099,0.9000386,1.0862017,2.4828713,0,0,3.1641364,0,0,0,0
22,1.906008,0,0,1.0232683,0,1.0981965,2.0704663,7.1748857,0,0,5.222192,0.8427581,0,2.742561,3.083251,0,2.2489607,0,0.8406869,1.5229675,1.2507029,0,0,0,4.3245835,0,0,1.9418153,0,0,0
23,0.18561822,9.694638,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82058525,0,0,1.600796,0,7.59323,3.5888705,0,0.84093,0,3.5513847,0,0,0,0,0
24,5.226252,11.877408,0,0,1.3210639,0,0,0,0,0,0,0,0.6585278,0,0,7.794393,1.7738854,0.4973583,0,0,0,0,1.6139619,0,2.1656492,0,0,0,2.6339679,0,0
25,0,7.289402,0,0,0,0,2.8611333,0,0,1.4289225,0,0,0,0,0,0,3.1758206,0,0,0,0,0,0,0,0,0,0,0,0,3.3158853,0
26,0,0,0,0,3.8511233,0.65613014,0,0,0,7.717819,0,0,0.975182,0,0,0,0.96606755,0,1.8566979,0,0,0,5.8393307,0,0.36579633,0,0,0,8.048586,0.437296,0
27,1.4359431,0,2.0618985,0,0,0.18529189,1.6072044,0,0,0,0,2.825182,9.217068,1.5725945,0.46261418,0,0,4.709498,0,1.9905233,0,0,1.7565699,0,0,0.54092985,0,0,0,0,0
28,0,0,12.046542,3.374836,0,0,0,0,0,0,0,4.029223,0,5.586166,4.510679,0.8503555,0,0,0,1.2477674,0,0.47110218,0,0,1.2242949,0,0.1151424,0,11.728465,0.9122326,0.10603465
29,0,0,0,0,0,0.9733293,0,0,0,0,0,0.18671778,0,0,0,3.537474,0,2.1404572,1.5106395,0,0,0,7.004649,0.23870276,5.5969133,0,0,1.2966117,5.956744,0,6.106661
30,0,0,0,0,1.4559618,3.888581,0,0,5.7504983,0,1.7373662,0,0,3.473822,3.6524973,0,2.0246806,0.195512,1.6009402,0,3.0249853,2.2432902,2.383563,0.4327441,2.307791,0,0.15383473,0,2.850398,0,0.5882951
31,0,0,1.583843,0,0.3465533,0,0,0,2.7063432,0,3.9098303,0,0,3.214414,1.7433318,2.0879705,0,0,0.1983858,0.88466656,0,0.08860904,0,1.9291658,0,0,0,0.007852081,0,0,1.2024442
32,0,0,0,5.333378,2.2117112,2.0973167,6.723532,5.6576524,2.183533,0,0.05529598,0,0,0,3.7908447,0.50402987,0,0.78596336,0,6.96409,0.6153075,0,0,0,0,0,5.531323,0,0,0,0
33,0,0,0,1.7765881,0,3.535849,0,0,0,3.77902,1.220011,4.5695605,0.96595305,0,0,0,0,0,5.9028163,0,0,0,0,0,0,2.1320956,0,0,0,0,0
34,0,0,2.3934562,0,0,0,0,0,0,2.0135262,0,3.0028133,0,0.20232375,1.3271966,0,0,0,0,0,2.9090745,0.69574285,0,0,0,0,0.1375324,0,0,0,0
35,0,0,0,2.4447186,3.1759498,2.0207798,0.40468088,1.9090724,0,0,2.4205453,0.47421202,9.768683,0,0,0,0.2691,3.2703447,0.8245666,0,0,2.1450825,0,0,0,0,0,1.4008915,6.1358356,1.5125406,6.830454
36,1.0146769,0,0,3.692963,0,0,0,4.5067687,0,0,0,1.2402799,0,3.3333251,0,0,0.13945782,0,0,2.207828,0.6502135,6.468033,0,3.4322128,0,0.28932473,0.81582284,0.13892868,0,0,0
37,2.894614,4.8998885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028547332,0,0,0,0,0,0,0,3.2795815,0,0,0.6680737,0,0,0,0
38,0.18450767,8.661139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1734204,0,0,0,0,0,0,0,0,0,2.0075111,0,0,0,0
39,0.43442565,0,0,0.08736598,8.352587,5.0454826,0,0,0,0,0,0,5.803808,0,6.4153385,0,8.619186,2.6923072,0,0.48329854,0.58651674,0,0.62309843,3.273505,0,7.8549476,0,0,3.1531727,0,3.612528
