x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1.1566573,0,1.562831,0,0,3.7696333,1.6453861,0,0,4.3894076,0,0.32150117,0.8787618,0,0,11.827695,0,0,0,4.700375,0.662649,0,0,0,0,0,2.9897256
2,0,10.353871,0,3.5264595,0.523737,0.11133771,0,2.0922208,0.713774,2.5906243,0,1.8401617,0,1.1605926,1.2700748,0,0,4.4168563,0,1.2423475,0,0,0,0,2.8753724,3.1744595,0,5.4540377,0,0,1.2578746,4.6393094
3,0,0,0.36913103,2.906559,0,5.9699826,0,0,0,0.75868404,0,0,3.1084132,3.9443853,2.345557,0,2.4845333,0.5130564,0,0.39943135,0,4.7935166,0,0,0,0,2.0246685,0,0,3.5605712,1.3260399,6.6560497
4,0.9522097,0,0.7862059,0,0,0,0,0,1.1623676,0,0,1.6058599,0,0,0,0,1.1492236,4.887156,0,0.6228486,0,0,0,3.9725504,0,0,1.0127639,0,0,2.408883,0.3296435,0.060287077
5,1.8525789,1.5404348,0.46028057,0,0,7.6952195,0,6.653762,0,0.7076851,3.9732218,0,0,3.3681016,0,0.19667913,0,0.45697603,0,2.3598313,0,9.397483,0,0,0,1.1632315,0,0,0,2.4756052,0,0
6,1.5103415,0.40778682,1.3794636,0,1.4836469,0,2.689237,3.5383725,2.157417,0,0,0,1.0681473,0,0,0,0,1.6564039,0,0,0,0,1.5084429,2.5755558,1.8828928,3.716171,0,0,0,0.16621225,2.6867278,0
7,0.49932447,0,0,2.5859108,0,0,0.5007283,0,2.1820898,0,4.133695,3.8644638,0,2.658731,1.6517397,0,0,0,0.10646704,0,0,0,0,0,2.4751484,0,1.1765141,0,0,0,4.354225,0
8,0.82881194,0,1.3963013,0,0,0,1.0362134,0,1.0849727,2.9858677,0,3.4182777,0,0,0,0,0.005255674,13.232586,1.1283826,0.5720295,0,3.1538289,0,0,0,0,0.32555112,3.3709276,0,1.6654624,1.2131133,0
9,0.21192327,2.9358683,0,0,4.8881593,2.4855592,0,0,0,0,4.609717,7.348605,0,0,0,0,0,4.296909,0.073824,2.5699763,0,0,0.6013488,0.5889206,0,5.013473,0.6534623,2.1343498,1.6076257,0,0,0
10,0,0,0,0,0,0,4.164219,0,0,0,3.0011425,0,5.470345,0,0,0,0,0,0.3704921,0,2.9215086,0,0,6.849505,0.49749142,0,7.023765,2.7140772,0,0,0,0
11,0,0,0,0,0,0,0,0.07097592,4.2554097,0,0,0,0,0,0.3629147,0,1.4487864,2.0897632,0.64646345,0,0,4.52155,0,0,0,0,0.9050547,0,0.9560995,0.80338454,0,0
12,0,0.7509733,0,0,0,0,0,12.037447,3.9762418,2.0658696,0.7789874,0,0,1.7559438,0,2.0384505,0,2.0869021,2.8030794,0,0,6.363103,0,0,0,0,0,0.13832058,0,0,0,0
13,0,0,4.592498,0,0,3.0630665,1.7249826,0,0.07640792,0,1.6334052,2.985575,0,0,0,0,3.0987215,0,0,0,0,0,4.7838845,0,0,1.1935326,0,2.291296,1.7363925,1.4889301,0.99864745,0
14,0,0,0.17712882,0,0,0,1.6136311,0,0,0,0,0.8222247,0.28570265,0,2.9664764,0.57936746,0.57044953,0,0,0,12.380479,0,0.8707086,0,0,0,0,0,0,0,0,0.47355068
