x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5317361,0,0,11.841036,1.4805157,0,0,0,0,1.2922649,0.16290349,0.17582227,0,0,1.7822601,2.360781,3.324236,1.9768456,7.2095647,0,0.6379213,0,0,0,1.3827804,2.5479286,0,0,0,0,3.3886595,0,0,0,0.82244813,0.7554132,8.343419,0
2,0.85694325,0,0,0,0,0,0,0,1.9626069,0,0.42728075,1.2361485,0,0,0,0,0,0,0,0,0,0,2.9598706,1.1525409,6.0412693,0.30899006,0,3.2093194,0.11210265,0,0,0,0,1.3784634,0,0,0,0
3,1.4910804,0,4.0239863,0,0,0.45397714,0,0,0,2.1006927,1.0377162,0,0,6.173648,2.293184,0,3.058219,0,0,0,3.1401193,4.4668326,0,1.4743009,0,16.345,0,0.05365443,0,0,0,0,2.971771,0,2.5792584,0,0,0
4,0.11233769,0,3.6090744,15.086569,0,0,0,4.1323004,0,0,0,0,0,0.12794112,0,0,0,0,1.8384904,0,0,0,0,5.128542,0,0,6.3682075,1.5343174,0,0,1.2001997,1.647416,0,7.0735316,0,0,2.6332483,0
5,0,0,0,0,0,1.3485783,3.3538842,0,0,0,0,0,0,0,0,0,3.1627836,0,0,0,0,0,0,0.7399153,0,3.11448,0,2.5597067,1.0826786,0,0,1.071604,0,0,0,6.107183,0,0
6,2.0359483,9.982116,0,7.4708734,4.4172907,1.4033581,1.515795,0,2.2631733,0,0,0,2.2018514,0.18510745,1.0331764,2.0014646,0,0,0,0,0,0,0.21860114,0,1.48316,0,3.2425592,0,0,1.3106186,0,0,0,1.2734222,2.3922343,0,0,0
7,0,0,4.3953114,7.341325,0,2.965162,1.841561,0,0,0,0,0,0,0,0,3.9612863,1.7432826,1.8367617,1.2648139,0,3.5242352,9.861674,1.8041912,0,0,0,4.3328013,2.659421,0,1.1421478,1.2592361,0,0,2.816641,0.28281426,0,0,3.9101357
8,2.935639,0,0,0,0,0,0,4.2101636,0,0,0,0,0.6022319,0,0,0,0,0,0.2389694,0,3.067591,1.8344692,0,0,1.4508082,0,1.5999538,0,0,0.3422311,0,0,0.48030457,0,2.216002,0,10.351922,0
9,0,5.331263,0,0,4.622229,0,2.9049351,0,3.4291773,0.86620766,0,1.076126,0,0,0.45335194,0,0,0,0,0,2.1658068,0,0,0,0.54156405,0,6.396336,0,0,0.2918149,0,3.4868097,0.7262573,1.7386324,0,3.3326557,0,0
