x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.3325808,0,3.429857,1.1372283,1.3473777,0.8625281,0.7463664,5.396624,0,0,0,0.42173243,0,0,2.13582,0.7311406,6.739171,0,0.84840286,8.14898,2.6602387,2.9493837,2.842736,2.3729546,6.6373277,0,1.447634,1.6069044,0,0,0,8.769796,0.2485375,0
2,0,0.3336839,0.16553119,0,0,0,2.980132,5.0690303,0,0,0.024431167,4.33067,6.462478,0,0,0,2.1346917,1.9114107,0,0.30221102,18.000095,0,5.718851,0,2.4682457,0,2.9969919,0,2.0543127,4.3501177,1.8306677,1.7359596,3.8593926,0
3,0,5.0084677,0,0,0.20061892,0,0,9.167168,0,0,1.0858963,0.004028177,0,1.0869471,0,1.7855917,4.9321737,0,0,0,0,0,0,0,17.69746,0,0,0,0,0,0.9611738,0,5.200806,0
4,0,0,1.9870795,3.204157,0,0,0,0,0,0,0.6301827,0,8.0363455,0.4723438,0,0,0,16.05376,0,0,0,2.1986961,2.0329883,0.48498407,3.39439,4.6421013,1.4146315,7.5460553,1.5729623,0,0,0.17532653,1.8297933,0
5,4.5129476,1.0735915,0,0.4970262,0,0,0,4.7664905,0,0,0,4.013408,1.2759932,0,0,0,0,0,0,0,10.671288,2.4215848,4.561726,0,0.64032847,0,0.6960361,0,0,0.53373665,0,0,0,0.6952111
6,4.2067575,0,0,0.60422075,8.233365,0,0,0,10.252572,0.68810976,0,0.10437361,0,0,6.013818,0,0,0,0,0,0,0,0,0.14975776,0,0,0,0,0,0,0.5559288,0,0,1.0403972
7,0,0,2.7083313,0.19768366,0,4.5029726,0,0,9.816888,3.9508626,0.52531356,0,4.340931,0.6249765,0,0,0,0,2.802371,15.602928,0,7.8334684,0,0,0,0,0,0,0,0,0,0,0,0
8,1.4001169,0,0,4.6798635,0,0,1.0385314,0,0,0,2.6852286,3.117782,0,1.1771446,3.0256488,0.23168594,0,0,0.49790463,5.094336,0,5.864231,0,0,0,0,1.315045,0,5.069749,0,2.2919924,0.019953566,0,0
9,0,0,0,0,0,0.91749203,0,0,5.5231643,0,0,0,0,0,4.009115,0.30194563,2.067852,0,2.0543473,0,0,0,0,0,0,0,0.48223358,0,0,0,0,0,0,0
10,9.305404,0,12.730473,0,0,4.874778,0,0,9.935865,0,0,0,0,1.802226,3.0141706,0.07692733,0,8.67579,0,0,0,0,0,0,0,1.3865558,1.3247222,0,0,0,0,0,0,0
11,0.8738876,0,0,0.0955148,0,3.1118479,0,0,5.580723,0,0,0.91811466,0,0,0.8487258,0.12403605,0,1.7948074,6.67456,1.2299137,0,0,0,0,0,1.3336543,0,0,0,0.6646913,4.505518,0,0,0.22447987
12,0,2.1215324,0,0.1440722,1.5833718,0,0,0,0,0.8377183,0,0,7.0928164,0,0,0,3.6980405,0,0,3.2712572,0,0,0,0,0,0,0,0,0,0.8028942,0,0.74557406,0,1.3942208
13,0,1.9681367,0,0,0,0,1.1336476,0,0,0,0,0,7.0128393,1.8917981,0,0,1.528311,11.3883705,0,0,8.072571,0,0,4.0785317,0,0.5621402,5.242503,0,0,0,0,0,0,0
14,0,3.2009,0,1.472656,11.680622,0,0.09645257,7.3023562,4.4990363,0,0,1.4897258,0,0,0,0,8.197943,0.103486314,0,0,0,3.5682352,1.158615,3.2252324,8.433608,0.281659,0,1.116847,6.009331,0.24655186,0,7.9552155,0,0
15,0,2.878182,0,0,0,0,0.27080968,3.1556845,0,0,0.62800723,0,0,0,1.7345995,1.8652905,0,8.36588,8.424706,0,0,0,0.16184077,0,16.905985,5.120561,0,2.989007,0,0.97274804,0.9349206,0,0,0
16,0,1.7169489,0,0,0.08184584,0,0,0,0,0,0,0,0,1.4048654,0.65417784,1.8669248,0,0,0.6732854,2.2442684,0,3.6661425,0.44850376,3.199125,0,4.498622,1.0712343,0.22619002,0,0,0,0,0,5.606886
17,0,0,0,0,2.0103955,4.075577,0,0,7.0721917,0.24342781,1.620108,0,5.3409667,5.5100265,2.2168663,0,0,0,0.6852378,17.309639,0,3.5359128,0,0,0,7.2779365,0.14125712,0,0,0,0,0,0.37378177,0
18,0,6.0655065,4.986039,0,0,0,0.91347015,0,0,5.61377,1.6382533,0,10.448763,0,0,0,0,17.597431,2.1117816,0,0,0,0,0,0,3.8611414,1.4154683,0,4.0866327,0.71612203,0,0.2198128,0,2.1574056
19,0,0,0,0.7382968,0,0,0,0,0,0.57524824,0,0.31522006,14.0712,0,0,2.131669,2.0125592,10.870254,3.6830506,0,15.708796,1.8029357,0,2.0963151,0,1.4406259,2.4407842,3.1479335,0,0.44549814,1.6734657,0,6.7853622,0
20,0,0.12903823,0,1.8626164,0,0,0,0,0,1.451344,0,0.17189182,0,0,0,1.1150712,0,5.840987,0,0,0,3.3392286,1.3543743,2.0070927,15.459199,7.4111385,0,0,0,1.7632707,0,2.2925494,0,0
21,2.853872,0,0,0.068098225,1.800229,4.7226806,1.4921278,0,3.7894762,0,2.968491,0,0,4.5855274,0,0.50435346,0,0,1.9751308,0,0,11.290951,0,2.2452908,0,1.7799094,0,0,0,0,7.2888303,6.5344276,0,1.5837395
22,0,0,0,0,0,0,0,0,0,0,0,1.4311011,0,3.1696596,0.71581674,0,0.44472203,0,11.1753,1.3035427,0,2.6088796,0.049484607,0.6101726,0,3.8316655,0,2.4211438,4.605177,0,0,0,0,0
23,0,0,0,0,0,0,0,1.6224526,0.036744107,0,0,0,0,0,1.7512898,1.7516853,6.616814,0,0,0,0,4.407632,1.7418735,0.7944896,5.427493,0,0.3524816,1.8056598,0.31381252,0,0,0.89373785,3.942558,0
24,0,0,0,3.4325829,4.9337544,1.3190879,1.0950489,0,0,0.24407983,0.25506645,0,3.2723575,0,0,0,0.27184477,0,6.8744106,0,6.6911554,0,1.0163862,0,10.328701,0.47947568,0.47611946,0,0,1.4339983,2.1476467,0,0,0
25,0,0,0.958872,1.594186,0,3.2154386,0,2.6975288,0,1.2142783,1.7381029,0,0,2.0412023,0.5644252,0,0.58894086,7.3487563,0,0,20.805643,5.970945,0,1.023808,5.4958878,0,1.5934435,4.5880365,1.3591453,0,0,0,0,0
26,0,5.4717607,0,0,2.269724,0.627196,0.53326577,0,0.08705196,1.5050466,0.6244404,0,0,0,2.0477927,0.1712481,0,0,18.875454,11.2044,0,0,0,0.5039756,0,0,0,0,0,0,1.2344648,0.61422884,3.4264805,0
27,0,6.032604,0,0,0,0,0.08170548,0,0,1.4737705,0,1.3124367,0,0,0,0,0,1.5672174,0,0,0,0,3.2034588,2.245888,12.909074,0,3.2054873,2.0971925,0,0.22522523,0,0,4.431877,3.239815
28,0,0,7.3323474,0,0,0,3.6011775,0,0,1.4287232,0,0,8.717727,0,0,0,5.103061,0,0,0,0,11.041938,0,0,0.29326713,0,0,2.6119363,0.34200153,0,0,0,0,0.09602305
29,0,0,0,0,0,4.9895153,0,0,0,0.59214956,2.3115768,0,0,2.830217,0,0.5515406,0.60532725,0,4.692854,0,6.9791846,12.08872,0,3.2832696,5.7575216,2.468048,0,2.5330038,0,0.29494715,0,1.0117962,0,0.4752645
30,7.7728915,0.42690292,5.554919,0,0,0.46227258,0,3.832761,6.2376046,0,0,0.566834,0,0,0,0.59650207,0,0,0,0.22307724,7.0157332,0,0,0,0,0.690854,0,0,0,1.0300897,1.5124662,1.2766804,0,0.43896437
31,0,0,0,0,0,0,0.22445917,0,1.512004,0,0,0,9.819396,0,6.137352,0.22990148,0,0,3.2982683,3.6352978,0,0,0,0,3.826207,7.3923535,1.6080093,0,0,1.3312045,2.5592844,0,3.2694006,0
32,5.228319,0,0,0,0,2.3447764,0,0,6.143259,0,0,4.015066,0,0,3.4152412,0.16752633,0.56961524,0,0,9.417827,0,0,0,0,0.74973017,0,0,0,0,0,0,0,0,0
33,0,0,0,0.5300421,0,0,0,4.8857403,0,0.042302582,3.6162934,0,0,0,0,0,0,3.637636,6.3959136,1.0843867,0,4.514475,1.1231344,0,20.707836,0.37883195,0,3.7123554,0,0,0,0,0.250309,0
34,0,0,0,0,0,0,0.63156074,0,0,0,0,0,1.9521325,0,0.902214,0,1.3430283,15.923698,4.0305476,0,10.460008,0,0,0,2.9102972,2.964521,1.3006961,1.0673453,2.5054624,0,1.3020211,2.7425556,0,1.4672943
35,0,0,0,3.924919,0,0,0,1.8350197,0,0,0.05461244,0,0,0,1.1921674,0,5.502941,5.866595,0,0,10.411212,0,0.5758861,6.3061967,11.879893,5.8978004,0,0,6.10512,1.4673355,0,1.6488647,0.68596965,0
36,0.661775,0,4.094873,0,0,0,0.27490667,0.096385285,0,0,0,0.62947375,26.489336,2.205352,0,0,0,0,3.2085629,0,0,6.4561453,7.19772,0,8.852165,0,0,0,0,0,0,0,4.6832943,0
37,0,0,0,0,6.2920356,1.2024091,2.0339565,1.8674136,0,0.115014866,1.7205726,0,0,0,0,0,5.8248744,0,0,0,0,0.32224092,0,0,0.0564415,0,0,0,9.111203,0,0,0,0,1.5507978
38,0.19809857,0,0,1.6793481,0,0,0.67339236,10.040701,0,0,1.2443806,0.48864934,0,0,0,0.48340535,1.8936104,0,0,0,1.6266209,0,0,1.1305027,2.9341116,0,0,0,0.16361514,0,0,1.6266478,6.3361473,1.2882798
39,0.74988073,3.3162146,1.5453647,0,0,1.9761713,0,0.4397153,5.8384056,0,0,0.5476854,7.131261,1.5744216,9.11818,0,3.6952908,0,0,12.58473,0,2.8472788,0,0,0,0,0,9.302399,0,0,0,3.2366893,0.41273922,2.3848977
40,0,0,0,0,3.7058573,0,2.5059335,0,0,0,0,0,9.451232,1.8974454,1.9452077,0.18298416,0,0,3.9626265,0,0,0,8.781482,0,10.112474,3.9290617,0,0,0.31393054,1.7006289,0,0,0,0
41,0,0,0,2.0206964,0,0,0.2216696,4.253986,0,0,0,0.6169139,0,0,0,0,1.6839654,0,0,0,14.437735,0,2.0082955,4.4404693,3.5498,0,4.6130576,0.67878616,0,0,0,0,0,0
42,1.3397313,4.70156,2.418764,0,2.1915245,0,3.1950963,10.923536,0,0,0,0.86925894,0,0,0,0.29425445,0,16.032104,0,0,0.43220463,0,0,2.874402,14.362333,0,0,0,0,0,0,2.6970735,0,0
43,0,0,2.742371,1.9482096,0,2.032187,0,0,0,0,0,0,0,0,0,0,0,0,1.6843827,0,1.5107986,2.344153,0,0.4360123,0,0,0,0,0,0,4.9024143,0,1.7294965,0.47780675
44,1.5536608,5.802884,2.6011598,0,0,0.44770932,2.402467,0,0,2.486807,1.7773099,0.7232111,0,2.6837087,0,0.22263575,0,5.1400976,1.9770074,11.173566,0,2.8054006,2.7224329,0.5820489,0,1.2822143,0,0,0,1.7194756,0,9.366807,0,3.6889691
45,0,0,0.32607073,0,3.0717592,0.6262883,0,0,0,0.16673645,0,0.110072665,0,0,0,3.2079525,0,4.3355656,5.707793,14.874484,0,0,0,0,3.7905498,5.3077393,3.0574934,0,1.6713073,0,0.18070349,2.3590515,0,0
46,0,0,0,0.60900664,3.4201632,0,3.6017354,0.31331375,9.097428,4.230366,0.74525654,0.6967854,0,0,3.4482388,0,0,0,0,0,0,0,0,0,0,0,0,0.85035884,1.5214255,0,0,0,0,0.5119447
47,1.0522705,3.8329086,0,1.0792285,0,0,1.7015709,0,2.7107654,0,1.9632545,4.570135,0,0,0,1.15824,3.4674673,0,2.2320242,0,6.122679,0,4.7057977,0,0,0,3.4003172,1.127611,0,0.32167777,0,0.24334602,0,0
