x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.3948972,0,0.88818395,2.2602167,0,1.5437337,0,1.8802283,0,6.3090315,0,0,0.6578627,0,3.7058713,0,0,0,0.22626205,0,0,3.076337,12.704336,0,0,0,0,0,0,7.3731704,4.451909,7.7400985,3.0886488,1.7572687,0,1.2281163,0.7894759,0,0.7285975,2.567055,0,0,0,0,0,0,7.3984056,0,0,0,0
2,0,2.5362098,0,0,0,4.6524286,0,0,6.6198297,0,0,15.085743,0,0,0,0.45024738,0,1.3923311,0,0,0,0,0.58585656,0,0,0,7.5752373,0,0.05871417,0,1.446415,3.4382274,3.201813,0,1.9010785,0,0,0.015259026,0,0,3.1635976,0.16004467,0,0,0,0,6.571866,0,0,0,0.9757609
3,0,0,0,0.4119538,0.3348108,0,0,0.63872814,0,0,0,0,0,0.550081,0.25378546,0,0.49692276,7.00043,2.605707,0.016440019,2.6302722,0.26164123,7.389527,7.3616447,1.3972288,0,9.563204,0,0.34507146,3.6976478,0,2.4378958,0,0,0,0,0.23823312,0.89346164,0,0,1.2467153,0.31357586,0,0.4923624,2.303038,0,0,0,0,0,0
4,0,4.161174,0,0,0.048159707,0,0.32161987,0,0,1.5877169,2.0959527,1.6260414,0.10217801,2.4881732,2.8682625,3.4837732,0,0,1.6731403,5.6485415,4.5946302,0.77900213,6.319009,0,0,3.7068663,0,1.9412616,0,3.506841,2.9205592,0,1.5763595,0,0.2907382,0,1.1163219,0,0,0,1.1216036,0,0,0.19620334,0,1.394211,0,0,0,0.3615308,0
5,0,2.4941454,0,0,0.27595827,0.17483579,4.4681,1.2636408,2.4639297,0,0,2.7954981,0.26391613,0,0,0.8030248,0.39949194,1.1304725,0,4.830105,2.7903516,2.1217103,0,4.184998,0,0,0,5.7348185,0,0,0,0,0,1.9815786,0,0,1.4141998,1.0302129,0,0,1.3263524,0.97477,0,1.6198564,0,0,0,0,0,2.174435,0
6,0,0,0,0,0,0,1.8259705,0,0,1.4366416,0,3.451335,0,0,1.126181,2.49156,0,8.6433,0,0,0,0.022212155,0.9893912,3.6431544,0.57675385,5.798115,0,3.3464139,0,0,0.3077283,1.5242174,0,0,0.19444077,0,0,1.5080942,0,0,1.5770358,0,0.49474934,0,0,0,0,0,0,0,0
7,1.253797,0,0.059375647,1.8176473,0,0.7642279,0,0.5157558,6.4781623,0,1.7373257,15.374121,0,0,3.1018736,3.6841443,0,5.9470515,0,0,0,0.121876195,0,7.8115573,2.020569,0,9.568913,0,0,0,0.98155046,0,0,0,0.25590175,0,1.0941607,1.451985,2.0880916,0.10928864,3.238568,2.5160024,0.7523189,0.10523775,0.54181314,0,0,1.438904,10.103789,12.784783,0
8,0,1.357855,0,1.0811912,0.21056594,0.3852795,0,0,0,0,0,0,1.9968584,0.040057342,0,0,1.1540815,0.70597553,0,2.6509078,6.6849694,0.8108833,4.0303254,0.19149317,0,0,1.2169122,7.5446687,0,8.947595,0,0,1.1493374,0,2.360117,0,0,1.9262556,1.0488669,0,0,1.6469147,0,0,3.0760696,0,7.1944547,0.22319421,7.234927,0,0.7070129
9,0,0,0,0,0,0,0.5995181,0,0,0.48904485,2.1658173,0,3.579209,1.4126585,0.48182827,2.095602,1.5507827,0,0,2.307067,0,0,2.244336,3.2666976,0,1.8881372,0.11802443,0,0,1.259428,0,0,1.5678196,1.2894734,0,0,0,0,0.077416256,0,0.7775078,0,0,0.6362934,0,2.4971843,3.3451161,3.3056736,4.519142,17.53407,0
