x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061,y0062,y0063,y0064,y0065,y0066,y0067,y0068,y0069
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2.1313443,0,1.2840308,3.401841,0,0,0,0,0.6103747,0,0,5.4762,1.9323928,0.7617651,0,0,0,2.0543666,1.6787806,0.20307912,1.0729567,0,0.82975495,0,1.0565577,2.3721654,4.853233,0,1.335205,3.242829,0,0,2.1583004,4.638359,1.0244957,0,0,0,0,2.1985574,0,1.1220832,0,0.734713,0,0.500894,0,0,0,0,1.0280461,0,0.59042937,0,8.490941,0,0,0,0,0,0,0,4.7369595,5.213174,2.2745824,1.173601,0,2.5851188,3.1183348
2,0,0,11.031023,0,4.251784,3.5760138,0,0,0,0,0,0,0,8.074491,0.09873302,0.5187698,0.6172433,0,0,2.1814208,0,0,0,0,0.59792656,0,0,0,1.1450694,5.2486753,1.2635711,0,0,0.7237822,1.9669441,0.6232423,0,0,0,0,5.039359,0,0.3838023,0,0,0,0,0,0,10.392398,0.62993693,1.7275167,0,0.38407758,0,4.478164,0,0,0.96456933,0.6364241,0,0.47589242,0,0,0.35941517,1.0636925,0,0,0,0
3,0,0,3.6062138,0,2.4214246,5.333307,0,0,3.192089,0,0,0,0,5.728343,0,0.16740085,0,0,0,0,2.400056,0,0,0,0,0.57356745,0.31294677,0,0,0,0,0.9176482,0,1.0768468,0,0,0,0,0,0.025038406,2.5247042,0,0,0.7687016,0,1.8826717,0,0,0,0,0,0,0,0.8386397,0,0,1.4075246,0,3.6193876,0,0,0.37342232,0,1.9624213,3.3318834,0,0,0,2.7445076,6.030969
4,1.3722422,0,0,0,0,1.6522638,1.099345,0.56001073,0,0.27796584,0.14149994,9.055587,3.3185203,0,0.80725634,0.07071833,0.13288164,4.1699967,0,0,0,1.6179103,0,0,0.09680286,6.233574,3.0057456,0,1.1907921,0,5.8571973,0.40919003,0,2.7938194,0,0.008352684,1.1288785,2.247387,3.4115016,0,0,0.51558477,0,4.2940655,0.65184784,0,0,4.681955,0,2.6581035,3.1176405,1.9002678,3.9936528,0,2.852436,3.0039477,0,0.78218013,0,6.2176986,0,0,4.491998,0,2.0427778,0,6.0379076,0,0,0
5,0.24085087,0,0,0.29388356,0,1.8056264,0.984073,0,0,0,0,0,1.628066,0,0.0936702,0,0,0,1.2699344,2.622155,1.1886204,0,0,0,0,0,0,6.2083774,1.37624,8.959935,0,0.9768352,0,12.066473,4.8979945,0,0,0,0,0,7.745884,0.88595295,0.47424963,0,0,4.365148,2.7808547,0,1.1078452,0.90610653,0,0,0,0.6246863,0,3.2606165,4.3900347,0.41376334,0,0,0,2.6143286,0,0,3.2165732,3.9821,4.359417,0,0,0
6,0,0,0,0,0,1.8089137,0,0,1.6787337,0,0,1.0576725,0,0,1.6273359,0,1.2808594,0,0.1782322,0,0,0,0,0.9157621,2.6629503,0,0,0,2.9739344,0,0,0,1.9866854,0,0,0,0.56854427,0,0,0,3.8218641,0.76342064,0,0,0,0,0.04956345,0,0,0,0.6150615,8.366828,0,3.9803221,2.639962,11.956328,8.4087715,0,0.7520316,0,0.1842097,0,7.4259734,0,3.399502,0,1.3152218,0.54188895,0.025839759,0
7,0.36801603,0,1.1626861,1.0027523,5.72322,0,0.94489133,1.2643933,0.71202374,0,0,0,0,9.238117,0.005078122,3.0367153,2.7549646,0,3.6011975,0.058122747,0,0,0,0,1.6933997,0,0,0,0.8154984,0,0,0.4187192,1.4712857,0,0,1.8146297,0.50280756,0.081618994,0,0,0,1.2689317,0,0,0,0,0.18476273,0,5.669226,0,1.5759366,6.5669637,0,0,2.2386136,0,0,0,1.1970197,0.474003,0,1.2298008,0,0.22627299,1.4687558,0,0.009590936,0,1.3404192,0
8,0,0,2.8884118,0,1.578114,2.532904,0,0.14344713,1.0448018,0,0,0,0,0,0,0,0,0,0,0,0.91875845,0,0,1.356488,0,0,0,0.5667265,0,0,1.0418842,0,0,4.0888925,0,0,0,1.0038732,0,0.24829979,0,0,3.7538893,0,0.74503624,0,0.33802864,2.8264096,0,4.7960424,0,0,0,2.0007718,0,3.4695983,3.0783484,0,1.4645015,0,7.8502927,0,0,0,0,3.2861702,3.9373152,0,0,0
9,0,0.15046674,0,0,0.7043622,3.6805196,1.7079829,0,0,0,0.85932946,0,0,4.646269,0,0,0,0,0,0.72940993,0.78464514,0,0,1.5247815,0,0.26265916,0.3349123,5.4635053,0,0,0,0,0,0,3.2819188,1.1701187,0,0,3.4118342,2.8931735,4.5011187,0,0,0,0,0,0,2.3971663,0,3.6173425,0,2.7862685,0.33595368,1.0764029,0,5.6334147,0.20698702,1.0925064,0.5664209,3.7576032,0,2.2274473,0.58570284,3.286442,0,4.363676,0,0,2.8937118,2.7280273
10,3.2045002,0,0,0.4484249,5.117365,0,0,0.1349269,0,0,0,5.2877593,0,6.9417434,0,0,0,0,0,0,0,0,0,0.17364864,0,0,0.026541553,0,0,0,0.8347815,0.02029712,0,3.0986369,0,0,0,0,0,0,0,0,0,3.9577363,0,0,0.8990054,0,0,0,2.1981192,0,0.4294182,1.3542372,0,1.6250322,2.3031504,0,0,1.2635173,0,0,1.9584044,2.6288044,0,0,2.043323,0,0,0
11,0,0,0,0,0.9832986,7.2293916,0,0,0,0,0,0,0,2.2512896,0.13900484,0,1.246816,2.6260877,0,0,3.112754,0,0,0,0,0,0,0,2.0333893,1.129858,1.2169936,0,0,0,5.678737,0,0,0,0,0,0,0.78135645,0,0,0,0,0,0,0,0,0,5.9522076,1.7754233,2.1973007,0,2.8919325,0,0.031969354,0,0,0,0,0,1.0207237,1.5659754,0,0.38138574,0,1.0790807,0
12,0,2.5227487,0,0.58153933,1.1311408,0,0,0.19465177,0,0.22773166,1.9179835,0,0,9.715776,0.3197405,0.26004747,0,2.241247,0,1.4530296,0,0,0.8127988,1.2139984,7.3634067,3.936972,0,0,0,0,0,0,0,1.4659989,1.9058597,1.5523722,2.1425529,1.196816,5.00048,3.257533,0,1.8749355,0,3.4286022,3.5171597,2.9993541,0,9.458796,5.0016985,0,0,0,1.1876218,0,6.1437573,0,1.4116534,1.3165045,0,0,0,0,0,2.703656,0.6146083,2.0800319,0,3.7170906,1.2329942,0
13,1.3798852,0,5.552978,0,0.6029198,0,0,1.4135809,0,0,0,0.8552883,0,0,0,2.2359562,0,0,0.7980724,0,0.1767916,0,2.6300197,0,0,0,0,0,0,0,0,0,8.267893,10.077368,0,0,0,0,0,0,0,0,0,0,0,2.954623,0,0,0,0,1.5387626,0,2.7281528,0,0,1.2330569,0,0.9037003,8.182082,0,3.150372,0.19927347,0,1.6233016,0,0,0,0,3.7246897,4.3114634
14,0,0,0.0744892,1.7698224,0,0,0,0,0,2.5675292,0.21941972,3.253082,11.148143,0,0,2.5177236,0.4707466,2.3276165,2.2405305,2.2277505,0,0,1.1331171,1.2441502,0,3.0037236,8.119402,0,0,0,0,5.3489027,3.7591963,0,0.4913534,0.20263356,0.52839047,4.6823263,2.0262482,0,0,2.0901077,0.43042085,3.4816833,2.047911,1.4185125,1.9107527,0,0,0,0.2834057,0,2.8097036,0,0.45309466,0,0,0.015175995,2.9912505,0,1.2005354,0,0,0,0,0,2.3601804,0,0,0
15,0.1990175,0,0,0,0,0,0.000428001,1.6350039,0.67997557,1.2744728,0.33887285,0,0.29483014,0,0,1.1202769,0,0,2.976806,0,0,3.1879172,0,0,2.5910654,1.1484723,4.0150175,0,0,0,0.9382631,0,0.4136861,0,0,0,0,0,0.9964419,1.6858544,3.2044697,0,1.3614233,0,0,1.0177873,0,0,3.7356043,0,1.7498533,0,3.0146365,0,1.1491545,0,0,1.6854389,0,2.2268207,0,2.6863658,1.1341751,0,0.52447665,0,0,0,0,0
16,0,0.54487324,0,0,0,0,0.29701602,0,0,0,0,1.8518876,0,0,0,0,0,0,0,0,0.74993014,0.9465549,0,0.42738178,0,0,1.0291547,6.808018,3.812017,0,0.8612451,0,0,1.8976357,0,0.787285,0,0,0,0,2.0706131,0.26390857,0,0,0,0,0,0,0,0,0,4.1714554,0,0.3017027,0,0,3.7410004,0,0,0,0,0,0,0,5.30404,0,0,0,1.6545289,0
17,0,9.489883,3.9587493,0,4.3273993,2.1945908,0.7399624,0,0,0,0,0.65050757,1.9727951,2.3571134,0,0,0,0,0.26494622,0,0.16169678,0,0,0,3.0074282,0,0,0,0,0,0,1.9320953,0,0,0.38107064,0,0,2.1223013,0,0.4641514,0.7677301,0,0,0.6126579,0.34886625,0,0,0,0,2.6368198,1.2032183,0,1.4131442,0,0,2.9798763,1.6068702,0.86937577,0,0.602676,3.7236636,0,0.52433085,0,0,0,0,0.06083849,0,0
18,0,0,0,0,0,2.0562887,1.294051,0,2.5199404,0,2.3301222,0,0,0.19544087,0,0,0.096184134,0,3.969397,5.438355,0,0,1.7022836,0,0,0,4.600107,0,0,6.930434,0.55163544,0.16208452,2.1564302,3.5563548,3.1623673,0,0,0,0,0,0,0,0,4.9358354,0,0,0,0,0,0,0,0.077840656,1.6545867,0,0.40827987,1.7697757,2.6238353,0.5028603,0,1.0926213,2.9953177,4.0568285,3.7576036,0,0,0,0,0,0,0.3179367
19,3.5262334,0,0,0,0.15831201,0,1.0376453,1.9242128,0,0,0,0,3.3766086,10.473933,0,1.694397,0,0,0,0,0.37642363,3.1972919,0,0,0.17535457,0,0,2.5149782,0,0,0,3.007859,0,0,0,0.26587194,0.12751922,0,0,0,5.8286157,0,0.34224766,0,0,0,0.27765888,0,0,0,0,0,0,0,0,13.3613825,0,0.40833965,0,3.90626,0,0,2.540292,0,0.35060495,0.39759457,0,0.21124493,0,0
20,0,0,6.205937,1.6778369,0,1.2007648,0,0,0.2884524,0.6756713,0.6225011,0,0,0,0,0.5454282,0,6.521402,0,0,0,1.897279,1.0923238,0,2.6256015,0,1.3444111,9.079021,0,0,0,0,1.4338893,0.36944818,0,0,0,0,0,1.659759,2.0432572,0,1.1969564,3.724785,0,0.7561611,0,0,0,5.5504107,0,0.7068496,2.3726985,1.2967788,0.37571642,0,0,0.9788024,0,1.4899857,0,1.264158,0.00258364,0,0,0,2.499786,0,2.4701416,0
21,2.7472126,0,0,0,0,0,0,1.343045,0.47272426,0,0,0,1.211558,4.3934693,0,0.75177485,0,0.5338793,0,5.2382884,2.9325757,0,0,1.157473,0,0,0,0,0,3.44442,0,0,0,2.5207894,0,0,0,0,0,0,3.3245263,0,0.49645957,0,1.2762443,4.846447,0,0,0,0,0,0,0,0,0,1.0562674,1.0178161,0.17130837,0,4.5440865,0.7546334,0,1.9063606,0,0,0,1.4781315,0.61893255,0,0
22,0,0,0,0,0,0,0,0,0,0,0,2.6444728,0,7.6856556,1.7384363,0.8063325,0,0,0.20441128,0,0.49899015,1.5225093,1.0271424,0,1.3749752,9.362521,0.58611554,0,0.6527901,0,0,0,0,0.99225587,0,0,0,0,0,1.7173777,0,0,0,0,0,0,0,15.667694,0,0,0,0,0,1.5595806,3.0851336,3.1873884,0,0,3.4635558,0,0,0,0,0,0.011097063,0,0.84495664,0,0,0
