x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054,y0055,y0056,y0057,y0058,y0059,y0060,y0061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.5469301,5.22559,0,0,0,4.481393,1.9019452,0,0,0,0.4656143,2.587926,0,0,3.3185635,0,0,0,0.5080714,0,0,0,0,0,0,0,1.3636612,0,0,0,0.18431179,0,0,1.5434934,0,0,0,0,0,0,2.8914282,0.6209696,0,3.1805468,0,0,0,0,0,0,7.89094,3.1841168,0,3.6432624,4.0894437,0.6044871,2.62996,0,0,0,0,0
2,1.5819132,3.2113817,0,0,0,16.489168,0,0,3.7880423,0,0,1.1626333,0,0,0,0,0,0,1.6712795,0,0,2.3432193,0,0.79619795,0.19463909,0.93769246,1.1903161,2.573941,0.25225058,5.2052517,0,3.073519,0,7.5518565,0,0.8193162,0,0,0,0,8.778855,3.0569167,1.2239723,1.1286618,0,0,0.14881381,0.45212466,3.1564722,0,2.009486,1.0816876,0,0,0,0,0,0.42733648,0,0,0,0.43010938
3,0,1.2129412,0.6878877,0,0,0,0,0,1.5997921,1.8368293,1.3600435,0.29180187,0,0,0,4.963747,3.5178435,6.110969,0,0,3.4561408,0,0.9127461,0,0.76436025,0,1.2014455,0,0.3642366,0,0.35858637,0,0,0,0,0,2.4037483,3.1381457,0.48337165,0,1.5209426,0,0,9.370548,0,3.2897277,3.4841897,4.951057,0,0,4.8736095,1.2430024,0,0,4.0020447,0.45177227,5.379648,4.031941,1.9575838,2.0671134,0,0.2369148
4,0.6681431,0,0,0.31071654,1.3573729,0,0,2.9043918,0,0,0,0,0,0.15979373,0,2.421374,0,9.297157,0,0,9.698387,0,5.622485,0,0,0,0,0,2.7855227,0,0.4520417,0.67448115,0,0,1.9882712,0.48438618,0,1.9370062,5.857571,2.0636883,2.0554254,3.902882,0,0.06594354,2.4389722,0,0,1.8751414,3.1273987,5.082541,1.440818,0,0.28332978,0.5642599,2.6024024,0,0,0.1182316,0,0,0,6.2190747
5,2.1929605,1.4665151,0,0,0,0,1.7602024,0,0,0,0,0,0,0,3.1210043,0.7936345,0,0.8866274,0,0.28943005,4.7462244,0,1.7149228,0,0,0.4931184,0,0,0,0,0,3.993981,0,0,0,0,1.4444748,0,0,0,8.554989,2.2599297,0.03590699,5.695719,0,0,3.1976435,0,0,0,0,0,2.851616,0,0,3.4442747,2.3886898,2.0412855,0.6569978,2.4598553,0,2.7155123
6,0,0,0,0,0,0,4.6618366,0.44648647,2.062291,0,0.15389189,2.0719523,2.3399947,0,1.0132719,0,0.70153934,0,0,0,0,0.32731622,1.20032,0,1.2835623,0,0,0,0.12203875,0,0,0.45479038,1.2850342,0,0,0.06426169,2.6041229,0,0,0,0,0.32718825,2.6998699,0,0,0,0,0,0,0,0,0,0,0.23474772,6.19487,0,0.1240874,0,0.7039568,2.196821,0,0
7,0,4.393726,1.3380276,11.011846,0.43085113,0,0,0,0,0,0,0,0,0,0.5906103,2.2300253,0,0,0.22226542,6.9406714,5.4599066,0,1.4680905,0,0,2.3749015,0,0,0,0,0.8346104,1.049036,0,6.541775,0.29775777,0,0,0,0,0,0,0,0,0,3.7006104,0.8523191,0,0,0,1.2520982,3.0244725,0,0,0,0,1.7713395,3.3631988,0,0,0,3.8206685,0
8,0,2.3727672,1.3522856,0,0.41893384,3.0251112,0,2.602584,0,0,0.11684346,0,2.7691913,2.2794564,0,0,0,0,0,0,0,0,0,6.848303,3.9430487,1.5487689,0,1.7222621,0,5.7828555,0.29323962,0,3.8032267,0.36608925,2.6800368,2.469359,0,0,2.5970159,2.585214,0,0,0,0,0,0,0,0,0,0,0,0.2462796,0,0,3.8832335,0.04965161,0,0,0,0.6567836,0,0
9,1.9214392,0,0.493649,0.11757148,0,7.8121934,0,0,5.2098646,0.18114148,2.3993495,0.054786798,0,0.2904021,0,0,2.6019819,1.8441479,1.780082,0,5.7707963,1.0077329,0,0,0,0,0,0,0.24953826,0,0.94764304,5.4275994,0,0,0,0,0.44208264,1.108009,0,0,2.2692733,2.1445467,7.008726,0,0,0.3343316,0,3.570224,5.167034,1.3378853,2.7304235,0.13964157,0,1.0306545,0,1.4264463,2.143158,3.9116716,0,0.12990862,0,0.6048509
