x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3.7543964,0,1.9365937,0,4.3230925,6.862193,0,0,0,0,0.74961835,2.776376,1.1808263,0,3.7876034,0.59564114,2.5281103,2.3619645,3.5424516,8.552795,11.424756,0,0.5155637,0,2.7054021,2.1053786,1.5570722,1.5982013,0,0.6896832,0,0,1.8056204,1.5770046,0,0,0,1.9915478,7.92777,3.0183098,1.3745646,0,0,0,0,1.5741719,14.479945,2.0014052,1.1292922,0,1.2375232,0,0
2,2.5321276,0,0,4.0764327,0.92692655,5.086413,0,0,0,0,0,0,2.021628,0.60204476,0,0.59703386,0.5502706,0.47115356,0,0.2549618,0,0,0,2.6269653,3.614537,0,0,4.1200686,0.8534341,0,0,0,0,28.329073,8.93917,1.4149344,9.4602165,0,0,6.4386706,0.25319508,0,3.2763658,0.87883234,0,0,1.2646079,0,0.68266106,0.7432336,0,0,0.9986018,0
3,0,1.0748335,3.6703281,1.2283617,0,0,0,0,0,1.0773634,0,2.2151144,0,0,15.568146,0,0,0.9946405,0,0,11.879144,7.38105,1.8939657,0.4174052,2.9428701,0,0.08648303,0.56336105,0,2.3942852,1.9645203,0,3.2364786,0,0,0,0,3.3217518,0,0,1.8813366,2.1295896,0,0,1.0941352,0,0,0,0,0,0,3.8058534,0,0
4,2.401375,0,0,2.876148,0,0,1.2048649,0,0,0,0,0.81797063,3.7196054,1.4703435,0,1.3698679,0.6433194,0,4.349979,2.3281665,5.9359393,0,0,2.5464504,0,0,0,0,1.0267811,0,0,0,0,3.343737,0,1.7957066,21.809021,5.205928,2.7897224,0,0,0,0.8448137,0,0,0.9890584,1.3544049,4.7482133,0,1.4825305,0,0,0,0
5,5.9361234,2.5089664,3.4192379,0,3.4093266,0.7167991,0.21730793,0,1.4525837,0,0,4.681506,0,0.38668567,0,0,0.31145787,1.4003557,1.6683418,1.6703606,0,0,3.4499927,1.943214,0,0,0,1.5293314,5.0000625,4.266563,0,0,1.7949255,22.257812,0,0,0,0,0,6.929063,0,1.550317,0,0,0,0,2.4206665,0,0,1.5638458,2.573036,2.5825841,0,0
6,5.453381,1.7749844,0.041727472,0,0,0,0,0,0,0,3.0002224,4.062035,0,0.8249657,7.0454125,0,1.6398882,0,0,0.27706996,6.4249353,7.9069676,0,2.81009,0.61799943,0,0,3.1861837,1.3602468,0,2.3101232,7.8374457,0,7.0506487,0,0,8.630968,0,3.538158,0,0,0,0,0.4024414,0,0.58064723,0,0.97019225,0.08024553,0,0,0,9.828561,0
7,0,0,0.89697397,0.60889643,0,2.8836691,0,0,0,0,0,3.4182324,0,4.4032736,0,1.0954354,0,0,0.88586444,2.8774035,0,0,0,0,2.728212,0.8073162,0.403176,0,0.8361201,0,0,0,2.8515005,10.2728615,2.566469,0.21018605,0,0,0,2.8347716,0,1.165541,0,2.4038105,2.605965,0,0,0,0,0,0,2.4060078,0.67348564,0
8,0,1.9600844,2.3842235,0,0,5.1412134,0.16243184,2.313161,1.3396838,0,5.1225257,8.145118,2.477224,0,4.850057,0,2.7429333,0.6845713,0,1.3244846,6.78618,5.8040934,0.13056728,0,0,2.0772846,0.08863489,0.16847225,0.16232531,0,0,3.6804235,0,0,3.9113936,1.0972238,0,7.0115294,0,2.367426,0,1.2781374,0,0,0,5.5050015,0,0,5.476442,3.4956212,0,3.7596774,0,0
9,0.19109628,2.4624143,0,0,0,0,5.818452,0,0.768149,0,0,0,0,0,16.767317,0,0,0,0,1.4573618,0,8.9645,2.5362985,0,0.60752815,0,1.542381,0,0,6.579841,4.251532,0,0,11.23016,19.793045,0,0,0,4.580984,4.5305724,2.3484168,0,0,0,1.6987631,0,2.186849,6.6480675,0,0,0.5016264,0,0,1.9139783
10,9.929151,0.7004124,0.33245406,1.1857936,0,0,0.114936955,0,0,0,0,0,2.9198785,2.2831526,0,0,1.3208491,0,0.2033316,1.8952917,0,1.3401206,0,3.8011978,0.59509826,0,0,0.9480722,1.906254,0,0.026301652,0.40096107,1.0141488,0.21496785,5.4297523,0,0,3.513822,0,0,0,0,0.035818636,1.9567658,3.0933783,1.2965034,0,0,0,0.54769766,3.0122375,0,0,0
11,1.337946,0,0,0,0,0,0,0,0,0,1.592829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9532741,3.0349782,0,0,9.366589,0,23.368746,0,0,17.294373,0,21.474977,0,0,0,8.199676,3.5487003,1.8776823,12.172052,0,0,9.96061,8.0760975,0,6.365488,0,9.158898
12,0,0,0,7.2667828,7.1447377,0,1.3140275,0,0,0,0,0,0,0,0,2.5201101,0,0,4.110729,0,0,0,0,0,0,0,0,3.217055,0,0,0,0,0,4.506372,2.9608338,6.670998,7.823412,0,0,0,0,0,6.0542126,0.107969865,8.696001,8.777701,0,0,7.8540096,2.9280517,0,1.858271,0,5.630135
13,0,0,0,0,12.940109,0,0,0,0,0,0,0,0,0,0,2.2950625,0,0,0,0,0,0,0,0,0,0,0,9.189628,0,0,0,0,0,23.053375,0,0,0,0,0,0,0,0,0.68696356,2.139161,1.8030779,2.6017647,0,0,2.8502889,0,0,0.6841591,0,3.7140155
14,0,0,0,0,0.6754023,1.8654541,4.8149395,0,0,0,0,0,0,0,0,2.035522,0,0,0,0,0,0,2.0188217,1.5303285,2.4783072,0,0,2.4877715,3.4699225,0,0,8.651017,0,0,0,0.71676934,21.01183,2.327918,10.028125,0,0,0,4.535341,4.5485654,0.96323144,2.2399268,0.34326726,0,2.2053065,2.6930916,0,2.3424518,0,0
15,0,5.289963,0,6.9925313,2.558252,0,0,4.0488377,1.5743492,6.0514297,0,0.12348895,0.62595415,0,20.788017,0.29066488,0,0,0,0,2.0208704,0,0.066100664,0,4.8276944,0,0,0,1.4965693,0,0,7.8754926,0,4.7394075,14.275989,0,0,1.9763491,3.11805,0,0,0,0,0,0,0,1.8747537,22.78097,0,0,5.3235064,0,8.332895,0
16,0,0,6.043871,0,0,0,0,7.1016736,0.993666,1.1099601,0.8016623,9.435351,5.422636,0,0,0,2.75553,1.9890541,6.8828526,4.813158,1.5687218,17.902857,0,0,0,4.405721,5.376455,0,0.2434017,15.656283,5.558881,0,0,0,20.391705,0,0,0.5761102,0,22.540543,9.929276,1.3274598,0,0,0,0,5.2335505,1.1229832,0,0,2.2871616,0,5.3964715,0
17,0,0,3.5168567,0,0,0,0,5.732722,1.6023197,1.5549772,0,1.5157727,0,3.693191,0,0,2.9729347,0.021569686,0,2.7784853,4.683482,0,2.416112,3.3083096,0,4.3513827,3.7970135,0,0,0.52517575,2.4161634,0.36848858,1.2075046,0,4.7917266,0,0,0.15786919,0,4.6988945,2.4054508,8.379734,0,0,0,0,9.087604,9.77617,0,0,0,0,15.441009,0
18,0,1.6266732,3.4446375,0,0,0,5.417142,8.629943,2.7607918,6.72484,5.9901686,9.682655,0.37820613,0.622783,0,0,3.722607,4.568766,0,0,4.7564178,0,0,0,0,0.7600641,0.45292145,0,0,4.5409827,4.703993,5.069477,0,5.423257,0,0,0,0.97825295,0,3.9628627,2.1341102,1.0378406,0,0,0,0,0,3.5376575,0,0,4.1146035,0,0,0
19,0.45874822,4.2361755,0,0,0,4.1456933,0,6.520168,0,0.570634,0,0,0,0.32776627,6.9355493,0,3.078757,0,8.784449,7.171284,1.8510302,13.05713,0.56604,3.0107079,0,5.416683,2.060743,0,0,0,0,0,0,1.1583012,0,0,0,0,0,11.473274,0.49222645,1.6963584,0,0,0,0,0,9.026877,0,0.67673355,1.7305368,0,0,0
20,0.072325066,2.3038206,3.2764838,0.20888327,0,0.112832524,0,6.1684103,3.6383533,6.2124443,0,0,0.15361069,3.650478,5.511128,0,0.87282616,0,2.6728048,0,8.906977,0.42202747,1.8275311,1.2924483,4.1488442,6.554541,0.60299605,0,0,0,2.9149184,10.965633,4.103924,9.434841,0,0,0,0,0,7.3846674,3.1245685,0.2975283,0,0,0,0,7.508431,0,0,0,0.38791424,2.5111856,3.1271648,0
21,0,0,1.4626817,0,0,0,0,0,1.5198203,3.1981006,7.0392456,0,6.007536,0.1655516,0,0,2.9123046,2.9786987,0,2.4967868,0,12.7985115,0.8764899,1.7693517,0,1.71646,5.3391876,0,0,11.852268,0,1.7994039,0.529361,0,0,0,0,0,0,9.948627,5.3684754,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1.3289236,0,0,0,0.06115579,0.8741764,0,1.8070501,0,0.63393396,0,0,0.41608933,0,0,0,0.9010967,0.8342945,0,0,0.2833653,0,0,0,0,0,0,0,0,0,0,0,3.3835766,0,0,0,0,0,0,0,0,0,4.560097,5.5202293,0,5.3255415,0,0,0,3.9799213,0,4.650923,0,0
23,0,0,0,3.6351025,5.890762,0,0,0,0,0,0,0,0,0,0,1.584443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.287735,3.785801,0,14.552028,0,0,0,15.856894,0,6.0396204,11.804924,0,0,13.835182,1.8478642,0,0,0,5.40646
24,0,0,0,3.9488592,7.4778724,0,0,0,0,0,0,0,0,0,0,2.5443523,0,0,0,0,0,0,0,0,0,0,0,6.8073545,0,0,0,0,0,0,0,4.4096417,22.399103,1.3260462,3.1737027,0,0,0,9.94602,0,8.9058695,7.714648,0,0,5.2284713,3.7767456,0,0,0,10.052369
25,0,3.5264,0,0,3.493746,0,0,0,0,0.34426615,0,0,0,0,0,0.44661114,0,0,0.98575795,0,0,0,0,0,0,0,0,1.1715056,3.6519525,0,0,0,0,8.246332,0,0,13.785799,0.11108827,12.531404,0,0,0,0,7.6630864,0,0.6807318,0,0,0,4.3398466,0,3.6060448,0,0
26,0,0,0,4.246918,2.1419399,0,0,0,3.2301784,0,0,0,0.47292426,0,32.25589,5.6953964,0,1.0987496,0,0,0,0,1.4334098,0,0,0,0,1.74544,0,0,0,0,0,0,0,1.3698808,3.4248295,0.9232746,2.9528673,0,0,0,2.2130241,0,0,0,0,7.887558,2.093436,0,0,0,0,0
27,0.65042734,0,0,0,0,0,0,8.265738,7.271778,5.983132,0,6.2269335,0,0,0,5.2261,0,0,0,0,0,0,7.2873993,0.053368133,0,0.57195556,0,0,4.831114,5.1075397,0,0,6.787703,0,0,0,0,0,0,10.5261,3.665958,6.6812763,0,0,0,0,0.015826067,4.6611214,0,0,2.866177,0,8.21257,0
28,0,0,0,0.9126323,7.9073253,0,5.9139924,0,0,0,0.06843836,5.6368237,1.8132356,1.883932,0,0,0,2.1764228,1.0532349,1.4407707,15.098096,5.256329,1.1468605,0,4.096383,0,0,0.23113942,0,0,0,4.2187934,0,10.037891,10.587599,1.435323,0,0.95841116,0,0,0,0,0,0,2.8475711,0,0,0.12331889,0,0.8545834,0.97628385,0,0,0
29,0,2.0564408,3.2339463,0,0,0,0,1.3827618,0,2.6757998,2.88488,3.239383,1.0651962,3.6270049,0,0,0,0,0,0,3.9702942,13.143273,2.8676646,0,6.8614454,3.6884618,3.0742362,0,0.6390809,8.112933,1.3109299,5.567564,3.876057,2.7542727,1.3043854,0,0,0,0,11.061705,1.0697381,2.7547798,0,0.9704107,0.5083767,0,0,8.120197,0,0,6.272628,0,1.036563,0
30,0,1.0686846,0,0,0,8.53299,3.8609169,3.3859053,3.8411632,0,3.3118587,14.754864,0,0,0,0,0.63131285,4.856147,0,1.6376574,0,2.4617383,0,0,0,1.1317227,0,0,0.92667824,0,2.8708405,10.366971,0,0,35.009422,0,0,0,0,8.4086685,6.053945,1.538532,0,0,0,0,4.137032,0,0,0,0,0,13.647862,0
31,2.809262,2.203764,0,0.59737587,0,0,1.0639752,0.8109335,0,0,0.7775108,0,0,0,0,0,0,0,3.6897373,0,0,0,0,0.15359251,0,6.156676,2.0620165,0,0,0,0,0,0.219787,6.678136,0,0,0,0,0,7.6051626,0.106070794,5.126358,0,4.2299924,0,0,0,0,0,0,3.339535,0.13714235,8.958548,0
32,0,0,0.6869741,3.5873935,6.4018283,0,0.4346553,2.3753922,0.18432285,1.4459189,0,0,0,0,0,1.9444842,0,0,0,0,0,0,0,0,3.0584517,0,0.28464833,0,0,4.536306,0.0443686,0,0,13.353553,0,1.8440572,12.906941,2.3284667,1.6673951,0,0,0,0,0.89767015,0,0,3.468778,14.45639,0,0,0.81653666,0,6.651847,0
33,2.533039,0,0,0,0,2.280397,0,2.7382298,0,0,0,0,0.0763785,1.6701345,0,0,0,4.4405503,2.802409,1.6761675,1.1255271,7.570644,3.3550334,1.8352252,0,3.8717537,4.1060386,0,2.4031847,0,1.149634,6.871129,0.01621468,0,10.548399,0,0,0,0,10.369552,2.0593348,0.8873832,0,0,0,0,1.9680471,0,0,0,0,0,0,0
34,0,0.28213152,4.1223583,3.9667137,0,1.6323203,2.6261842,0,0,0,0,9.382569,4.9077377,4.014102,16.018549,1.9848751,1.5895084,2.0375319,0,2.9111953,8.347685,4.276888,0,1.7750901,0,0,0,1.4000928,0,5.818691,0,0,0.03875346,6.3851185,8.959643,1.298113,23.125774,0.781361,0,0,0,0,2.3700056,0.7947968,0,0.81784207,0,0,0.6490063,0,0,3.5511808,0,1.4161441
35,1.8723433,0,0,0,0,4.701424,0,1.7579921,4.330251,0,7.7980084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.030551,0.2456299,0,0,0,2.90446,0,0,0,3.2732337,0,0,2.4759884,0,0.1472484,0,1.1042138,4.958355,4.11202,2.6994002,9.098274,0,0,10.54259,0.57685745,0,0,0,1.5337459
36,0,0,0,0,5.066086,0,0,0,0,0,0,0,0,0,0,0.56093377,0,0,0,0,0,0,0,0,0,0,0,1.843214,0.46029252,0,0,0,4.2615047,0,0,0,0,0,0,0,0,0,10.934927,0,0,0,0,0,0,0,0,2.704431,0,6.3609405
37,0,0,1.0656439,0.4583841,0,0,0,0,0,0,0.6701658,0,0,0,8.66577,0,0.3385491,0,0,0,0,0,2.4380007,0,0,0,0,0.47445253,0,12.114702,0,0,0,28.925842,6.7034526,0,8.61178,0.64619195,3.3379242,7.850014,0,3.332854,0,0,0,0,0,0,0,0.85660875,3.195199,0,4.8247595,0
38,0.9604216,0.2708673,1.7049721,0,0,2.833914,2.4131634,1.4934666,0,0,0.59713215,20.862175,0.015538284,0.42117766,17.03523,3.55417,2.1614347,0.48450595,0,0,0,5.2617908,0,3.0654736,0,0,0,0,0,9.343072,0,0,0.7654055,13.322243,0,0,0,0,0,1.4405688,0,7.9078054,0,0,0,0,0,3.3262517,0,0,0,0,0,0
39,1.3675854,1.8160381,0,0,0,0,0,0.5490615,5.0395885,0,1.6719643,0,1.3331752,1.008617,11.076554,0,0,0,2.2464814,0,1.3953499,4.8784366,0,0,4.0335245,0.41332448,2.0999455,0.18358815,0.46162537,2.4751842,2.935162,0,0,3.1540856,0,0.5499356,0,0,2.3514028,7.575848,0.97126967,4.7425504,0,0,2.304279,0,2.4901872,6.934011,0,0,0,2.8869188,0,0.16902387
40,0,0,0,0,0,0,0,0,0,0,4.5920396,6.221096,0.3866989,4.091725,0,0,0,0,0,3.589105,4.500064,9.65498,0,0,1.1967156,1.2006567,1.6806043,0,0.31186756,0.382332,3.9997394,0,0,11.789474,0,0.37964162,0,0.04222929,0.9789566,4.1964293,6.9811807,9.522024,0,0,0,0,0,22.338219,0,2.6438553,0,0,15.0821,0
41,0,0,5.3787127,0,0.05522716,0.9938439,1.9443797,0.9752421,0,0,3.5660257,2.267229,0,0,0,0,0.36265117,0.11950313,0,0.8224783,0,0,0,0,0,3.8331103,0,0,0,0,0,0,0.8650788,11.041553,0,0,3.7299685,3.4011676,0,11.808989,4.565133,4.0948973,0,0.22258045,0,1.2727138,0,3.5990639,0,1.8452783,2.7725816,0.5397959,0,0
42,1.916115,11.222714,0,0,0,4.069603,0.4427153,0,2.874846,0,3.2102919,7.0158963,1.8238276,0.60815,7.7068563,1.6495019,0.5114243,0,0,4.831291,9.299631,16.2751,0,0,0,0,1.7467152,0,0,10.475989,0.36670524,5.4201126,4.1125307,0,0,0.60142887,0,0,0,0.253544,0.61110556,6.794208,0,1.3991364,0.8896703,0,0.900746,5.1374693,0.647875,1.2855062,0,0,6.8865967,0
43,0,0,1.6941723,0,0,1.8870894,0,3.1090868,4.628695,0,2.6884818,2.6416378,1.8375124,6.3135076,6.254787,0,0.46962488,0,0,0,0.99871194,6.589113,1.2234368,1.8602558,0,0.6485655,3.2170386,1.0966989,0.7427482,1.1639917,1.1432986,10.274429,0.25892392,2.3120084,12.197926,0,3.0426106,0.9610598,5.314913,0.37521908,1.6229514,0.16564648,0,0.5422278,0.50701827,0,1.0106049,0,1.7296876,0,0,2.8065815,0,0.14406523
44,0,0.94532233,4.6452045,0,0,0.09652275,0,0,0,0.30242735,5.9469857,0,0.68074864,0,8.796816,0,0,0,0,2.3318923,2.0557055,13.997367,0,1.6918662,0,1.8961096,2.1141071,1.5884304,0,3.6154227,0,0,0.71356505,0,5.5415735,2.916402,9.44024,1.691129,0,8.000547,0,1.6500374,0,0,2.6154616,0,2.3247135,17.428492,2.0323246,0,0,0,0,0
45,0,0,0.15646763,0,0.58989835,0,0,0.29955727,0.047420517,4.103251,2.9438014,5.7559743,0,2.0305994,0,0,2.8623657,0.8010499,9.649901,2.4437282,0,0,3.2853425,0,0,0,2.6381524,0.1880252,1.9562055,0,7.1969275,0,4.7091665,0,0,0.12642825,0,0,0,10.908778,3.5316527,0.96286345,0,2.544684,0,3.3073003,0,0,0,2.6576962,2.911199,0,0,0
46,0.20400159,0.93901104,3.520478,0,2.6965451,0,4.120078,4.841715,0.35300675,0,0,0,1.3661411,0.55237377,4.029592,0,0.06532189,0.21494572,0.012430005,0,6.1428294,16.885225,0,0,0.6254251,0.52736574,0.27456468,0.34185964,0,6.54617,0,0,0,5.029094,0,0,0,0,3.985991,0,1.6440521,0.74037325,0,0,0,0,1.4218433,2.0089645,0,0,0,0,0.6804321,1.7194144
47,0.07338378,4.145354,0.7279367,0.63972336,0,0,1.0535241,0,0,0,0.7347632,3.4016886,3.5799508,1.3556037,17.47919,0.17272738,3.0047727,0,0.39570382,1.4629378,3.7793782,2.4218073,0.9433057,0.5385312,0.8660663,0,0,0.15641993,0.45526215,1.5471656,0,1.203916,2.438095,24.78272,6.5745187,2.9990263,0.24609253,0,0,13.625033,0.17229791,0.86855704,0.9837197,0.5497103,1.513529,0,2.4763792,0,0.2161222,0.5572119,0.7301869,6.437185,0,0.35214213
48,0,0,1.4724127,10.218318,0,1.4823353,5.501151,0,0,0.66684145,0,0,0,1.2812327,0,0,0,0.8347408,0.44412982,0,2.2840846,6.9123855,2.207043,3.4557068,0.44553027,3.948018,0,0.1084989,0,14.992553,0.8512237,7.414371,0,0,0,0,0.15234856,1.2300372,0,0,0,3.0171893,0,1.2663387,0,0,0,8.991606,0,3.8035996,1.4524966,3.5700355,8.120914,0.648936
49,0,0,3.3893223,0,0,3.8126101,6.2042937,2.390179,2.0375924,0,0,0,0,1.6332791,0,2.350048,0,0,0,1.2655649,1.8464848,5.826814,0,0,2.2220986,0.21509986,0.89717287,0,1.1511662,0.8958456,0,0,0,18.727755,0,0,0,0,0,10.7407875,2.6471097,5.2024975,0.37624246,0.57633877,0,4.126974,0,15.739686,0,0,0,0.008228549,0,0
50,2.8856318,0,3.32061,0,0,0.49978387,0,0,0.051198192,6.267132,4.967688,0,7.57434,1.533818,3.4958658,0,2.4312634,0,0,6.34858,0,0,0,4.792649,0,0,2.865124,0.49341822,1.965045,10.672166,0,0,1.9249307,0,0,0,3.9954844,0,0,12.154391,3.0958815,0,0,0,0,0,0,17.580683,0,0,3.9013584,0,4.370505,0
51,0,0,2.4513767,0,0,0,0,0,1.5428269,0,0,0,0,0.77078635,0,0,1.6896983,0.6969158,0,0,2.9298344,5.647167,0,0,1.8858447,0,0,0,0,0,0,12.409265,0.584151,0,0,1.0076345,0,0,0,0,0,0,0,0.87567717,0,0,0,9.061722,0,0,0,0,14.797945,0
