x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0037,y0038,y0039,y0040,y0041,y0042,y0043,y0044,y0045,y0046,y0047,y0048,y0049,y0050,y0051,y0052,y0053,y0054
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.0523982,2.1344094,0,0.3222452,2.5777218,0,1.0057337,1.0447352,0,0.5595241,0,0.6299602,11.72346,5.4069676,0,3.6473546,1.8139707,0,0,0,4.217858,0,1.4782774,0,0,0,0,3.0604773,2.2865949,0,0,0,2.4752758,0,9.690015,2.4431596,1.934803,0,0,0.2175073,0,0.2408639,2.5401137,2.079145,18.159338,0,0,0,0,0.115176134,1.8072441,11.122549,1.8225433,0,0
2,0,0.82620037,0,0,0,0,0,0,0,7.0632286,0,0,1.6006168,4.5137644,0.70713055,0,0.2850607,0,1.0088269,0,0,5.938505,0,5.888707,2.0836394,0.105966724,22.985874,0,3.7450144,0,0,0.14387901,0,0,0,0,0.60130525,0,0.3420336,3.4252663,1.5235388,0,0,0,0,3.3698695,4.298367,19.112398,3.5089548,0,2.111429,0,0,0,1.2152033
3,0.61261857,4.521495,6.0903015,0,0,0,0,0,5.7405543,0,2.1421702,0.16348004,0,0,0,0,0,0,0,0,0.09976693,0,1.4694942,0,0,0,1.9288307,1.3991436,0.78186303,1.0585974,19.35577,0.45507798,2.894035,0,0,0,1.8584546,0,2.8441746,1.9521047,0,2.9027321,0.7312173,0,0,0.22642395,0,0,0,0,0,0,0,0,4.033258
4,2.462435,0,0,0,0,0,0,0,0,4.616931,1.7982204,0,0,0,0.51816684,0,0,0,0,0,0,3.2315385,0,0,0,0.39146876,4.492227,0.5402328,0,4.4171195,0,2.7928731,1.1436522,0.5345784,11.999391,0.26868534,0.73909557,1.2896084,1.3230942,0.457435,3.9448888,0,0,1.7899011,6.993345,0,0,3.8134005,0,1.5234597,0,12.869035,0,0,0
5,2.2852046,9.615042,0,0,0.84086657,0,0.39605168,1.0737801,0,0.51245874,3.5125318,0,8.268682,0,0.49800447,0,0,0,3.7416925,1.1598608,0.99985373,2.1302378,0,14.868328,0,0,0,0,2.9644606,1.4755791,6.89133,0,1.2802365,0.55716395,0,4.4743657,0.5970177,4.345156,0.8804992,0,0,0,0,0,1.5836773,2.503122,0,0,0,0,1.9167186,15.60799,0,1.9081562,0
6,3.7910368,2.0924833,0,0,13.480641,1.676323,0,0,0,0,0,0,1.6132623,19.61558,0,8.023573,0.7140405,11.559228,0,5.5616727,8.669538,0,0,0,0.3646367,0,5.4831743,0,0.42248726,5.1807446,3.8358576,5.3530126,11.294852,1.4144167,41.446083,0,0,6.549773,2.6187298,11.348366,12.092933,0,0,0,4.467237,1.2900084,26.183798,0,3.8751493,8.528289,0,17.217314,0.7248793,1.5918506,0
7,0,0,2.2961807,0,0,6.2280574,0,0.45652872,0,9.433934,0,0.9939635,0,8.760311,1.121146,0,1.99877,0,0,3.9737394,5.053934,2.9363317,0,11.175352,0,1.5497272,4.6794944,0,0.27882436,1.2032288,15.095843,2.7936099,0,2.049242,8.985446,7.0700073,3.2826757,0,0,0,0,0,0,0,0,0,0,0,0.20194072,0,0.31594127,1.7884684,0,0,0
8,0,0,0,0,0,0,0,3.3227017,2.2792504,0,0,0,0,4.445734,0,15.811181,0,2.1447701,0,11.192921,0,3.2224488,0,0,2.1523855,0,0,0,3.57851,6.2119565,6.264678,0.41114694,4.0850544,0,15.580701,0,0,0,0,3.9831173,9.967615,0,3.0098586,0,2.9074218,0,2.93212,0,0,1.7881817,0,2.5291111,0,0.63127744,0
9,0,0,0.35036153,1.2824486,0.6275976,4.2541833,3.8099568,0,3.528621,2.1859403,2.47512,3.3281925,1.8516101,0,0.32130688,1.7815065,0,0,0.37118158,0,1.8788294,2.0519269,0.29754382,0,1.519643,0.62067294,0,4.9688334,0,0.50502515,2.6141908,3.0058265,2.1130612,0,0,1.0154243,0,0,2.6264572,0.6053923,0,0,0,0.26477772,1.1066402,0,1.9324567,10.06695,0,2.3599777,0,5.6061378,2.363976,0,0
10,0,0,0,0,0,0,0,0.28082597,0,0,0,1.1209013,0,12.626244,0,0,0,2.5562785,0.1697567,6.1869903,0,0,0,20.017769,0,4.2008457,13.166367,3.0566473,0,0,0,0.6160405,2.229843,3.111321,1.0534188,0,2.79016,0,0.74248874,0,2.0250587,0,1.2318063,0,0,2.5342295,0,0,0,4.55486,1.115213,0,0,0,1.2340242
11,0,0,0,0,0,0,0,0,0.5669574,1.8971249,0,2.2466972,3.1309822,20.344019,1.6006147,7.2399793,0,0,0,13.450296,5.583989,3.2663915,0,0,0,0.26798186,0,2.9320974,0,1.4749787,5.5156527,0,0,0,34.00485,0,1.6757036,0,0,0.21868011,0.6557641,0.8031185,3.3458533,0,0,2.5622327,0,0,0,1.5334945,0,0,0,0,0
12,6.4404316,0,0.8009678,0,0,0,0,0,5.8993855,0,0,8.400143,1.3742152,12.351361,0.16803886,1.846864,1.1300094,3.0151174,0,0,1.6856728,2.6968057,0.031111134,0,5.284208,4.7787495,0,0.73370856,0,0,3.9472253,2.9124672,2.0533485,0,0,0,0,0,0.769149,0.32504418,4.3632584,2.4977343,0,0,0,0,0,10.902998,0,2.5974467,0,13.144216,0.32420143,0.19264765,5.826772
13,0,28.145176,0,7.751165,1.0621496,1.016914,0,2.9811354,0.5967946,0,0.31032506,0,1.6340063,0,0,0,0.6543725,0.72222763,0,8.343521,0,0,4.948439,5.991463,0,0,0,0,0,0,0,0,0,0,0,0,1.6895313,0,0.38435814,0.27158707,0,0,1.4248215,0,0,0,0,0,1.487612,0,0,10.936016,0,0,0
14,0,0,0,0,0,0,4.4510665,0,0,0,0,0,2.5303402,0,0,0,0,0,1.3147384,17.238176,6.564561,1.0316502,0,0,0,0.19544396,0,0,0,0,0,0,0,0,0,0.8575411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0160584,0
15,5.617195,0,3.5297673,1.0028647,0,2.3280296,3.6541796,0,8.143152,1.4535664,0,0.88338625,3.3194206,7.847385,0,5.671685,0,9.505623,1.4801382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.198353,0,0,0,0,0,5.291745,0.44726422,0.39625284,0.18346,0,7.0410104,0,0,0,10.082516,0,1.1974388,0,0
