x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029,y0030,y0031,y0032,y0033,y0034
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0.49180508,0,0,3.4042697,0,0,5.2644014,6.136744,0,7.19106,0,0,0,0,0,0,0,8.675503,1.2942536,0,1.7171408,4.3733983,14.60352,0.35991186,3.4545279,0,0.83889073,0,0,2.1320045,0,0,0
2,1.0776197,0,0,0,1.5980059,1.0623811,0,0,9.034963,0,0,0,8.367535,10.803824,0,2.6694198,1.750913,2.8044043,5.4890895,0,0.9857767,0,0,9.988276,23.47847,0,0.15736435,4.4770637,0,1.9377588,0,2.4863892,0,2.0397418,0
3,0,1.3849299,1.3007858,0,0,0.030433621,13.285685,0,0,0,0,0,0.59490323,0,0.972085,0.9300574,0.5506304,2.1066332,0,0,0,0,9.562269,0,0,0,0,0,2.612244,0,0,0,0,0,6.61003
4,0,0,0,0,0,0.41894385,0,0.67916125,6.7884893,0.22302572,0,0,0,0,0,7.7803755,0,0,0,2.5903711,0,6.5960298,6.2232904,0,0,0,0,0,0,0,5.1777325,0,2.596688,0,24.972446
5,0.92101604,8.124152,0,18.072191,0,1.0474553,0.8020767,6.984057,6.6107426,2.057207,14.448457,0,0,0,0,0,1.531949,0,0,9.261662,0.20182617,0,6.6215687,1.306572,0,0,0,0,0,1.704222,0,0,2.68229,0,4.3940077
6,0,1.284236,0,0,0,0.08215285,10.315627,0,5.1876993,11.042852,8.918134,4.936311,0,0,0,0,0,0,0,4.631512,0,6.1923046,8.187656,0,0,7.5391374,1.1836144,0.33082286,0,0,0,1.4081192,0,0,8.372759
7,0.7299867,0,0,4.0497403,2.9216087,0.6837655,3.3929765,7.2793007,0.39671358,0,17.706577,0,0,0,3.2438471,4.6879587,0,0,0,0,0.79957885,0,6.2216926,0,0,0,0,0,0,0.041285373,0,0,2.2344806,0,0
8,0,0,5.7841325,0.041874982,0,2.0272303,2.237401,0,3.0282667,10.436453,14.303,1.1886611,0,0,0,0,2.7079427,3.0597515,0,0,1.2400428,0,2.9827054,7.9290953,0,14.409737,0.7099113,4.6822352,0,0,2.547287,0,1.1979864,0,4.4025526
9,0,8.213233,0,3.0183554,0,0,0.1472417,0,16.418434,4.7664633,7.172248,0,0,0,0,0,2.6449072,0,0,0,0.76374394,6.8630624,2.2364206,0,0,0,0.16340198,0.087938435,0,0,0.66609794,0,6.881175,0,0
10,0,0.102128156,0,5.997786,0.5486416,0.82477874,0,11.351343,13.001643,0,0,0,0,0,0.15181655,0,0,2.3139274,0,0,0,0.39704296,0,7.7989902,0,0,0.55214536,1.0345902,0,0,0,0,0,0,2.4648352
11,1.2301841,0,0,0,0.9944513,3.2052758,1.8490118,0,0,0,7.0399694,0.85644895,0,0,0,0,0,1.6502901,0,0,0.07743471,7.520637,0,0,0,0,0.7946891,0,0,0,9.470255,0.37730527,3.9327796,0,1.819181
12,0,0,2.6114542,0,1.9673609,0.7115574,0,3.3175406,4.8911295,0,0,0,0,0,0.4582946,5.829882,0.22577691,1.1950791,1.5165585,2.9514623,0,0,0,0,0,0,0,0,2.793486,0,0,0,1.6938218,0,4.0069304
13,0,0,0,0,0,0.49079302,0,0,0,0,0,0,0.497002,0.8851904,0,0,0,0,3.4894412,0,0,0,0,0,17.87718,0,0,0,1.6457921,0,0,0,0.6429637,0,33.37211
14,0,0,0,9.206757,0,0,0,0,0,0,0,0,6.367937,5.2891083,0,0,0,0,3.3283596,0,0.8794178,0,0,0,0,0,0,0,0,3.1777086,0,0.550632,0,11.257553,0
15,0,2.0975485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0854359,1.616243,0,0,0,0,0,0,0,0,0,0,0,3.530685,0,0.9797931,0
16,0,0,0,0,0,0,0,0,0,0,0,0,5.9735303,11.414914,0,0,0.6028307,0,5.1773486,0,0,0,0,2.0152411,8.198736,0,0.122492075,0,0,2.632155,0,0.37674302,0,5.135479,0
17,0,0,0,0,1.556047,0,0,0,0,0,0,0.32748273,3.1755352,0.45455167,0,0,0,0.45343292,5.600435,0,0.3220349,0,0,0,4.1300583,11.727258,0,1.9433846,0,0,0,0.76048577,0,9.409497,0
18,5.4862313,0,5.4346156,0.8729498,0,1.312581,0,5.671597,0,0,0,0,0,0,5.8101482,0,0,0.7053496,0,0,1.3580576,1.8554666,0,16.761501,0,0,0,0,0,0,1.8704027,2.421196,0,0,2.1002264
19,0.19002189,4.763736,0,0,0,0.61680317,4.2897434,0,0,0,1.6311686,0,0.81293595,0,0,5.2824907,0,2.159504,0,4.1137786,0.74695003,0,4.129479,0,4.504011,0,0,5.187634,3.9235733,0,0.5626725,3.3036585,0,0,0.71290684
20,4.901851,0,2.0550532,0,0,1.8254095,0,0,0,12.2219305,0,8.279931,0,0,0.753358,20.037619,0.4333281,0,3.4823656,0,0,0,4.3466716,8.661951,0,14.669807,0.02951103,5.4112263,0,3.8000157,1.0491544,0.019989388,0,0,5.174032
21,3.229088,0,2.0195792,5.1497226,0,0,0,8.433459,0,0,7.8298435,0,0.4211308,0,0,0,0.85332775,0.78899455,0,1.9857812,0,0.9764762,0,0,0,15.539827,0,0.76889586,0,0,8.417032,0.34078178,0,0,0.09094371
22,0.38765296,0,0,0,1.6809531,0.09045421,2.5370564,13.062027,0,4.1539993,13.3833275,0,0,0,0,2.0547395,0,1.6119301,2.89793,0.02505127,0.66496015,0,0,5.4363465,20.523245,0,0,0,0.49274617,0,0,0,3.2523263,0,0.3184106
23,0,0,3.9716895,3.162537,0,0,0.919712,0,12.10709,15.936618,0,4.71978,0,0.4126667,0.9871386,0,0.9041921,3.0278583,0,0.208854,0,1.006593,13.051103,0,4.117011,0,0,0,3.1027713,0.3820883,0,0.4699004,0,0,0
24,3.9086754,0,0,9.527396,3.465631,0,0.7378106,16.915257,0.4430304,4.979744,0,0,0,0,3.6107187,0,0,0,0,1.8391223,0,1.7662481,6.3658047,5.6178737,0,4.528502,0,1.564011,1.1194832,0.45603833,2.4500413,0,0,0.874894,0
25,0,1.0043614,0,11.985916,0.5922958,0,0,1.1944441,0.5408702,0,0,0,0,0,0,0,0,0,0,0,0,8.169059,0.48815447,0,0.7542166,0,3.4475377,0,3.3352163,0.03279618,0,0.8636545,1.0696117,0,9.895322
26,1.0884854,0,0,10.370613,0.21231937,0,10.296368,5.8629627,8.834241,0,5.047918,0,0,0,0,0.74289674,0,0,0,0,0,3.0644493,9.039034,0,8.8454,0,0,4.110699,0,0,0,0,1.6694695,0,0
27,0,4.0896106,0,0.79940695,1.7234395,0,0,0,0,2.8955326,13.498996,8.31817,1.5209209,0,1.1056165,0,0,0,0,0.45343477,0,0,2.7256725,0,7.009686,0,0.9638243,0,5.0141983,1.5030204,0,0,0,0.2743079,0
28,3.6741695,0,0,0,0,1.7230003,0,1.5398628,7.9359484,3.1669002,8.281473,0,1.0794599,0.862673,0,0,0.062125765,0,0.9561643,0,1.9801786,1.4915755,6.332683,2.3137858,0,0,1.0133528,0,1.6082815,0,0,0.55580163,2.3502092,0,2.01435
29,0.19547653,2.7021737,1.3856014,0,0.5264448,0,0,0,0,0,14.364021,1.7035583,3.4715166,0,0,0,0,2.276053,5.4952464,0,0,0,0,0,20.000294,0,0,0,0,4.34317,0,1.405205,0,0,0
