x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0.22982658,0,0,0,0,21.594778,10.647828,0,2.1961515,1.554159,1.4960132,3.5328093,24.204466,0,4.831683,6.9183836,0,0,1.0448259,0,1.4847431,1.4219791
2,0,0,0,0,0,3.244428,0,0.6326309,0,0,0,2.9639657,6.2315936,0,11.347608,0,0,0,0,14.678243,0,1.9521818,0,0,0
3,0,0,0,0,0,0,0,0,0,0,3.792344,0,1.7672125,1.0502692,3.1883452,0,2.7511957,0,3.0725625,11.476582,14.28175,0.017483883,0.8365872,0.18829876,3.8755362
4,3.7663798,0,0,0,0,8.684874,1.6967424,1.0180894,12.65932,6.477933,0,3.2816503,2.0509987,0,0,0.66019005,0,3.3736875,0,0,5.718154,0,0,1.0876597,2.7647817
5,0,0,4.0710373,2.5292192,17.396938,0,1.1487286,2.3440092,16.75107,1.8559227,2.6773562,5.908235,0,1.5416946,0.11754016,0,12.032381,5.6347537,3.2753813,5.2517314,7.4797125,0,4.4174185,0,1.2046903
6,0,8.223531,0,0,0,0,0,0,15.385674,6.7529545,3.456123,0,0,3.1028666,0,9.451743,0,0,0,0,2.7606175,0,0,0,0.77188474
7,3.0988123,0,4.655736,8.907863,5.7556157,10.242773,2.6713967,2.0568883,4.3099837,11.944501,0,1.5811329,6.287663,0.44452426,0,8.691447,3.9355018,0,8.427358,0,2.6576824,2.082665,0,3.8882213,5.7263174
8,0,0,1.15131,0,19.197445,8.2525015,3.5647743,0,5.568141,5.1769853,0,0,14.164165,0.09432384,0,0.5145817,0,1.5901488,3.9736276,0,12.727966,0,1.3087004,0.1663332,3.944103
9,0,0,0,0,6.845302,0,0.6193078,4.3176727,0,0,0.44782385,0,0,0,11.058502,0,0,4.4764237,0,0,8.092587,0,0.79284054,5.464881,3.9406786
