x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028,y0029
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.86949337,0,0,0,0,0,0.5839027,0,0.84606045,0.33556703,0.18960227,0.9624695,0.81060755,0.2899201,4.3291965,0,0.35975158,0,0,0.5115263,0,0,0,0,0,1.3856983,0,0.56410986,0,0
2,0,0,2.1652796,0,0.20748538,0.6519656,0.1779473,1.4644485,0.11818218,0,0,0.43313023,0,0.723818,0,0,3.3120618,0,0,0,0,0.14023273,0,0.92454076,0,0,0.9237499,1.2154335,0,0
3,0.26009881,0,0,0,0,0,0,1.8696771,0,0,0,0,0,1.7401744,1.1338289,0,0,0,1.0252601,0.39698645,0.05321411,0,0,0,2.4095378,0,0,0,1.3149004,0
4,0,0.26125154,0,0,0,2.2104154,0.24394247,0,0,0,0.5418515,0.26603478,0.11892229,0.10232858,0,0,0,0,1.9769397,0,0,0,0.23595174,0,0,0,0,1.6348634,0,1.6187593
5,0.007890712,0.992294,0,0.5996372,0,0.700315,0,0,0,0,0.1697968,0,0,0.8990594,0.08162014,1.8164976,0,0,0,0,0.7206258,0,0,1.2505505,2.1865766,0,0,0.07370039,1.1565377,0
6,0.6976196,0,0.32737672,0,0.17097622,0,1.4936618,0,0,0,0.5998362,0,0,2.7025163,0.89690566,1.3486952,0,0,0,0.14681566,0.19743955,0.81742877,0,1.5260254,0.157689,0.025755111,0.13260932,0.72352314,0.07420528,0
7,0,0,0,0,0.8289352,0,0,0,0,1.4780965,0,0,0.35654926,0.15910944,1.618435,1.6144965,1.6852998,0.6677707,3.3971055,0.68629265,0.55268836,0,0,0,0.5212057,0,0,0,0,0
8,0,0,0,0,1.285021,0,0,1.5904216,0,0,1.4538043,0,0.784461,0,0,0,0,0.14028995,0,0,0,0,0,1.8685083,0,0.14274667,2.598054,0,0,0
9,0,0,0,0,0,0,0.2732735,1.0303217,0,0,0,0,0,0.82707095,0,0.6728641,1.9557636,0.79642224,0,0,0.66241616,0.42995825,0,1.3132946,0,0,0.2777223,1.5506009,0,0
10,0,0,1.6844386,0,0,0,0.2605318,0,0.7064971,0,0,0,0,0,1.3482505,0,0.7950039,2.1150339,0,0,0.21182024,0,0,0,0,0.31388313,0,0,0,0
11,0.3242478,0,0,3.7724698,0,0,0.26700026,0,1.3971566,1.1732047,0.93862444,3.0289426,0,0,0,0,0.43185323,0.11403881,0,0.1077067,0,0,0,0.23763321,0,1.1388408,0,0.93267757,0,0
12,0.000652883,0.8108302,0,0,0.46661165,0.6269164,0.87490904,0.8498073,1.111778,0,0,0.28635937,1.028533,0.15498008,0,7.453658,0,0.20587164,0,0,0,0,0,0,0,0.1170914,0,0.10635511,0,0
13,0,0,0,0,0,0,0,1.4111083,0,0,0,0,0.48243764,0,0,0,0,0,0,0,0,0,0,0,0,0.38234928,0,0,0,0.14966755
14,0,0,0,0,0,0,0.36874956,0,0.7250343,0,0,2.1643677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1.0632186,0,0,0.28097183,0.63984424,0.7058307,0.78631425,0.33904764,0,0,1.7747335,0,0,0,1.1527534,0,0,0,0,1.5701191,0.25549272,0,2.9391873,1.1164641,0,0.9350001,0,0,0.71086746
16,0,0.54819447,1.4285719,0.70566756,0,0,0.08873105,0,0,0.06322239,0.6003128,0,0,0,0,0,0,0,0,0,0,0,1.9134,0,0,0,0.47743693,0,0,0
17,0.9116857,0,2.4504638,0.61139023,0,0.8816544,0,0,0.29896554,3.4991312,0,0,0,0,0,1.6405932,0.5677422,2.4242864,0,0.34382156,0,1.5731024,1.2981135,0,0,1.1125425,0,1.3454419,0.55911744,1.5846871
18,0,0,0,2.3772044,0.29365215,0,0,1.0736084,1.3143692,3.0095303,2.1549683,2.5281172,0,0.8819578,0,0,0.4390231,0,2.9405448,0,0,1.1466678,1.7097499,0,0,0,0,0,0,0
19,0,0,7.141962,0,0.6426227,0.691933,0.7323327,0,0,5.1655955,0.11419431,2.3110874,0.15358879,0,4.8217187,0,4.684204,2.414205,0,3.4177039,0,0,2.0354812,1.6700037,0,0,0.9133092,0,1.5577556,0.4401139
20,0.9069451,0.51771927,6.2343845,2.0877023,0.7950286,1.399902,0.18099152,0,2.2338293,3.2349484,1.7998555,0,0.10111827,0.017633023,0,0,0,2.2754436,0,0,0,0,1.8560656,1.3054675,4.0956235,0,0,0,1.5832014,2.0146303
21,2.1736732,1.4601877,8.434665,0,0,0,0.09838055,0,0.54391295,6.6595397,0,0,0.38407964,0,0.32042566,0,3.0064104,1.1200666,2.160498,2.3970113,0.09473743,0,5.1621976,3.0234187,0,0,0.76556194,0,4.660369,0.31575334
22,0.08421799,0,6.6158996,8.048004,0,0.16013913,0,0,0,0,0,0.19589758,0,0.92003167,11.810981,1.1496232,0,0,0,1.2135097,0.23775658,0.60854274,3.041435,8.870298,2.0022836,0,0.9077603,0,4.1382947,0.49266958
