x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.95173,0,0.30949494,0,0.6352833,0.06842991,1.7921256,0.47756267,0,0.3073487,0,0.8178228,0,0.8249877,0,0,0,0,0.3067624,0,0.20159075,0.3237042,0,1.8807462,0.34717318
2,0,0.0907359,1.6390646,0,0.9549667,0,0.089096904,0,2.7078865,0,2.503367,0,0.020093082,0.6074244,0.7873178,0,0.63209474,0,0,0,0.27627426,0,0.37079445,0.61837447,0.09546872
3,0,0,0,0,0,0.84720236,0,0,0,0,0,0,0,0,0.08453427,0,0,2.6345284,0,1.1952537,0,0.7811612,0.20535403,0,0.21185741
4,0.0497268,0,0,0,1.996523,0,0,0,0,0,0,0,2.779742,0,0.61725986,0.5071915,0,0,1.5878159,0,0.8287822,0.24093227,0,0,0
5,0,0.6849297,0.8903239,0,0,2.5832646,0.7566101,0,0,0,1.2371187,1.3071141,0.6622556,0,0,0.14166552,0,1.7025617,0.91152394,0,0,0.17751032,0,0,0
6,0.42664543,0,0,2.2771525,0.12788516,0.21383905,0.025867097,0,0.5535805,0,0.64461774,0.40310404,0,0.091330394,0,0.6219143,1.8874253,2.115426,0,0,0,1.4081782,0,0.94248104,0.11560415
7,0,0,0,1.0472368,0.36822435,0.86803705,1.1759298,0,0.26282027,0,2.1932235,0,0,0,2.31162,3.3880792,0,2.456092,0.41804013,0.24629559,0,0,0,0.33099407,0
8,0,0,0.84506744,0,0,0,0,0,0,0,0.5230067,0.79206467,0,1.0201523,0,0,0.8083501,0,0.24244101,0.14727904,0,0,0,0,0.24034344
9,0.78652877,0.9612855,0,0,0,0,0,0.53580755,0,0,1.5057344,0,1.8465053,0,0,0,0.35008958,0,0,0.41402355,0,0.89424855,0.40230927,0,0.51118803
10,0,0,0.034804195,0,0,0,1.0710694,0.4445234,0,0.37755623,0,0,0,0.26013872,0,2.0760872,0.7487513,4.0432596,0,0.39936036,0,0.5459331,0,0,1.2809812
11,0.9473272,0.35703105,0,0,0,0,0,0,0.8391947,0,0,0.24513282,1.2440447,0,0.038298234,0,0,0.29761103,0,0,0,0,0,0.67687166,0
12,0.24407214,0,0,0,0.32398865,0,0.026775505,1.1849276,0,0,0,1.4957601,0,0,1.0939089,0,0,0,0,0,0,0,0.20427006,0,0
13,0.48978475,0,0,0.057914678,0,0,0,1.5643317,1.8448688,0,0.76523304,2.1861253,0,0,0,0,0,0.68582344,0,0,0,0.25892192,0,0,0
14,0,0,0,1.5978768,0,0,0,0.82856953,0,0.60524106,0.035734303,0,0,0.4999759,0,0,0,0,0,0,0,0,0,1.7206973,0
