x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,13.553432,0.06356468,1.4461523,0.29572472,0.21138467,0,0,0.44303414,0,0,0,2.6917922,0.7325692,0.19140014,5.4970894,1.1023817,0.4164448,0,2.9904106,1.7759004,1.4231784
2,0,0,0,0,0,0,1.2582945,0.63948655,2.2895474,0.19560914,0.21744059,0,3.3180587,0,0.27362028,2.2668645,0,0,0.000231877,0,0.25701982,1.6354493
3,0,8.481996,0,0.40470332,0,1.3498693,0.413096,0,0,0,0,0,4.7723503,0,0,2.7772646,0,0,0.6653692,0,2.015529,0.5597548
4,0,1.3078412,0.47548136,0,0,0,0,0.17433971,0.055936422,0,0,0.34535682,1.3304174,0,1.3656301,3.0750134,0,0.7574941,0.71186817,0,1.8170245,0.062450897
5,0.4090437,5.278713,1.9215623,0.30072212,0,0.7536856,0,0.9889472,0.12823938,0.16822384,0,0.09899047,1.2523555,0,0.6722913,0.21175548,1.3909789,0,0,0,0,0.014637074
6,0.929144,9.849243,0.67975676,0,0,0,0,0,0,0,0.3433801,0.6983055,0.45982897,0,0.074254625,1.199537,0,0,0,0.898004,2.5967815,0.6565545
7,0,0,2.6758034,0.3180939,0,0.007215716,0.028322557,0,1.1022638,0,0.6904705,0,1.2516649,0.42847076,0,0,0,0,0,0.0634635,0,0.026802128
8,1.2277496,0,0,0.012249186,0.44704217,0.27906358,1.4506781,0.5257294,0,0,0.15183014,0.38001108,1.7272508,0,0.038754866,0,0.12873586,0,0,0,0,0.94500476
9,0,0,0,0,0.78764355,0,0,0.400325,0,0,0.24130073,0,2.5054839,0,0,0,1.4478967,0,0,0,0.290925,0
10,0.48144737,4.676355,0,0.44127268,0.29022536,0,0.19714427,0,0,0,0,0.12632395,0,0,0.8179513,0.36457786,0.436677,0,0.23374838,0,0.508785,0.13699263
11,0,0,0,1.4070412,0.10098931,0,0,0,0.86924374,0,0,0,0.730318,0,0,0,0,0,0.5709352,0.43178752,0,0
12,0.2880391,0,0.61365914,0,0,0,0.8595589,0.6975943,0,0.03667546,0,0.20485622,0,0,0.028108621,0,1.2002074,0.25220948,0.34396198,0,0.8829897,0
13,0,0,0.36533144,0,0,0,0,0,0.5539422,0,0.45664763,0,0,1.2967924,0,0.62007916,0,0.6615551,0.86325914,0,0,0
14,0.63233244,0,1.1731732,0,0,0,0.010108911,0.006365448,0,0.30035478,0.016817912,1.5040281,0,0.11371422,0,0.86099404,0,0,0,0,0,0
15,0,3.3097303,0.40855706,0,0,0,0,0,0.873398,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,1.7541479,0.084282264,0.03715828,0.007619442,0,0,0,0,0,0.00049953,0,0,0,0.2623688,1.3333344,0,0,0,0,0,0
17,3.0993626,0,0,0.28930256,0,0,0.7603579,0,0,0,0,0,0,0,0,0,0,1.8047464,0,0,0,0.7357032
18,0.7948271,0,0,0,0,0,0,0,0,0.2711167,0,0,0,0.98772776,1.817111,0.37502387,0,0.76164156,0,0,0,0
19,0,2.244899,0,0,2.067766,0,0,0.15627633,0.09387559,0.22393487,0,0.07141706,0,0.5969294,0,0,0,0.5147963,0,0.3318551,0,0
20,0,0,0,0,0,0.7988842,0,0.25857708,0,0,0,0,0,0,0,0,1.3891432,0,0,1.0142014,0,1.0603913
21,0,0,0.38578224,0.69086504,0,0,0,0,1.4700645,0,0,0,0.24720114,0,0.724054,2.8130102,0.24936126,0,0,0,0,0.90683585
22,0,0,0,0,0.8473723,0.011319722,0,0.088891044,0,0,0,0.5514439,0,0.17493513,0.4237514,0,0.89310426,0,0.28515726,0,0,0
23,0,3.3084257,0,0,0.6266369,0.34674484,0,0,0.8903993,0.872728,0,0,0,0,0,0,0.08693174,0.035365988,0,0.64520717,0,0.04023039
24,0,0,0,0,0,0,0.41700616,0,0.2091102,0,0.54033434,0.89094657,0.42785951,0,0,0,0,0,0.16468751,0,0,0.15395968
25,2.6613119,2.134719,0.41761506,0.23438008,0,0.06278445,0.2605033,0,1.4417657,0.07741346,0.0629944,0,0,0,0.42545745,0,0,0,0,0,0.5743279,0.25315586
26,0,0,0,0,0.984722,0.41559795,0,0,1.3385524,0,0.26042283,0,0,0,0,0,0.13712037,0,0,0.12749124,0.9430687,0.60677797
27,0,0,0,0,0.16667178,0,0.92217785,0,0,0,0,0,0.071398936,0,0,0,0.39917317,0.89112103,0,0,0,0.42825732
28,0,0.5758368,0.81186336,0.27602062,0,0.070095114,0.7451669,0,1.5972595,0,0,0,1.5868287,0.4616467,0,0,0,0,0.31191644,0,0.20215844,0.45899847
29,0,0,0,0.09967817,0.63215744,0.26379436,0.6344378,0.9858619,0,0.24270386,0,0,0,0.062474076,0,0,0,0.20131972,1.2571361,0,0,0
30,0,0.5712988,0,0,0,0,0,0.2739631,0,0.5996993,0,0,0,0.5169595,0,0,0,0,0,0,0,0
31,0,0,0,0.7360844,0,0.60973465,0,0,0,0,0,0.16660352,0,0,0,0,0,0.71805614,0,0.019729266,0,0
32,0.00145557,2.8721044,0,0.3127702,0,0,0,0.81923056,0,0.08217318,0,0.29929343,0,0,0.5611147,1.3015523,0,0.7464739,0.41045988,0.54748905,0,0
33,0,0.31886366,0.08420103,0,0,0.8956974,0,0,0.40536788,0,0,0.22507794,0,0,0,0,0,0,0,0,0,0
34,4.907278,0.7773839,0,0.104994096,0,0,0,0,0.24062945,0.06989563,0.46004203,0,0.4120179,0,0.789698,0,0,0,0,0,0,0
35,0,0,0,0.7546012,1.1136959,0.5896228,0.43847114,0,0,0.3523392,0.19258703,0,0.3467888,0,0,3.7329476,1.1269095,0,1.8415728,1.3049656,0.63781464,0.85162944
36,0,0,0,0,0,0.18614218,0,0.04224149,0,0.06402439,0,0,0,0.8358698,0.61691785,0,0,0,0,0,0,0
37,0,0,0.2442586,0,0.8187635,0,0,0,0.4564472,0,0.07604919,0,0,1.0587807,0.15452439,0,0,0,0,0.3049332,0,0.10965144
38,0,1.1946887,0,0,1.1682972,0,0,0.7752188,1.0568483,0,0,1.1779602,0,0.14967458,0,0,0,0.010129957,0.29827362,0,0.5000807,0
39,0,0,0,0.7093033,0.13914365,0.07280376,0,0,0,0,0.41628942,0,0,0.34891915,0,1.9255439,0,0.2209294,0,0.25571346,0,0
40,0,5.851698,0.5541649,0,1.0039451,0,0,0.62515616,0,0,0,0.064085,0.7429528,0.16599806,0,0,0.1348387,0,0,0.117337264,0.9267509,0.57642615
41,0,0,0.31940782,0,0.18555455,0,0,0,0.38399592,0,0.11616818,0,0.31956214,0.09104436,0.92948306,0,0,0,0,0,0.4800581,0.22672762
