x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0028
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2.4671378,0,0.27515817,0.5402831,0,0.08615112,0.06840826,0,0.8688313,0,0,0,0,0.2345825,0,3.5444984,0.17901121,0.36347988,1.5972037,0,0,0,0.11957669,0,0,0,2.3509157,0,1.2351209
2,3.0134838,6.1111073,0.34624788,0,0.7306993,0,0,0.41403943,0,0.04664678,0.31918064,0.2907476,0,0,0.5750927,0,0,0,0,1.3875954,0.4535043,0,0,0,0,0,0,0.8485771,0
3,0,3.8002243,0,0.3775166,0.3750049,0,0,0,0.50576437,0.009214872,0.21768463,0,0,0,0,0.37827942,0,0,0,0,0,0,0,0,1.9979583,0.4680286,0,0,0
4,0.30680856,0,0.85420376,0.029739698,0,1.183757,0,0,0,2.3946674,0,0.016489014,0.25009918,0,0.33311862,1.4354396,0.5539397,0.6368026,0,0,0,0,0,0,0,0.7564525,1.9009808,0,0.43880486
5,0,2.5094876,1.2166315,1.0385664,0.65060097,0,0,0,0,0,0,0.07266399,0,0.208553,0,1.8837942,0.010746979,0.31405273,0.5328929,0,0.2554051,1.2041687,1.1261153,1.08992,0,0,0,0.23721606,0.56258357
6,0,0.34183836,1.4188716,0,0,0,0.23272479,0.7229421,0,0,0,0,0.3269267,0.24735276,0.047306858,0,0,0,0.15775353,1.0091258,0.36205354,0,0,0,0,0,0,0,0
7,0,1.7034519,0,0,0,0.30631146,1.3245823,0,0.5421399,0,0.5171106,0,0,0,0,2.6420057,0,0.15331101,0.5298962,0,0.11345063,0,0.6717054,1.1571367,0.32793203,0,0,0,0.6911455
8,0,0.9439782,0.919998,0,0.7938482,0,0.1517272,0,0,0,0,0.5179562,1.1988592,0.43129897,0,1.7712876,0,0.22804451,0.05316754,0,0,0.10856315,0.3334454,0,0,0,0.5986073,0,0
9,4.7340055,0,0,0,0.4517892,0.55954754,0,0,0,0,0.4458473,0.47075713,0,0.20527454,0,0.19260827,0,0.8119351,0,0,0,1.6763927,0,0,1.2748725,1.286089,0,0,0
10,0,0,0,0,0,0.20539683,0,0,0,0,0.04930202,0,0.32830167,0.10928833,0,0,0.25943035,0,0.36491543,0,0.40029266,0,0.20757975,3.1340458,0,0,0.21712136,0,1.6188446
11,0,1.9162203,0,0.6232399,0,0,1.5148367,0,0.25365895,2.937403,0,0.1172658,0.911346,0,0,1.5440385,0,0.8848211,0.17519787,0,0.28989223,0,0,0,0,0.066312246,0,0,0
12,3.800723,3.8385065,0.45695245,0,0,0,0,0.9643446,0.18254262,0,0.4498192,0.58940893,0,0.7150146,0.019157583,0,0,0.5948999,0.8128136,0,0,0,0.56771636,0,0,0.4140523,0.43452024,1.1359172,0
13,0,0,0.33771682,0,0,0,0.6413483,0.29201722,1.4506714,0,2.193432,0,0,0,0.91354394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,1.6432344,0,0,0.013637831,2.6508834,0,0,0,0,0,0,0.7983791,0,0,0,0,3.105357,0,0,0,0,0,1.7286582,0,0,0
15,0,0.6885916,0,0,1.7153194,0,0,0,0.49894682,0,0,0.44541246,0,0.16643567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0.34341088,2.4307377,0.30208564,0.45473498,2.0738018,0.27460638,0.42092416,1.145886,1.4169134,0,0.5108927,0,0.65578574,0,0,0.07540119,0,0,3.7614117,0,0.45459393,1.8357913,0,0
17,0,0,0,0,0,0,0,0.59405404,0.05032225,0.62522316,1.0493671,0,0,0,0,0,1.1318336,0,0,0.8367267,0.27389228,0,0.21836966,0,0,0.10236604,0,0,0
18,0,1.2322822,0.422953,0,0.2389514,0,0,0,0,0,0.05087662,0,0.2829461,0,0,0.19667193,0,0,0,0,1.1131903,0.47008324,0.07443377,1.7752655,0,0,2.5031998,0,0
19,0,0,0.22658244,0,0,0.7632351,0.82688487,0.52868056,1.9194463,0,0,0,0,0,0.055676818,0,0,0,0.43925476,0,0,0,0.4012175,1.9634414,0.10667678,0,0.37639314,0,0
20,0,0,0.4232341,0.6183855,0,0,0,0,0,0,0.2961651,0,0,0,0.28673542,0,0.47410393,0,0.93256146,0,0,0.92062557,0.07332256,0,1.3477597,0,0,1.6456598,0.06186181
21,0,0,0.1979389,0,0,0,0,0,0,0,0,0.39719772,0,0,0.40646428,2.5424154,0.27219862,0,0.20565057,1.0339245,0,0.5830509,0.031706594,0,0,0.8320944,0,0.9887194,1.323354
22,0,4.017204,0.3480161,0.00766856,1.0690829,0.9815952,0,0,0,0.14273123,0,0.32795486,0,0,0,1.4389045,0.31491214,0,0,0,0.5149128,1.7938528,1.0443195,2.270031,0.41147226,0,2.2400033,1.272693,0.92134565
23,0,0,0,0,0.3536575,0,0,0,0.014226021,0.66666555,0,0,0,0,0.3500132,0,0,0,0,0,0.07399875,0,0.42534283,1.5311248,0,0,0,0,0
24,0,0,0.15491088,0.75814897,0,0,0.5251645,0,0.17862386,0.03757562,0,0.5826571,0.7517799,0,0,0,0.18759656,0,0,0.82877207,0.4927314,0,0,0,0.17092279,0,0.42083165,0,0
25,0,0,0,0,1.4933751,0.92474455,0,0,0,0,0,0.64881945,0,0.59777474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.91107047,0,0.024089867,1.944272,0,0,0.27188748,0,0.33594853,0,0,0,0,0,0,2.6831498,1.065507,0,0,0,0,0.3786473,0,0.29961824,0,0,0,0,0
27,0,2.5505981,0,0,0,0,0,0,0,0,0,0,0,1.2483581,0,0,0,0.2935682,2.0167544,0,0,0,0,0,0,0,3.778928,0.3095457,1.8525612
28,0,0.755949,0,0,0,0,0,0,0,0.40038195,0.8866446,0,0.09771907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4.5852904,0,0,0,0,0,1.1168838,1.1249739,0.25352535,0,0,0,0,0,0.4379336,0,0,0.35551536,0.5896807,0,0,0,0.32037947,0,0.9594372,0,4.4948683,0,0
30,0,0,1.0139699,0.865374,0,0,0,0.6796058,0,0.55796516,0.35480264,0,0,0,1.5243332,0.9268663,0,0,0.07496792,1.5114664,0,0,0,0,0.13995454,0,0,1.8267336,0
31,0,0,0,1.8840604,0,0,0,2.8643427,0,0,0,0,0,0,1.7141489,0,0,0,0,0.70075893,0,0,0,0,0,0,0.27173018,0,0
32,0,2.9127402,0,0,2.0510492,2.8786416,0,0,0.9573479,0,0,0,0.59428,0.30291167,0,0.008401317,0,0.4345395,0,0,1.1782044,1.0766114,0,0.15137614,0,0,0,0.7734867,0.14327574
33,0.96694344,0,0.7258335,0.82271045,0,0,0.07700316,0,0.4438076,0.9582547,0.525868,0.14377715,0,0.7469335,0,0.64717746,0.6097981,0.5856254,0.20598748,0.42368266,0,0,0,4.2880287,0.6433358,0.6183467,0,0,0.951914
34,0.748126,0,0,0.18003136,0,0,0,0,0,0,0,0,0,0.36006787,0,0,0,0.9769476,0,0,0,0.9373993,0,0.90793604,0,0.2138404,0,0,0
35,0,2.024045,0,0,0.13800265,0.6479693,0,0,0,0.31706774,0.32333043,0.25503638,0.9982577,0,0.13730983,0,0,0.22457829,0.8739857,0.37391207,0,0,1.6483972,1.9936545,0,0,0.6900132,0.7029787,0
36,0,0,0,0,0,0.6496972,0,0,0,1.9167066,0,0.15687284,1.0310038,0,0.97300917,0,1.0582286,0,0,0.65637535,0.31637776,0,0,0,1.0065838,0.19828777,5.8461,0,1.1017661
37,2.5762706,0,0,0,0,0,0,0,0,0,0,0.14674422,0.2779526,0,0,0,0,0,0,0,0.77819127,0.3771067,0,0,0,0.16857782,0,0.80728424,0
38,0,0.93215954,0.17082223,0.7894027,0,0,0,0,0,0.055237114,0,0,0,0,0.5739246,0,0.32217926,0,0,0,0.38436043,0,1.0301116,0,0,0,1.6851313,0.2489998,0
