x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0018,y0019,y0020,y0021,y0022,y0023,y0024,y0025,y0026,y0027,y0029,y0030,y0032,y0035,y0036,y0039
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1.4297608,0,0,3.7335696,0,0,0,0,0.022022173,0,0.91954565,0.59720683,0,0.051012572,0.5112879,0,1.1749226,0.30703768,0.82698035,0.6788169,0,0,0,0,0,0.9309983,0,1.7684696,0,0
2,2.42479,2.5251303,0,0,0.36051124,0.3033144,0.9659175,0,0,0,0,0,0,0,0,0,0,0,0,2.0566752,0,1.609147,0,0.7791226,0.92134064,0.27278015,0.8106442,1.7885425,0,0,0.21117514,0,0
3,0,0,0,4.1930413,0,0.465022,0,0.3180832,0,0,0.8217789,0,0,0,0.53284377,1.6924595,0.13819414,0,0,0,1.5101645,0,0,0.5390174,0,1.5807235,0,1.6683344,0.22974728,0.14920671,0,0,0
4,0,0,0,0,0,0,0,0,0,2.2707992,0.105366744,0.41544867,0,0,0,1.8876549,0.97734934,0,0,0,0,0,0,1.1255918,0,0,0,0.14202811,0,0,0.40744823,0,0
5,0,0,0,0,0.3138667,0,0,1.117108,0,0.36201406,0.5820529,2.73074,0,0,0,0,0,0,0,0,1.9067334,1.2966505,0,0,0,0,0.015226382,1.1225173,0.0447835,0.34800118,0,0,0.03869141
6,0.64205146,0,3.5898495,0.7451936,3.6800756,0.35370603,0,0,4.9454722,3.4706964,0,1.3223366,0,0,3.1956267,0,0.44650066,3.9116173,0,9.061108,0,0,0,2.1908927,1.6389502,0.8224074,1.1006652,0,1.0144845,0,0,0.048498794,0
7,0,0.4473363,0,0,0,0,0.2393338,0,0,0,0,0,0.71699715,1.3274716,2.0419352,0,0,5.0894346,0.01258315,3.099039,0,0,0.6507315,0,0,0,0,0,0,0,0,0,0
8,0,1.1941993,0.7091063,0,0,1.7899424,0,2.3710022,0,0,0.07223429,1.7054282,0.89073557,0,0,0,0,1.958981,0,5.417504,0.066790245,0,2.390598,0,0,0.65809256,0,0,0,2.217015,1.3874869,0,0.99876237
9,0,2.3191636,0.22475469,0,0.33903682,0,0.047434002,0,2.159128,0.7125563,0,0,0,0,0,0,0.3168909,0,2.8375437,0,0.45690426,0,0,0.42317006,0,0,2.0785158,0,0,0.5290455,0.21633366,0.26494426,0
10,0,0,0,0,0,0,0,0.29192528,0,0,0,1.4124502,2.4894676,0,0,0.33491313,0.1859878,0.92273927,0,0,1.3890121,0.3784203,0,0,0,0,0,0,0,0,0,0.08844436,0
11,0,0.14810538,0.7091706,0,0.6440011,0,0,0,0,0,1.9492551,0,0.8611993,1.6590118,0,0,0.3600629,0,0,0,0.37235057,0,0,0,0,0,2.0573459,0.29634637,0,0,1.3692296,0.09663374,1.0305808
12,0.39040345,3.7322397,0,0,1.9197743,0,0,0,0,0,3.2382898,0,1.2217741,1.314315,0,0,0,2.4749298,0,0,0,0,0,0.47845036,0.548232,0,0,0,0.9662776,0,0,0,0
13,0,0,0,0,0,0,0.085996084,0,1.8251327,0,0,0,0.70190907,1.4013124,0,0,0,0,1.864762,0,0.6826827,0,0,0,0,0,0,0,0,0,0.14873356,0,0
14,0.18800814,0,0,0,4.983917,0,0,0,0,2.803417,0,0,0,0,1.1987603,0,0.10091513,0,0,0.48508468,4.0103526,0,0,0,0,0,0,0,0.22544365,0,1.2603608,0,0
15,0.0667784,0,0,0,0,0,0,0,0,0,0,4.424484,0.521832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,2.0832727,0,0,0.38116467,0,0,8.093688,0,0,0,8.132881,0,3.4606488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1.1914264,0,0,0,0,2.0534918,0,0,3.6818664,0,0,0,0,0,5.482445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0.05862803,7.998464,0,0,0,0,1.4558069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08964777,0,0,0,0,0,0.15350874,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7025541,0,2.0597541,0,0,0,0.66915596,0,0,0,1.1246275,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0960255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034604985
21,0,0,0,0,0,0,0,0,1.0020678,0,0,0,0,0,0,0.3821085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0.49719706,0,0,0,0,0,0,0,0,0,0.26109794,0,5.745024,0,0,0,3.3991685,0,0,0,0.81288356,0,0,0,0,0,0,0,0,0
23,0,0,0,3.4750686,0,0,0,0,0,0,0,0,0,0,0,0,5.0987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,2.4508243,0,0,0,0,0,1.1417925,0.18922862,0,0,0,0.43665022,1.4590224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,1.2659452,2.6178544,0,0.3856198,0,0.85326463,0,0,0.746731,0,0,0,1.7724006,0,0,4.198122,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0.5549362,0,0,10.910196,0,0,0,0,1.5844591,0,1.5395199,0,1.8705941,0,0.19427125,0,3.5208616,0,2.3724093,0,0,0,0,0,0,1.7311414,0
27,1.4203229,0.42712253,0,0,0,0.90911925,0,0.946454,0,0.9178407,0,0,0,0,0,0,0,0,2.3190506,0,0,0,7.77569,0,3.1544304,0,0,0,0,0,0,0,9.092593
28,0,0,0.14074326,11.476587,0,0.75044185,0,0,0.850136,1.3841968,0,0,0,0,0.9117403,0,4.2354026,2.0608847,0,3.4021425,4.0907435,0,10.300197,0,6.6910124,1.358597,0,0,0.17708701,0,0,3.7003717,6.824314
29,0,0,1.10984,0,0,1.9175863,0.56921697,8.044196,7.877665,9.087975,0,0,0,0,0,0,0,3.1563432,0,0,0,4.9972057,9.135657,0,9.806985,0,0,0,4.417573,0,0,1.5142769,0
