x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0008,y0009,y0010,y0011,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0023,y0025,y0026,y0027,y0032,y0034,y0035,y0036,y0037
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4.598608,12.632144,2.0061853,4.1209407,1.2547774,2.4926014,2.5071154,0,0,5.723718,6.6828604,0,0,0.70365095,4.502227,7.9790826,0,7.132824,0,2.4366682,2.347279,0,0,0,0,0,2.1330838,19.562428,0.27015474
2,4.654156,0,0,4.669424,7.70401,0,0,8.145399,0,0,0,3.112504,0,0,0,3.6157343,0,0,0,3.6238844,0,1.071588,0,0.51372975,0,1.1994858,0,9.087336,0.6014966
3,0,0,0.85593146,0,0,0,0,12.002188,5.199564,0.66952616,0,0,6.4936175,1.2831683,2.0432334,0.18237925,0.46209177,0,0.061391525,0,0,3.9669418,0,0.48432294,8.81439,0,0,0,0
4,0,8.140743,0,0,0,0,0,0,0,0,0,0.27638802,0,1.715576,0,0,3.8322387,0,0,0.30839145,0,0,0.3299304,1.9254105,0.516404,0,0,3.4312005,0
5,0,2.7743387,0.6034589,0,0,4.5695124,2.8678615,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000222877,2.7652984,0,0,0,2.3431718,0,0,0
6,0,0,1.7496529,0,4.8629584,2.00707,0,7.9402127,0,0,2.4282293,8.325212,0,0.39036375,0.39742348,8.512328,1.0258765,0,2.99973,0.3179519,2.944725,0,0,0.9876415,0,5.14908,0.3679683,8.144831,2.12883
7,0,0,0,0,0,0,0.5442907,0,0.40203682,5.1676917,0,0,0,0,0,0.86595553,0.096305326,9.562546,0,3.078009,0,0,0,0,2.9629917,0,0,0,0.55647326
8,1.3910595,1.2010444,0,0,0,0,4.216777,0,0,0,0,1.0606351,0,1.0332415,8.101393,0,3.2247097,3.7824535,0.39169905,0,0,2.8486085,0.60272795,0,3.2449021,0,0,0,2.3081872
9,0,0,0,0,0,0.4281838,5.5829473,12.007514,0.6492767,0,10.446223,2.0826113,0,0,0,0,0,0,1.1441847,0,0,0,0.1726502,1.5198245,0,0,0,1.9209362,0
10,0,2.8025606,0,3.3488903,3.0135238,0,0,1.6079632,0,0,0,0,1.6648022,0,0,0,0,1.7224095,0,2.4542773,0,1.3272957,0,0,0,2.0204592,0,1.6987442,0
11,0,7.280367,0,0,0,0,6.5336313,0,0,0,6.5532274,3.0427666,4.9234815,0,0,0,0.2460081,0,1.4598502,0,0.4101084,0,0,0.5960439,0.34534156,2.1198108,4.429746,0,4.3951426
12,0,0,0,0,0,0,1.073536,0,1.7423344,2.0481362,7.483268,0,0,0,0,0,1.7981927,0,0.3574552,0,0,0,0.91327167,0,2.1061354,0,0,0,6.306882
13,0,0,0,11.412654,0,0,0.4019731,9.835654,5.8983817,0,1.7212342,0,0,0,0,3.7841766,0.14103602,0.002595329,0.3894239,1.6753049,0,0,0.4864984,0,0,0,1.3555596,6.7114186,0
14,0,0,0,0.4251909,0,2.9404945,0,0,6.131649,0,0,0,0.18148427,2.0730863,0.21730158,0,0,1.2492018,0.13433963,1.121603,1.9776843,1.3547037,0.9454022,2.3240361,1.1056088,0,4.9208817,0,0
15,0,0,0.20903642,0,0,2.8800988,0,0,0,5.828412,0,0,2.320472,0,0,0,0,3.6805234,2.9387348,0,0,0,1.7934237,0,2.0465837,1.9891789,0,6.1904554,3.3935494
16,0,3.5861635,0,2.2686787,3.2732062,0.8105689,0,0,0,3.1855686,2.8965352,0,0.34698057,0.864665,0,0,0,4.8915257,0,2.0778954,0,0,0.4777057,0,4.8596954,1.2869987,0,0,0
17,0,0,0.24325788,0,0,0,0,0,4.339581,0.3438793,1.9467793,0,5.3051367,0,1.8002526,2.3049722,1.2621899,6.281607,0,0,0,0,0,0,0,0,0,0,3.2891777
18,2.1484683,0,0,0,0,3.3021305,2.273537,0,0,0.9744103,3.609981,5.304281,0,0.5976453,0,0,0.8729772,0,1.5195459,5.7325306,7.230307,1.8542185,0,0,0,1.2693385,0,0,0
19,0,0,0,0,6.6616,4.649414,2.6438153,14.979313,2.56335,0,2.2689357,0,3.041939,1.7941401,0,0,0,5.0079494,0,0,1.0707577,0.8167707,0,0,4.225815,3.1731238,4.9186735,0,0
20,0,0,2.086771,8.908106,0,3.7005908,0,0,5.2659044,2.5516233,0,7.78771,0.7874414,0.6225827,0,0,0,1.576294,0,0,0,0.8416404,3.991661,0,1.1704572,0,0,0,0
21,1.143686,3.6100187,0.7711284,18.728628,0,0,0,0,0,0,0,0,2.8058867,0,0.0994701,0,0,4.8962,0,0,0.12894465,0,1.0831902,1.4602296,0,0,1.0815103,1.9572849,0
22,2.9288673,0,1.8875792,0,0,2.4072254,0,0,0,5.9073467,0,1.4356481,0,0,0,0,0,0,0,0,0,0,3.5600386,0,0,0,0,6.393006,0
23,0,3.1987743,0,0,5.499097,0,3.7860003,0,0,0,0,0,0,0,4.120299,12.532468,2.1729524,0,2.5980992,0,2.163324,0,0,0,0,0.022831762,0,1.6336604,5.4921775
24,0.77923036,0,1.7230018,0,0,0,0,0.41711518,0,0,0,4.2932773,0,0,11.556207,0,0,0,5.383051,0,0.50852007,0,0,0,0,0,0,0,4.732688
25,2.8832617,0,0,8.288784,4.3144965,0,0,0,0,5.498686,7.9560184,2.174224,3.573377,0,0,0,1.0596156,0,3.4747763,1.2584958,0,0,1.8176447,0,0,0,0,3.295597,0
26,3.3657742,0,2.2027676,0,0,2.2825813,0.5660342,3.6524065,0,0,0.014650565,5.845342,0,0,0.60587525,7.239779,0.7160656,0.9961965,0.34232423,4.5052357,0,1.080241,0,1.6722659,3.064425,0,0,3.5344872,0.62995386
27,0.17615433,0,0.41930193,2.0933454,0,0,2.7004244,0,0,4.2299533,6.6410027,0,1.3034685,0,3.622808,4.1591945,1.2487755,2.570337,0,0,0,0,1.3498012,2.375549,0,0,0,0,0
28,0,0,0,0,5.9222302,0,0,18.608124,1.8599228,0,0,0,0,0.20234585,0,2.21906,0,2.6220417,0,0,0,1.6426454,0,0,0,0,7.366136,0,0
29,0,0.03688252,4.4525256,8.529067,0,0,0,0,2.8983262,2.9867113,6.7834167,3.8030949,0.6736335,3.7964594,9.986353,0,3.0223868,0,0,0,2.5869348,0.5555886,1.3914089,0,2.6531422,0,0,2.9268932,0
30,0.9500664,0.5213279,0,0,0,0,3.6201422,0,0,0,0,7.162788,3.3373728,0,0,0.15411803,0,0,0,0,0,0,3.7168925,0,7.068136,0,0.14525118,0,0
31,0,4.086755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0449333,0,0,0,0,0,0,0,0,3.2055283,15.732082,0
32,0.32965863,5.65913,0,0,0,0,0,0,5.62381,1.5703838,0,0,0.7105694,0,5.9414396,0,0,0,0,0,3.5883973,0,0,4.0976954,0.15536824,0,3.2690015,0,0
33,0.6319407,1.0815989,1.7969835,1.9799854,0,0,0,4.9153385,3.0928476,0,0,0,0,0,0,0,0.8128232,1.8956628,1.0476805,0,0,6.199863,0,0,1.3079839,0,0,0,4.8121324
34,0,0,1.1834627,0,2.386751,0.8592307,0,0,0,0,1.515113,1.1172045,6.58217,0,16.358318,17.96304,0,0,3.643525,0,1.6705463,0,0,5.0383573,3.2256913,6.7926745,0,0,14.462496
35,0,0,0,0,9.390824,7.4362044,0,5.3979254,0,2.874421,0,18.165873,3.6599112,0,5.8887544,0,0,0,0,0,0,0,0,1.3641741,0,3.6753547,0,0,17.076527
36,0,6.2165775,0.8892988,0,0,7.5012307,0,0,0,0.6832406,0,4.758601,1.3855337,3.1070108,0,0,0,0,0,4.613522,0,0.51229274,0,0,0,5.8396335,0,0,0.5418335
37,0.30816793,0,0.33851713,0,0,0,0,0,0,0,2.6764877,0,10.004756,4.039247,7.31862,0,0,0,0,0,0,0,0.40488684,1.5098108,0,0.06525914,1.796882,3.0272589,0
38,0,3.5301912,0,0.15294683,4.024237,0,0,5.3144765,0.9668671,0,0,4.519892,0.7327411,0,0,0,0.90131795,0,0,6.2572403,0,0,2.2389421,0,0,3.4644547,0,0,2.148083
39,0,0,1.0635865,5.007602,0,11.071695,21.463406,0,0,2.5603936,0,7.9831324,0,2.6607099,0,0,0,0,2.3397553,0,3.4857175,1.2264531,0,0,0,1.1104094,0,0,0
40,2.8332238,0,0.053894166,0,0,0,0,0.8277448,2.72782,0,0,1.4244515,1.2920914,0,12.120883,0,0,0,0,0,0,2.7549663,1.4954956,0,0,0,2.8133268,0,6.298294
41,3.683064,0,0,0,0,7.7561846,14.918105,0,0,0,0,0,2.2563689,0,12.626959,12.471914,4.0065045,6.5152597,0,0,0,0,0.34997812,0,6.375452,0,0.2755968,7.7773557,0
42,0,3.2232602,0,0,5.0894213,0,0,1.9538862,4.2494874,0,0,0,0,2.2047424,0,0,0,3.686628,1.2130361,0,0.6400878,5.1499176,5.7608194,0,0,0,2.3583512,0,0
43,0,0,1.7978042,0,0,0.37474975,6.038164,0,0,4.6131616,1.7666298,0,0,0,0,14.353801,0,0,0,0,2.1714802,0.3036683,0,1.618468,0,0,5.6357527,0,0
44,0,0,0,9.237755,0,0,2.5362656,3.689058,0,0,0,0,0,0.069233194,0,7.4566355,0,0,0,0,0,0,0,0.066268474,0,0,0,4.285911,12.742789
45,0,0,2.1262918,7.417144,1.9637812,0,0,0,4.287679,0.27633592,0,0.14462589,0,0,2.1028006,19.503645,0,0,0.5345925,0,0,1.4841393,0,0,0,0.4744865,0,5.612458,0
46,1.3313174,1.3043077,0,1.3952497,0,0,0.69409955,9.77989,0,0,0,0,0,0,0,0,0.43170446,0,4.008707,2.2171867,0,2.1538699,0,0,0,0,0.31573707,0,0
47,0.11312626,0,0.8395616,0,0,7.0116096,0,0,0,0,0,0,0,0,0.8425152,10.500483,3.567551,0,1.2015861,0,0,0,0,2.9902587,1.6328483,1.5774096,0,0,0
48,0,0,0.9098878,0,20.160433,2.5376673,0,0,1.1220219,0,0.013197541,27.785908,7.179119,1.0429391,8.67447,11.32603,0,2.4266715,0,0,1.5309718,0,0,0,10.2049675,0.9779569,0,0,7.35871
49,0,0,0,0,0,1.78117,0,0,0,0,7.3275785,0,0,0,5.492329,14.997625,0,0,0,0,0.37353766,2.576073,0,0,0,0.033686236,9.506228,0,5.7968936
50,0.6285654,0,0,0,1.0812981,24.964985,0,0,0,1.4899229,0,9.553603,3.4085133,0,0,27.745104,0,0,0,11.364408,3.4391384,1.8611349,0,0,0,6.5476303,0,9.655888,0
51,0.3031037,0.49314347,0.70450974,2.3941166,0,12.433423,0.17663465,0,0,0,0.26058426,8.001541,0,0.6120393,0,11.405912,0,0.7804058,0,0,0.5682676,0,0.010601529,6.67917,0,0,0,0,0
52,0,7.1544504,0,0,0.43896076,16.786106,0,0,0,0,7.035096,0,0,0,0,24.715502,0,2.5121748,4.407367,0,0,2.9487627,0.77237976,2.1994216,0,2.4876266,1.9880637,0,0
53,0,0,0,6.276781,6.1205745,20.24368,6.5127244,0,6.386852,0,0,0,0,0.407779,0,12.078244,0,0,3.8511548,0.64955217,0.56773466,7.0036263,0.2092318,0,0,0,0,0,0
54,0,2.2720993,4.9558554,0,0.220713,0,0.2682539,6.4418664,0,1.179151,0.8553785,5.334545,0,1.2434113,0,11.947853,0,0.88366437,0,0,0,0,0.84825426,0,0,1.5052294,0.44013876,10.00969,0
55,1.6657754,0.93562263,0,0,0,2.0707774,0,0,0,0,0,0,0,0,0,17.224838,0,5.400931,0,0,0,4.3589907,0,0,8.374211,0,0,7.12757,0
56,0.44895205,0,0,12.460979,0,15.393748,2.064049,0,0,0,0,0.44847563,0,1.0203503,0,21.209894,3.6311636,3.9445124,0,0,4.7134514,0,0.7010295,0,0,0,0,13.917474,0
57,0,17.212774,0,0,0,6.138331,5.451213,3.3205166,0.95541185,0,0.9336175,2.8638804,0,0,0,8.630381,0,0,0,0.12377127,0,0,5.3895793,0,0,0.94772154,3.5827243,0,0
58,0,0,0,0,0,2.5438895,0,0,3.4293842,0.62238383,0,15.26947,0,0,0,11.334683,0.53749996,6.642116,0,0,0,0,0,0,11.989122,0,0,5.4361534,0
59,2.165309,3.4089003,0,0,0,3.6030974,0,0,4.240874,1.0358865,0.47634098,0,4.137137,2.3415318,0,7.850983,2.8522058,0,0,0.5631441,0,0,0.5564764,0,0,0,0,4.3789954,0
60,0,0,1.8184271,0.74221987,3.4390585,3.3179255,0,7.7498612,0,0,0,0,0,0.15517692,3.2566307,3.9319775,0,0,0,0,0,5.233,0.029074177,0,0,0,0,0,0.86246043
61,0,2.1973176,0,0.39848724,0,0,0.33997068,0,4.9569564,0,0,4.0415487,9.073388,0,10.416271,11.89962,0.0882804,0,0,0,0,0,0,3.5630343,0,0,0,0,4.162311
62,0.36994788,2.896402,0,0.47119918,0,0,6.2937703,3.5045443,0,0,0,0,0,0,0,0,0,12.76234,2.5002296,0,0,0,0.83020407,0,0,0,1.7856065,1.5272276,0
63,0,0,0,0,0,0,4.618888,5.915563,4.405683,0.94096977,0,0,2.6120288,0,0,0,0,0,0,0,2.791826,0,0,0,0,1.7913857,0,0,4.5007625
64,6.262193,0,0,0.69363254,0,0,0,0,0,0,0,0,2.9124727,3.0731745,0,14.4712,0.85244966,0,0,0,0,0.18834424,0,0.72731453,0,0,0,4.199095,0
65,0.13710405,0,0,0,0,2.4369946,0,1.8262067,0.37858528,0,0,0,0,0,3.375516,0.8268999,1.3168423,0,0,5.164333,0,1.1808312,0.8184726,0,2.760246,0,3.2574596,0,0
66,0.20123686,13.338624,2.9823098,8.43526,0,0,1.4708687,0,0.69805664,0,0.20191433,6.454618,1.5667884,0,1.1796019,0,1.8245254,0,3.3692033,0,0,1.0553061,0,0.18251084,0,0.73489237,3.662173,6.0148444,0
67,0,0,0,0,0,0,0,8.726999,1.701753,1.3699623,0,7.681644,0,0,0,0,0,0,0,0,2.654156,0,0,4.042553,0,2.3889635,0,0,0
68,0,0,0,0,8.968018,0,0,0,0.34317523,2.190582,0,15.220532,0,1.5568216,0,0,0,0.16857038,0,3.1874392,0,0,0,0,0,1.9809365,0,0,12.493459
69,0,0,0,0,0,0,0,0,0,0,10.867321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0028567
70,0,0,0,0,3.322941,0.47657445,0,0,0,0,0,0,2.9986064,0,0,0,0,0,0,0,0,0,0.8969361,0,0,1.8698753,0,0,6.0126414
71,0,1.1343751,1.2902108,0,1.844886,0.8925124,0,0,0,0,9.124501,0,0.8238845,0,0,0,0,0,0,0.6652228,4.4509177,0,0,0.7127312,0,3.8717942,2.8534014,0,1.9207711
72,0,0,0.900039,0,3.3626792,0,0,1.657482,3.5597117,3.6162808,1.5431737,2.088847,1.2500018,0,11.550175,0,3.6055903,5.6805987,0.47042832,0,0.19754352,2.2200716,1.3374909,2.7511635,0,0,0,5.312064,9.956915
73,2.7500048,0,0,0,0.051237285,0,0,0,6.170033,1.1416234,0,9.344987,0,0,0,3.9863489,0.011515268,0,5.1512203,0,0.26289672,3.2689652,0.5589944,3.7467017,0,0,2.330209,0,0
74,0,0,0,0,0,0,0,6.478461,0,0,1.436262,0,3.8778777,1.5278133,0,24.817856,1.2076541,0,0,4.2133923,0,0,0,0,0,0,0.084540166,0,2.3754761
75,0,1.7002102,0.5162012,9.235588,0,4.312035,6.9508314,0,0,0,0,10.119781,3.1635098,0.8993973,6.4276056,8.574075,0,0,3.7690153,0,0,1.3823237,0,0,5.8968816,0,0,0,0
76,0,0,0,0.907963,0,0,0.81344074,0.6052805,2.8208504,2.301265,0,0,0,2.4393647,1.283835,11.914388,1.6464016,0,0,0,3.0917482,4.7482266,0.7398196,0,0,0,0,7.3418655,0
77,4.199359,0,4.1802073,0,0,0,0,0.25898916,0,0,0,0,0,0,0,6.9697456,0,0,0,1.4473855,0,0,0.07792394,0,0,0,0,0,0
78,2.6668634,3.0047936,0,13.784016,0,0,17.973858,0,0,0,0,0,0,0,11.071374,0,0.8066314,4.6292176,2.8897269,0,0.7627526,2.9516177,0,0,10.484607,0,0,0,0
79,0,0,0,0,0.2951275,0,4.2867923,0.8585293,0.099606045,0,0,0,0,0,0,5.8879733,1.4512447,11.9594965,0,0,0,0,3.502584,0,11.280077,0,0.09831755,1.9731501,0.65835214
80,0.64706695,0,0,3.974978,0,0,1.6755843,0,0,2.0676408,0,0,0,0,0,2.3125935,0.08630016,1.3334899,0,0,0,2.8070679,1.40295,0,0,0.058295548,0,8.468569,0
81,0,1.0358766,0,0,0,0,0,1.0557244,1.7401127,0,0,0,0,0,0,0,0,16.303532,3.8917313,0,0,0,0,0.56841516,0,0.11391222,0,13.567183,0
82,0,0,0,0,0,0,0,5.302779,1.6960542,2.5083373,0,0,0,0,3.7224925,0,0,0,1.343302,0,0.51190937,0.44393542,0,1.3967204,5.989165,0,0,0,0
83,4.9136667,0,0,0,0,0,0,7.17764,5.195583,0,11.488844,0,0,0,0,0,0,5.6101155,0,0,0.17779724,0.08215112,0,3.7984226,3.7674348,0,7.7618904,5.2570915,8.647455
84,0,0,0,0,11.005176,0,0,4.241904,0.37946427,0,0,0,0,0,0,0,0.6401462,0,1.331283,1.3301291,0,0,0,0.19551367,0,3.6117444,0,0,19.466562
85,0,0,0,0,0,0,0,0,0,0,2.6836174,0,7.114047,1.0896266,0,0,0,0,0,2.7495027,0,0,0,0.36440802,0,5.3629994,0,0,0
86,0,0,0,0,7.187375,5.025837,0,0,0,0,0,0,0,1.3071266,7.504915,0,0,0,0,0,0,0,0,0,0,0,4.3360047,0,13.119832
87,0,1.7570112,0,0,0,0,0,0,0,0,0,10.3243885,0,0,0.02999576,1.6863575,0,0,0,3.5341518,0,0,1.8533223,0,0,0,0,0,0
88,0.5067924,0,5.9886575,3.2841895,0,10.705692,1.0907798,0,0.0882002,0,4.7801595,2.1558366,0,0,0,0,0,0,0,5.102513,0,0,0,0,0,0,0.25748,0.50293803,0
89,0,0,0,11.987252,3.864247,0,0,0,0,0,2.7271664,3.2398677,6.6156883,1.4501902,0,0,4.221293,1.5772943,8.823202,0.8188946,4.3503904,0,0,2.4152808,0,0.56441134,10.689061,0,0
90,0,0,0,0,0,0,3.3110983,0.291382,1.84703,0.40414083,0,1.1576526,0,0,0,0,2.1443546,0,1.9714367,0,0,1.2490442,0,0,0,1.0649239,0,0,1.3342927
91,0.75104785,3.1316135,0,0,5.324819,0,0,2.174961,0,0,7.285727,7.6014996,0,1.9798839,0,0,0,0,0,0,0,0,1.486889,0,0,4.1864915,0.94116795,0,8.088155
92,0,0,8.087461,0,8.256851,0,0,0,0.74777216,1.3982083,4.36933,0,0,2.1742015,5.334159,0,1.3262042,0,2.9229722,3.1592824,0,0,0,0,0,1.9811076,2.266541,0,0
93,0,0,0,0,0,0,6.1424847,2.8833413,9.23886,2.7690053,0,3.5179598,0.7586489,0,5.7591596,0,0,1.1414292,0,0,0,3.854218,1.0682522,0,0,0,5.558273,0,0
94,0,0,0,0,2.637417,0,4.1731415,0,3.9343607,3.4347706,1.2856017,0.10116412,0,3.0986667,0,11.84597,0.15075737,0,0,7.3038516,1.0687913,1.407525,0.6617922,0,0,1.7097436,1.6108534,0.4446067,0
95,0,0,0,0,3.1297903,0,0,0.083486736,0,0,0,0,5.8759646,0,0,0,0.16763146,3.7619054,0,0,0.6505668,0,0,0,0.078027,0,0,1.917332,0
96,0,2.0165157,0,0,5.776951,4.2298856,0,0,0,2.5534332,0,0,0,4.0113163,0,0,0,0,0,0,0,0,0,0,1.5302265,0,0,4.01137,0
97,0,0,0,0,1.6372588,4.6416287,0,0.11765599,2.7228465,1.8733295,6.248127,0,5.9032702,2.5853043,0,0,1.3785118,0,0,1.9357216,2.183918,0,0.112612635,4.2793245,0,0,0,7.7731504,0
98,0,1.0770764,3.560939,0,0.34522533,0,0,8.66124,1.720096,0,1.2601258,0,0,3.0353465,0,8.117746,4.154122,2.0685842,2.354908,0,2.0501392,0,0,4.5980377,0,0.87202364,0,0,2.8700602
99,0,3.8411925,2.7367263,4.6563888,0,4.627547,0,1.3017819,0.87808293,2.778444,9.79022,0,0,1.0442975,0,0,0,7.674889,0.66936755,0.28274605,1.0821577,0,5.5499315,0,2.9245205,0.045327853,7.257396,0,0
100,3.3476584,0,0.9940497,0.80586076,4.4997773,0,0,3.5513573,1.3152978,0,0,14.704449,0,0,6.9101634,2.311935,0,1.6888546,0.49641892,3.3794198,0.8643496,0,2.2956057,4.091856,0,0,0,0,0.66927046
101,0,0,2.4484265,7.914641,0,1.124897,0,0,4.6218886,0,4.571554,0,4.229493,2.8265936,10.484199,0,1.8349389,5.8520565,0,0,0,2.1781595,0,0,0,2.6876426,1.6439122,6.621457,0
102,1.8101045,0,1.7350293,0,0,0,7.4672356,0,1.3383553,1.4248084,0,0.69421893,0,3.6923506,1.411852,3.2264397,0.45781472,0.64301676,0,0,0,0,2.5443122,0,0,0,0,0,4.449452
103,3.570462,1.2583168,0.8957691,0.58698785,0,2.362825,2.1712885,0,0.9177752,0.5062549,0,0,0,0,0.6381156,0,0,5.9295506,0,0,1.9497019,3.8051617,1.0105618,0,0,0,0,0,0
104,1.8622364,0,0.32372117,0,0,5.2636333,5.7902355,0,1.4844545,0,0,4.3105755,0,0,17.395048,0,3.0193183,0,0.6336401,4.6667104,0,4.1784644,0,0,10.669413,0.24976788,1.0379933,2.6594067,0
105,0,0,3.7979274,5.313001,0,0,0,0,1.0431252,3.530537,6.771831,0,0,0,0,8.157133,0,0,0,0,0,0,0,0.042634454,7.0883293,0,0,0.7919119,0
106,0,0,0,3.777084,0,2.879721,0.17414655,0,6.4432135,0,0,0,2.7292917,5.6448593,0.8667281,0,0,0,2.3545482,0,0,0,0,0,8.04382,0.29676908,6.2998457,10.787365,0
107,0,7.9570065,0,0,0,0,0,0,0,3.2243397,0,5.9929104,0.3507227,0.1253023,2.1907556,0,1.819991,0,0.015466799,0.69658816,0,1.3798976,0,0,0.07777634,0,0,0,0
