x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0023,y0024,y0025,y0028,y0029,y0030,y0031,y0032,y0033,y0034,y0035,y0036,y0038,y0040,y0042,y0043,y0045,y0046,y0047,y0048,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5.867945,0,29.14422,4.406672,1.1691898,2.1197677,0,0,4.8478584,3.1106925,0,2.4365253,27.815851,0.007332038,9.695045,1.6853836,0,7.7848716,2.9296389,0.81725436,0,0,0,0,6.922371,0,1.5429952,0,0,0,0,0,0,0,2.2837,0,10.219065,7.7522635,0,8.825519,1.8344356,0
2,3.1103399,6.755665,12.436435,0,2.1945462,0,0,0,0,0,17.623304,3.9214582,16.419394,0.014113746,7.7469015,0,0.1179739,15.7948475,0,0.58532876,2.547124,0.8862368,0,0,3.8965664,0,0,0,2.8218384,1.707543,6.604198,17.581919,0,0,1.4164084,2.389983,19.939201,3.156384,7.351783,23.494608,0,0
3,3.1817594,0,0,1.101257,0,4.9015293,0,0.14793098,0,1.9202641,4.8816776,4.352768,9.034516,2.370352,3.958953,0,1.2132591,14.739465,2.625571,4.484895,1.3883849,0,0,0.115032956,3.8080459,0,13.8701725,0,0,0,6.1817265,12.863704,0.05306086,2.5982754,0,2.3443987,37.263397,0,0,13.517753,0,0
4,3.4517052,0.5123035,12.998296,0,0,0,0,0,0,0,5.6432524,5.243869,0,4.8179464,5.7441955,0,0,14.940495,0.20651484,0,12.709787,0.6735282,0,0,1.0742153,0,6.032432,2.424622,0,0,8.770131,3.1619143,0,0,5.209622,4.2826047,22.956007,1.1360694,1.4461645,10.193595,0.34884197,4.3306575
5,0.36928475,4.208823,0,1.7907201,0,0,0,0,0,2.4872015,2.5646853,0,3.97129,0,4.2298775,0,0.18335445,4.6128364,2.2251966,0,0,1.5210123,0,3.921185,0,0,0,2.1659741,0,0,0,1.8898385,0.02345497,0.38169166,0,0,9.657601,0.79750496,1.7534329,3.2707534,0.70228255,0
6,0,1.5644429,0,1.5876796,0,0,1.3996938,0,2.89699,0,1.6883309,0,10.34545,0,0.8009871,0,0,8.745246,4.79771,2.6230075,0,0,1.0153896,0.54031944,0.16314742,0,4.2028556,0,0,2.9591537,1.4592329,1.106311,1.4870464,0.13731849,0,0,24.904718,3.2077348,1.9092071,12.770058,3.5969768,0
7,0,5.125437,4.5967326,0,0,2.6676364,1.4318773,0,0,4.07937,7.8869696,1.0315375,0,0,0,3.9680731,4.798249,14.803965,0,0,0,0.7628085,0,3.4267998,0,3.6009917,7.841465,0,0,0,5.0197577,0,1.5034875,2.4190686,0,0,1.4558964,0,0,0,0,0
8,2.250441,4.8217793,0,0,0,3.203614,0.4324219,2.4962568,0.002522926,0,5.63975,1.6646234,0,0,0,0,1.4460977,8.225776,0,0,12.696706,0,1.3902366,0,0,0,0,0.1936055,6.028813,0,0.6271584,3.5523288,0,0,0,1.8095139,26.400623,0,0.3802699,0,0,0
9,0.025178501,2.068589,3.2621434,0,0,0,0.2010694,0,0,3.8094056,0,0,15.087414,4.0589175,1.049734,0,0,0.52874774,0,0,5.097475,0,4.805528,0,0.16871987,3.1890147,6.6116023,0,2.874725,0,0,0,6.8720307,4.5310807,0,0,14.101948,0,0.9573647,4.994331,0,0
