x0000,y0000,y0001,y0002,y0003,y0004,y0005,y0006,y0007,y0008,y0009,y0010,y0011,y0012,y0013,y0014,y0015,y0016,y0017,y0018,y0019,y0020,y0021,y0022,y0023,y0025,y0027,y0028,y0029,y0030,y0031,y0032,y0034,y0040,y0042,y0043,y0044,y0046,y0047,y0049,y0050
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6268979,0,0,1.2210447,0,4.175958,0,0,0,0,3.0395613,0.9180955,0,0.36277923,0,2.4037266,0.2956045,2.246661,0,4.257476,0,1.7901669,3.8699968,1.6803122,0,5.81609,0,0,0.122231,0,0.092460595,0,1.9134723,0,0.34785834,2.1113772,0,1.4441911,0,0
2,0,0.8733028,0,0,6.175403,0.32178172,0,0,1.5580083,0,0,2.8388433,0,0,0,0,0,0.16023031,0,0,0.365279,3.2677233,0,0.59783,2.8418021,1.5507323,0,0,0,7.4203396,5.9167843,0,0,0,1.9310843,0,0,4.051465,0,0
3,0.25158983,0.03651594,0.55768216,0,0,1.7423576,0.39169472,1.6114357,1.4507464,0,0,0,4.6385593,0,0.23364632,1.1212506,1.5149101,0,0,0.066784695,0,0.13668053,0,0,0,0,0,0,0.23124672,0,1.5618651,0,0,1.4102254,0,3.0629652,0,3.126586,6.1288447,0
4,0.13647974,1.0856149,2.9334335,0,0,0,0,2.8394296,1.0565567,0,4.250422,0,0,0.50640136,1.9027729,0,3.482417,0,2.2092185,0,0,0,0,1.0020101,1.1124715,0,0,0,0.4394819,0,0,0,0,4.956526,0.089560404,0,0,1.7948985,4.697011,3.3017492
5,1.3584366,0.67662406,0,0,4.049636,0,0,0,0.45842215,2.1448405,0,0.9095408,0.467668,2.8127513,0.029701173,1.0863734,0,0,0,0,0,0,4.10143,0,0,0,2.5952353,0,0.45075512,0,0,0,0,0,0.85837513,0,7.278603,1.4740835,3.162677,1.6412747
6,0,0,0,0,0,0.24376556,0,0,0,0,0,0.52434593,0,0,0,0.29207104,0,0.5268014,0,1.159606,0,0,3.3465006,0,3.215221,7.1854377,0,0.010563951,0,11.396716,4.9943924,1.9259039,1.3580625,0,0,0,3.3599288,0,0,0
7,0.9492059,2.3408475,0,0,0,0,1.6987134,0,0,0,1.6835315,0,0,0,0,0.29365918,0,0,2.0976684,0,0,0,0,2.4560988,1.5921456,0,0.78727436,0,2.398689,1.6344581,0.76980203,0,0,0.13668597,0.8199226,0,0.18040214,0,0,1.6274612
8,0,0,0,4.1579757,3.3498967,0,0,0,3.282633,0,0,0,0,1.5846444,0,0,0,0,0,0.47488338,0,0,2.597844,0,0,0,0,0,0,0,0,0,1.3123295,0.12686743,0.65727514,0,0,0,0,1.4138472
9,0,3.0748467,0.086230345,0.34961292,0.30176705,0,0.02514454,0.64626473,0,0,0,0,5.7301106,0.14779355,0,0,0,3.2101216,2.1373794,0,0,0,0,0,0,3.7099483,2.47525,3.246983,2.5132973,1.1112363,1.1176264,0,0.24371818,0,0.77362716,7.5971284,0,4.8611064,0,0
10,0,0,0,0,1.2891312,0.44740126,2.2510996,0,0,2.3209574,0,0,2.1686363,2.6640332,1.7320675,0,0,0,0,1.2296041,0,0,0,0,0,0,0,0,0,0,0,0.22254425,1.4903948,0,0,0,1.8399761,0,0,3.1665049
